PT. SIDIK,,,"KALIBRASI
pH METER",,,,,,,,,,,,LK-285-IDN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Certificate Number,,,:,0558-CAL-525,,,,,,,
,,,,,,,,,,,,Order Number,,,:,2505.51. W (Rev 1),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,pH Meter,,,,,,,Nama Custromer,,:,PT THE MAGNUM ICE CREAM INDONESIA,,,,,,,,,
,Merk,,:,SI Analytics,,,,,,,,,,,,,,,,,,,
,Type,,:,Lab. 855,,,,,,,Alamat Customer,,:,"Jababeka Industrial estate, Jl. Jababeka Ⅸ-B No.29 Blok D1, Wangunharja, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17531",,,,,,,,,
,No. Seri,,:,IMTE-WQ-129,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,0-14,,,,pH,,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,
,Kapasitas Max.,,:,14,,,,pH,,,Tanggal Terima ,,:,2025-05-30 00:00:00,,,,,Thermohygro used,,:,TH-2,
,Resolusi Alat,,:,0.001,,,,pH,,,Tanggal Kalibrasi,,:,2025-05-30 00:00:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Teknisi,,:,DT,
,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,Metode Kalibrasi,,:,pH Meter,
,,,,,,,,,,,,,,,,,,,pH 4,,:,True,pH Buffer Solution 4
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Insitu (Lab. Micro),,,,,pH 7,,:,True,pH Buffer Solution 7
,Suhu Ruangan,,:,25.3,25.5,,25.4,oC,,,Technician ID,,:,2,,,,,pH 10,,:,True,pH Buffer Solution 10
,Kelembaban,,:,56,56,,56,%RH,,,Calibration Method,,:,6,,,,,thermo&sensor,,:,True,Termometer & Sensor Std.
,Thermohygro Used,,:,2,,,,,,,Standar Used,,:,,,,EXPIRED,,Penandatangan,,:,Alex Misramto,
,,,,,,,,,,,,,,,,,EXPIRED,,Posisi,,:,Technical Manager,
,,,,,,,,,,,,,,,,,EXPIRED,,Dihitung oleh,,:,DR,
,,,,,,,,,,,,,,,,,WARNING,,Status kalibrator PH4,,:,-16.593450347223552,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,Status kalibrator PH7,,:,-16.593450347223552,
,,,,,,,,,,,,,,,,,,,Statu kalibrator PH10,,:,-228.59345034722355,
,,,,,,,,,,,,,,,,,,,Status Kalibrator Temp. Constant,,:,-322.59345034722355,
,,,Standard,,,Before Adjustment Reading,,,,,,,,,,,,,Statuskalibrator sensor PT100,,:,212.40654965277645,
,,,,,,3.99,pH,7,pH,10.01,pH,,,,,,,,,,,,
,,,Repeat,,,pH,oC,pH,oC,pH,oC,,,,,,,,,,,,
,,,1,,,4.05,25.3,7,25.5,10.002,25.3,,,,,,,,,,,,
,,,2,,,4.048,25.3,6.999,25.5,10.001,25.3,,,,,,,,,,,,
,,,3,,,4.044,25.3,7,25.5,9.998,25.3,,,,,,,,,,,,
,,,4,,,4.044,25.3,7,25.5,10,25.3,,,,,,,,,,,,
,,,5,,,4.043,25.3,6.999,25.5,10.002,25.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard,,,After Adjustment Reading,,,,,,,,,,,,,,,,,
,,,,,,3.99,pH,7,pH,10.01,pH,,,,,,,,,,,,
,,,Repeat,,,pH,oC,pH,oC,pH,oC,,,,,,,,,,,,
,,,1,,,4.01,26.3,7,25.5,10.002,25.3,,,,,,,,,,,,
,,,2,,,4.009,26.3,6.999,25.5,10.001,25.3,,,,,,,,,,,,
,,,3,,,4.01,26.3,7,25.5,9.998,25.3,,,,,,,,,,,,
,,,4,,,4.01,26.3,7,25.5,10,25.3,,,,,,,,,,,,
,,,5,,,4.009,26.3,6.999,25.5,10.002,25.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date  :,,2025-06-03 00:00:00,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,
,Name:,3,,Name:,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
