,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Instrumen Analitik,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,Autoclave,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olda Autoclave,2022-08-11 00:00:00,-Create All Sheet,HN,,NR,,,,Need update for calibration result of Technosoft,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-08-11 00:00:00,Date:,2022-08-15 00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olda Autoclave,2022-08-15 00:00:00,"-Updating calibration result of Technosoft (Temp. Std) on ""Standar Kalibrator"" sheet.",HN,,NR,,,,Cek CMC di RLK baru  jika sudah terbit,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-08-15 00:00:00,Date:,2023-08-17 00:00:00,Date:,,,,,,,,,,,,,,
,3,Master Olda Autoclave,2023-06-12 00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara
-Update std kalibrator pressure FLUKE recalibration 2023
-Udpate TH 1 & TH 2 recalibration 2023",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-06-12 00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,4,Master Olda Autoclave,2023-07-05 00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-07-05 00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,5,Master Olda Autoclave,2023-08-23 00:00:00,-Updating technosoft recalibration 2023 on database and standard calibrator sheet,HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-08-23 00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,6,Master Olda Autoclave,2023-10-30 00:00:00,"-Revisi technician ID (JO,RH)",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-10-30 00:00:00,Date:,,Date:,,,,,,,,,,,,,,
