,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Autoclave,,,,,Nama Custromer,:,PT. Gunung Madu Plantations,,,,,,,,,,,,,,,,,,,,
,Merk,,:,Hirayama,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,HIClave HV-110,,,,,Alamat Customer,:,"KM 90 Terbanggi Besar Gunung Batin udik, Terusan Nunyai, Lampung Tengah",,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,DR-0000173,,*Pressure Automaticly converted to bar,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,121,oC,2,bar,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,121,oC,2,bar,,Tanggal Terima ,:,2024-06-28 00:00:00,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.01,oC,0.01,bar,,Tanggal Kalibrasi,:,2024-06-28 00:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,24.4,24.5,24.45,19.33,-0.23,oC,,0.10000000000000142,-0.23,1.7,±,1.70293863659264,oC,,,,,,,,,,,,,,,
,Kelembaban,,:,55,56,55.5,46.83,-3.1700000000000017,%RH,,1,-3.1700000000000017,4.8,±,4.903060268852505,%RH,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. TEMPERATURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",121,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE,,Index,Koreksi STD,Std Terkoreksi,,T Max,T Min,ΔT,STDEV,,,,,,,,,,,,,
,No Sensor,,1,,2,3,4,5,,,,,oC,,,,,,,,,,,,,,,,,,
,1,,121.27,,121.26,121.26,121.26,121.26,121.26200000000001,,120,0.13,121.39200000000001,,121.27,121.26,0.009999999999990905,0.3920000000000101,,,,,,,,,,,,,
,2,,121.3,,121.26,121.26,121.26,121.25,121.26599999999999,,120,0.2,121.466,,121.3,121.25,0.04999999999999716,0.465999999999994,,,,,,,,,,,,,
,3,,121.26,,121.26,121.28,121.28,121.35,121.28600000000002,,120,0.15,121.43600000000002,,121.35,121.26,0.0899999999999892,0.43600000000002126,,,,,,,,,,,,,
,Indikator (oC),,121,,121,121,121,121,121,MAX,120,0.2,,,,,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25,,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,
,,,MAX,,MIN,Δt,Nilai Tengah,,,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25,,25,0,25,,,,,,,,Suhu Indikator Enclosure (IE)   :,,121,Nilai Tengah Indikator ,,,,,,,,,,,,,
,STDEV Indikator (oC),,0,,,,,,,,,,,,Stabilitas Suhu (SS) :,,0.0449999999999946,1/2*Max(ΔT),,,,,,,,,,,,,
,AVG Indikator (oC),,121,,,,,,,,,,,,Keseragaman Suhu (KS) :,,0.465999999999994,Abs (Max Deviasi),,,,,,,,,,,,,
,,,,,,,,,,,,,,,Variasi Keseluruhan (VK) :,,0.09999999999999432,(Tmax)Max-(Tmin)Min,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Suhu Ruang  :,,25,Nilai Tengah Suhu Ruang,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. PRESSURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convert,MPa,to,Bar,is  automatic,,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT Setting,,CONVERT,UUT Setting,,Standar Reading  (Bar),,,,,,AVG,,Deviation (Ԑ),,UUT Corection,,"Absolut 
UUT Corection",,STDEV,,,,Index,Koreksi Standar,,,"Standar Terkoreksi
(bar)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,,,
,,,,,,1,2,3,4,5,,,,,,,,,,,,,,(Bar),UP,,,,,,
,0.112,MPa,,1.12,bar,1.233,1.231,1.225,1.224,1.242,,1.231,,-0.11099999999999999,,-0.11099999999999999,,0.11099999999999999,,0.00724568837309471,,,,1.5,0,,,1.231,,,
,,,,,,,,,,,,,,Max. Koreksi UUT,,0.11099999999999999,bar,STDEV Max.,,0.00724568837309471,,,Max. Index,1.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
