,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,0281-CAL-624,,,,,,,,,,,,,,,,,
,Page,,,:,1 of 1,,,,,Owner,,,:,PT. Gunung Madu Plantations,,,,,,,,
,,,,,,,,,,Address,,,:,"KM 90 Terbanggi Besar Gunung Batin udik, Terusan Nunyai, Lampung Tengah",,,,,,,,
,Order Number,,,:,2406.25.L,,,,,,,,,,,,,,,,,
,Received Date,,,:,2024-06-28 00:00:00,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Autoclave,,,,,Calibration Location,,,:,Insitu (Lab NE),,,,,,,,
,Manufacturer,,,:,Hirayama,,,,,Calibration  Date,,,:,2024-06-28 00:00:00,,,,,,,,
,Model/Type,,,:,HIClave HV-110,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0531_Rev.4,,,,,,,,
,Serial Number,,,:,DR-0000173,,,,,Env. Condition,,,:,T ,24.22,,oC,±,1.70293863659264,oC,,
,Capacity/Graduation,,,:,121,oC,/,0.01,oC,,,,,%RH,52.33,,%,±,4.903060268852505,%,,
,,,,,0.2,MPa,/,0.001,MPa,,,,,,,,,,,,,
,Technician ID,,,:,AJ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,
,,,,,"Thermocouple Position :
(For Temperature)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,A) Sebaran Suhu,,,,,,,,,,,,,,,,,,,,,
,"Pembacaan Indikator Enklosur
(°C)",,"Standar & Koreksi Indikator
(oC)",,"Sensor No.
(oC)",,,,,,,,,,,,,,,"U95% ±
(°C)",,
,,,,,1,,,,,2,,,,,3,,,,,,,
,,,,,1,2,,,3,4,5,6,,7,,8,,9,,,,
,121,,Terukur,,121.39200000000001,,,,,121.466,,,,,121.43600000000002,,,,,0.4419439029528431,,
,,,Koreksi,,0.3920000000000101,,,,,0.465999999999994,,,,,0.43600000000002126,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,B) Kinerja Autoclave,,,,,,,,,,,,,,,,,,,,,
,,"Suhu Setting
(°C)",,Suhu yang diukur Indikator Autoclave (°C),,,,,"Keseragaman
(°C)",,"Kestabilan
(°C)",,,"Variasi Keseluruhan
(°C)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,121,,121,,,,,0.465999999999994,,0.0449999999999946,,,0.09999999999999432,,,,,,,,
,,The uncertainty is taken at a convidence level 95 % and coverage factor ( k ) = ,,,,,,,,,,,,,1.9713602363081708,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,C) Tekanan ,,,,,,,,,,,,,,,,,,,,,
,Unit Under Test,,Standard Value,,,,,,,Correction,,,,,U95% ±,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,MPa,,MPa,,,,,,,MPa,,,,,MPa,,,,,,,
,0.112,,0.12310000000000001,,,,,,,0.011100000000000013,,,,,0.0059,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,,,,,
,Uncertainty U95% = ±,,,,,,,,,0.0059,MPa,,,,,,,,,,,
,The uncertainty is taken at a convidence level 95 % and coverage factor ( k ) = ,,,,,,,,,,,,,,2.085963447265865,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Standard Used :,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,Merk/Type,,,,,Serial Number,,,,,Traceable to SI through,,,,,,
,Temperature Calibrator,,,,,Tecnosoft/SterilDisk,,,,,1011001961,,,,,LK-064-IDN,,,,,,
,Temperature Calibrator,,,,,Tecnosoft/TS01SD,,,,,1011004063,,,,,LK-064-IDN,,,,,,
,Temperature Calibrator,,,,,Tecnosoft/TS01SD,,,,,1011004038,,,,,LK-064-IDN,,,,,,
,Pressure Disk Logger,,,,,Tecnosoft/Pressure disk 05,,,,,3501009550,,,,,LK-285-IDN,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date:,,,,,,,,,,,,,,,,,,,,,
,2024-07-02 00:00:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,, -------------- End of Certificate  -------------- ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
