,,,,,,,,,,
,Nama Alat,:,Pressure Disk,,,Tanggal Kalibrasi ,,:,2025-06-16 00:00:00,
,Merek,:,Tecnosoft,,,Due Date Kalibrasi,,:,2026-06-17 00:00:00,
,Type,:,PressureDisk 05,,,Tertelusur,,:,LK-285-IDN,
,S/N,:,3501009550,,,Resolusi,,:,0.001,Bar
,,,,,,,,,,
,,,Set Point (bar),Correction (bar),,U95% (bar),,,,
,,,,UP,DOWN,,,,,
,,,1.5,0,0,0.0046,,,,
,,,2,-0.0006,-0.0007,0.0046,,,,
,,,2.5,-0.001145618125302228,-0.001239863821141718,0.0046,,,,
,,,3,-0.0014,-0.0014,0.0046,,,,
,,,3.5,-0.0015,-0.0014,0.0046,,,,
,,,4,-0.0018,-0.0016,0.0046,,,,
,,,4.5,-0.0013,-0.0013,0.0046,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Nama Alat,:,Temperature Calibrator 1,,,Tanggal Kalibrasi ,,:,2025-08-25 00:00:00,
,Merek,:,Tecnosoft,,,Due Date Kalibrasi,,:,2026-08-25 00:00:00,
,Type,:,Tecnosoft/SterilDisk,,,Tertelusur,,:,LK-064-IDN,
,S/N,:,1011001961,,,Resolusi,,:,0.01,oC
,,,,,,,,,,
,,,Set Point (oC),Correction (oC),U95% (oC),,,,,
,,,21,-0.18,0.43,,,,,
,,,50,-0.1,0.43,,,,,
,,,75,-0.05,0.43,,,,,
,,,100,-0.08,0.43,,,,,
,,,120,0.13,0.43,,,,,
,,,140,0.19,0.43,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Nama Alat,:,Temperature Calibrator 2,,,Tanggal Kalibrasi ,,:,2025-12-08 00:00:00,
,Merek,:,Tecnosoft,,,Due Date Kalibrasi,,:,2026-12-09 00:00:00,
,Type,:,TS01SD,,,Tertelusur,,:,LK-064-IDN,
,S/N,:,1011004038,,,Resolusi,,:,0.01,oC
,,,,,,,,,,
,,,Set Point (oC),Correction (oC),U95% (oC),,,,,
,,,23,-0.16,0.44,,,,,
,,,50,-0.15,0.44,,,,,
,,,75,-0.1,0.44,,,,,
,,,100,0.11,0.44,,,,,
,,,120,0.2,0.44,,,,,
,,,140,0.23,0.44,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Nama Alat,:,Temperature Calibrator 3,,,Tanggal Kalibrasi ,,:,2025-12-08 00:00:00,
,Merek,:,Tecnosoft,,,Due Date Kalibrasi,,:,2026-12-09 00:00:00,
,Type,:,TS01SD,,,Tertelusur,,:,LK-064-IDN,
,S/N,:,1011004063,,,Resolusi,,:,0.01,oC
,,,,,,,,,,
,,,Set Point (oC),Correction (oC),U95% (oC),,,,,
,,,23,-0.23,0.44,,,,,
,,,50,-0.11,0.44,,,,,
,,,75,-0.07,0.44,,,,,
,,,100,0.1,0.44,,,,,
,,,120,0.15,0.44,,,,,
,,,140,0.18,0.44,,,,,
,,,,,,,,,,
,,,,,,,,,,
