PT. SIDIK,,,"KALIBRASI
DO METER",,,,,,,,,,,,LK-285-IDN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Certificate Number,,,:,0566-CAL-624,,,,,,,
,,,,,,,,,,,,Order Number,,,:,2406.50.S.NK,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,DO Meter,,,,,,,Nama Custromer,,:,LPKL PDAM TIRTAWENING,,,,,,,,,
,Merk,,:,Mettler Toledo,,,,,,,,,,,,,,,,,,,
,Type,,:,Five Go,,,,,,,Alamat Customer,,:,Jl. Atlas No. 6 Antapani Kota Bandung ,,,,,,,,,
,No. Seri,,:,B542569141,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,20,,,,mg/L,,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,
,Kapasitas Max.,,:,20,,,,mg/L,20,%O2,Tanggal Terima ,,:,2024-06-17 00:00:00,,,,,Thermohygro used,,:,TH-2,
,Resolusi Alat,,:,0.01,,,,mg/L,0.01,%O2,Tanggal Kalibrasi,,:,2024-06-17 00:00:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Teknisi,,:,JO,
,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,Metode Kalibrasi,,:,DO Meter,
,,,,,,,,,,,,,,,,,,,Zero St. Solution,,:,True,Oxygen Standard Solution 8.77 mg/L
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Inlab (Lab General PT. SIDIK),,,,,Zero St. Solution,,:,True,Oxygen Standard Solution 5.51 mg/L
,Suhu Ruangan,,:,23.6,23.8,,23.700000000000003,oC,,,Technician ID,,:,3,,,,,,,,,
,Kelembaban,,:,52,55,,53.5,%RH,,,Calibration Method,,:,30,,,,,thermo&sensor,,:,True,Termometer & Sensor Std.
,Thermohygro Used,,:,2,,,,,,,Standar Used,,:,,,,EXPIRED,,Penandatangan,,:,Alex Misramto,
,,,,,,,,,,,,,,,,,VALID,,Posisi,,:,Technical Manager,
,,,,,,,,,,,,,,,,,VALID,,Dihitung oleh,,:,DR,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Std DO 8.77 mg/L,,:,-80.41676990740962,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,Std DO 5/51 mg/L,,:,190.58323009259038,
,,,,,,,,,,,,,,,,,,,Thermometer,,:,235.58323009259038,
,,,,,,,,,,,,,,,,,,,Sensor,,:,421.5832300925904,
,,,Standard,,,Before Adjustment Reading,,,,,,,,,,,,,,,,,
,,,,,,8.77,,%O2,20.9,,% O2,,,,,,,,,,,,
,,,Repeat,,,mg/L,,oC,% O2,,oC,,,,,,,,,,,,
,,,1,,,8.82,,23.7,,,,,,,,,,,,,,,
,,,2,,,8.82,,23.7,,,,,,,,,,,,,,,
,,,3,,,8.82,,23.7,,,,,,,,,,,,,,,
,,,4,,,8.83,,23.7,,,,,,,,,,,,,,,
,,,5,,,8.83,,23.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard,,,After Adjustment Reading,,,,,,,,,,,,,,,,,
,,,,,,8.77,,%O2,20.9,,% O2,,,,,,,,,,,,
,,,Repeat,,,mg/L,,oC,% O2,,oC,,,,,,,,,,,,
,,,1,,,8.82,,23.7,,,,,,,,,,,,,,,
,,,2,,,8.82,,23.7,,,,,,,,,,,,,,,
,,,3,,,8.82,,23.7,,,,,,,,,,,,,,,
,,,4,,,8.83,,23.7,,,,,,,,,,,,,,,
,,,5,,,8.83,,23.7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date  :,,2024-06-21 00:00:00,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,
,Name:,3,,Name:,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
