,Certificate Number ,,,:,0566-CAL-624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Page  ,,,:,1,,of,1,,,,,,,Owner,,,:,LPKL PDAM TIRTAWENING,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Order Number,,,:,2406.50.S.NK,,,,,,,,,,Address,,,:,Jl. Atlas No. 6 Antapani Kota Bandung ,,,,,,,,,,,,,,,,,,,
,Received Date,,,:,2024-06-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,DO Meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturer,,,:,Mettler Toledo,,,,,,,,,,Calibration Location,,,:,Inlab (Lab General PT. SIDIK),,,,,,,,,,,,,,,,,,,
,Model/Type,,,:,Five Go,,,,,,,,,,Calibration  Date,,,:,2024-06-17 00:00:00,,,,,,,,,,,,,,,,,,,
,Serial Number,,,:,B542569141,,,,,,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0530_Rev.2,,,,,,,,,,,,,,,,,,,
,Capacity/Graduation,,,:,20,,,mg/L,/,0.01,mg/L,,,,Env. Condition,,,:,T,23.310000000000002,⁰C,±,1.7117242768623688,⁰C,,,,,,,,,,,,,,
,,,,,20,,,%O2,/,0.01,%O2,,,,,,,,%RH,52.5,%,±,5.660388679233963,%,,,,,,,,,,,,,,
,Technician ID ,,,:,JO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1. Oksigen in Air Methode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Standard Indication   ,,,,,,,,,Instrument Indication     ,,,,,Correction        ,,,,,,,,,,,,,,,,,,,,
,,,,(%),,,,,,,,,(%),,,,,(%),,,,,,,,,,,,,,,,,,,,
,,,,20.9,,,,,,,,,0,,,,,20.9,,,,,,,,,,,,,,,,,,,,
,,,,Uncertainty U95% = ±,,,,,,,,,,,,#REF!,%,,,,,,,,,,,,,,,,,,,,,
,,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,
,,,,Standard Indication   ,,,,,,,,,Instrument Indication     ,,,,,Correction        ,,,,,,,,,,,,,,,,,,,,
,,,,mg/L,,,,,,,,,mg/L,,,,,mg/L,,,,,,,,,,,,,,,,,,,,
,,,,8.77,,,,,,,,,8.824,,,,,-0.05400000000000027,,,,,,,,,,,,,,,,,,,,
,,,,Uncertainty U95% = ±,,,,,,,,,,,,0.16,mg/L,,,,,,,,,,,,,,,,,,,,,
,,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,,,,,,,,1.9718365067798587,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type :,,,,,,,Serial Number :,,,,Traceable to SI through : ,,,,,,,,,,,,,,,,,,,
,Oxygen Standard Solution 5.51 mg/L,,,,,,,Supelco/Merck,,,,,,,LRAD9311,,,,Merck KGaA,,,,,,,,,,,,,,,,,,,
,Oxygen Standard Solution 8.77 mg/L,,,,,,,Supelco/Merck,,,,,,,LRAD6897,,,,Merck KGaA,,,,,,,,,,,,,,,,,,,
,Termometer & Sensor Std.,,,,,,,Yokogawa/CA 150 Handy Cal,,,,,,,23P1005,,,,LK-285-IDN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date   :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-06-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
