,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,
,,,,,,,,,,,
,Lingkup Kalibrasi                   :,,Instrumen Analisa,,,,,,,,
,Jenis/Type Pengukuran       :,,Conductivity Meter,,,,,,,,
,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision
,1,Master Olah Data_Conductivity,2022-06-16 00:00:00,"- Creating All Sheets
",HN,,NR,,,,"Update IK order number based on DID on database, adding TH-3 s/d 7,
update PT100"
,,,,,Position :,,Position :,Supervisor,Position :,,
,,,,,Date:,2022-06-16 00:00:00,Date:,2022-06-16 00:00:00,Date:,,
,2,Master Olah Data_Conductivity,24 oktober 2022,"-Updating ""Database"" sheet: IK order number based on DID, adding TH-3 s/d 7
-Updating TH calculation on ""Perhitungan"" sheet.",HN,,NR,,,,Update latest survaylen 2022 revision result
,,,,,Position :,,Position :,Supervisor,Position :,,
,,,,,Date:,2022-10-24 00:00:00,Date:,2022-10-25 00:00:00,Date:,,
,3,Master Olah Data_Conductivity,2023-05-04 00:00:00,"-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Adding calibrator status monitoring on ""Input Data"" sheets",HN,,NR,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,
,,,,,Date:,2023-05-04 00:00:00,Date:,2023-05-08 00:00:00,Date:,,
,4,Master Olah Data_Conductivity,2023-07-04 00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara",HN,,,,,,
,,,,,Position :,,Position :,,Position :,,
,,,,,Date:,2023-07-04 00:00:00,Date:,,Date:,,
,5,Master Olah Data_Conductivity,2023-09-26 00:00:00,-Revisi nomor seri std condut 84 uS di Database sheet,HN,,,,,,
,,,,,Position :,,Position :,,Position :,,
,,,,,Date:,2023-09-26 00:00:00,Date:,,Date:,,
,6,Master Olah Data_Conductivity,2023-10-30 00:00:00,"- Updating u95% temp. cal. Constant recalibration 2023 on database sheet
- Revisi technician ID (JO, RH)
- Update larutan std conductivity baru 1413 µS/cm (HI7031L)",HN,,,,,,
,,,,,Position :,,Position :,,Position :,,
,,,,,Date:,2023-10-30 00:00:00,Date:,,Date:,,
,7,Master Olah Data_Conductivity,2024-02-26 00:00:00,"Update technician ID : Replace RH to CA
Update metode kalibrasi (last updated)",HN,,,,,,
,,,,,Position :,,Position :,,Position :,,
,,,,,Date:,2024-02-26 00:00:00,Date:,,Date:,,
