,IDENTITAS ALAT,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,
,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Conductivity Meter,,,,,,,,,Nama Custromer,,:,Pusat Kesehatan Angkatan Darat Lembaga Biologi Vaksin,
,Merk,,:,Lovibond,,,,,,,,,,,,,
,Type,,:,Sensodirect ISO,,,,,,,,,Alamat Customer,,:,"Jl. Gudang Selatan No.26, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",
,No. Seri,,:,C12345,,,,,,,,,,,,,
,Rentang Ukur,,:,0-100,mS/cm,,,,,,,,,,,,
,Kapasitas Max.,,:,100,mS/cm,,,,,,,,Tanggal Terima ,,:,2024-05-13 00:00:00,
,Resolusi Alat,,:,Std 25 µS/cm,,Std 1412 µS/cm,,Std 111 mS/cm,,,,,Tanggal Kalibrasi,,:,2024-05-13 00:00:00,
,,,,0.1,µS/cm,1,µS/cm,0.01,mS/cm,,,,,,,,
,,,,,,0,mS/cm,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,,Δ,C,U95% Std TH,U95% Sertifikat,,
,Suhu Ruangan,,:,25.4,25.5,25.45,29.75,0.3500000000000014,oC,,,0.10000000000000142,0.3500000000000014,1.7,±,1.70293863659264,oC
,Kelembaban,,:,54,55,54.5,46.83,-3.1700000000000017,%RH,,,1,-3.1700000000000017,4.8,±,4.903060268852505,%RH
,Thermohygro Used,,:,TH-6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PERHITUNGAN HASIL KALIBRASI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Standard,,,Before Adjustment Reading,,,,,,,,,,,,
,,,,,25,µS/cm,1412,µS/cm,0.738,mS/cm,111.193568,mS/cm,,,,,
,,Repeat,,,µS/cm,oC,µS/cm,oC,mS/cm,oC,mS/cm,oC,,,,,
,,1,,,25,25.2,1413,25,0,0,110.69,25.2,,,,,
,,2,,,25,25.2,1413,24.9,0,0,110.67,25.2,,,,,
,,3,,,25,25.2,1413,24.9,0,0,110.67,25.2,,,,,
,,4,,,25.1,25.3,1413,24.9,0,0,110.67,25.2,,,,,
,,5,,,25.1,25.2,1413,24.9,0,0,110.67,25.2,,,,,
,,Average,,,25.04,25.22,1413,24.919999999999998,0,0,110.674,25.2,,,,,
,,Correction,,,-0.03999999999999915,,-1,,0,,0.5195679999999925,,,,,MAX STDEV,
,,STDEV,,,0.05477225575051739,,0,,0,,0.008944271909997378,,,,,0.05477225575051739,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Standard,,,After Adjustment Reading,,,,,,,,,,,,
,,,,,25,µS/cm,1412,µS/cm,0.738,mS/cm,111.193568,mS/cm,,,,,
,,Repeat,,,µS/cm,oC,µS/cm,oC,mS/cm,oC,mS/cm,oC,,,,,
,,1,,,25,25.2,1413,25,0,0,110.69,25.2,,,,,
,,2,,,25,25.2,1413,24.9,0,0,110.67,25.2,,,,,
,,3,,,25,25.2,1413,24.9,0,0,110.67,25.2,,,,,
,,4,,,25.1,25.3,1413,24.9,0,0,110.67,25.2,,,,,
,,5,,,25.1,25.2,1413,24.9,0,0,110.67,25.2,,,,,
,,Average,,,25.04,25.22,1413,24.919999999999998,0,0,110.674,25.2,,,,,
,,Correction,,,-0.03999999999999915,,-1,,0,,0.5195679999999925,,,,,MAX STDEV,
,,STDEV,,,0.05477225575051739,,0,,0,,0.008944271909997378,,,,,0.05477225575051739,
