,,,,,,
Temp.(°C),DR 25 μS/cm,DR 1412 μS/cm ,DR 111 mS/cm,,,
5,,,73.7,,,
10,,,82.7,,,
15,,,91.7,,,
20,,,101.1,,,
22,,,104.9,,,
24,,,108.7,,,
25,25,,110.7,,,
26,,,112.9,,,
28,,,116.8,,,
30,,,120.9,,,
35,,,130.6,,,
40,,,140.8,,,
45,,,151.4,,,
50,,,161.9,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dari keterangan kurva diatas, maka penentuan nilai koefisien sensitifitas adalah :",,,,,,
Perhitungan ,,,,,,
"Tabel pengaruh suhu terhadap nilai conductivity berdasarkan rumus linieritas berikut : y = 25
",,,,,,
Suhu 0C,DR 25 μS/cm,C = Δy,25,µS/cm,C,Nilai koefisien sensitivitas
5,,0,,,Δy,selisih nilai conductivity dari 2 kondisi temperature
10,,0,,,x,Temperature larutan standar
15,,0,,,,
20,,0,,,,
22,,0,,,,
24,,25,,,,
25,25,25,,,,
26,,0,,,,
28,,0,,,,
30,,0,,,,
35,,0,,,,
40,,0,,,,
45,,0,,,,
50,,0,,,,
"Tabel pengaruh suhu terhadap nilai conductivity berdasarkan rumus linieritas berikut : y = 2E-13x2 + 27x + 738
",,,,,,
Suhu 0C,DR 1412 μS/cm ,C = Δy,1412,µS/cm,,
5,,0,,,C,Nilai koefisien sensitivitas
10,,0,,,Δy,selisih nilai conductivity dari 2 kondisi temperature
15,,0,,,x,Temperature larutan standar
20,,0,,,,
22,,0,,,,
24,,0,,,,
25,,0,,,,
26,,0,,,,
28,,0,,,,
30,,0,,,,
35,,0,,,,
40,,,,,,
45,,,,,,
50,,0,,,,
"Tabel pengaruh suhu terhadap nilai conductivity berdasarkan rumus linieritas berikut : y = 0,0042x2 + 1,732x + 64,88",,,,,,
Suhu 0C,DR 111 mS/cm,C = Δy,111,mS/cm,,
5,73.645,8.975000000000009,,,C,Nilai koefisien sensitivitas
10,82.62,9.184999999999988,,,Δy,selisih nilai conductivity dari 2 kondisi temperature
15,91.80499999999999,9.394999999999996,,,x,Temperature larutan standar
20,101.19999999999999,3.8168000000000006,,,,
22,105.01679999999999,3.8504000000000076,,,,
24,108.8672,1.9377999999999957,,,,
25,110.80499999999999,1.9461999999999904,,,,
26,112.75119999999998,3.9176000000000215,,,,
28,116.6688,3.9512,,,,
30,120.62,10.024999999999977,,,,
35,130.64499999999998,10.235000000000014,,,,
40,140.88,10.444999999999993,,,,
45,151.325,10.655000000000001,,,,
50,161.98,-161.98,,,,
Tabel pengaruh suhu terhadap nilai conductivity berdasarkan rumus linieritas berikut : y = 1596.2X + 40140,,,,,,
Suhu 0C,DR 80000 μS/cm,C = Δy,80,mS/cm,,
20,72.064,1.5962000000000245,,,C,Nilai koefisien sensitivitas
21,73.66020000000002,1.5961999999999819,,,Δy,selisih nilai conductivity dari 2 kondisi temperature
22,75.2564,1.5962000000000103,,,x,Temperature larutan standar
23,76.85260000000001,1.596199999999996,,,,
24,78.4488,1.596199999999996,,,,
25,80.045,1.5962000000000103,,,,
26,81.64120000000001,1.5961999999999819,,,,
27,83.2374,1.5962000000000103,,,,
28,84.8336,1.596199999999996,,,,
29,86.4298,1.596199999999996,,,,
30,88.026,1.5962000000000103,,,,
31,89.6222,1.5962000000000103,,,,
