,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,0189-CAL-524,,,,,,,,,,,,,,,,,,
,Page  ,,,:,1,,of,1,,,,,,Owner,,,:,Pusat Kesehatan Angkatan Darat Lembaga Biologi Vaksin,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Order Number,,,:,2405.32.A.NK,,,,,,,,,Address,,,:,"Jl. Gudang Selatan No.26, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",,,,,
,Received Date,,,:,2024-05-13 00:00:00,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Conductivity Meter,,,,,,,,,,,,,,,,,,
,Manufacturer,,,:,Lovibond,,,,,,,,,Calibration Location,,,:,Lab. PT. Sidik,,,,,
,Model/Type,,,:,Sensodirect ISO,,,,,,,,,Calibration  Date,,,:,2024-05-13 00:00:00,,,,,
,Serial Number,,,:,C12345,,,,,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0507_Rev.6,,,,,
,Capacity/Graduation,,,:,100,,,mS/cm,/,0.1,µS/cm,,,Env. Condition,,,:,T,25.8,⁰C,±,1.70293863659264,⁰C
,,,,,,,,,,1,µS/cm,,,,,,,%RH,51.33,%,±,4.903060268852505,%
,,,,,,,,,,0.01,mS/cm,,,Technician ID ,,,: ,JO,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Standard Value   ,,,,,,,Unit Under Test     ,,,,,,Correction        ,,U95%,,,,,,
,,#REF!,,,,,,,#REF!,,,,,,#REF!,,± mS,,,,,,
,,1.421,,,,,,,0.0004472135954999087,,,,,,1.4205527864045002,,0,,,,,,
,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor( k ) = 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Standard Value   ,,,,,,,Unit Under Test     ,,,,,,Correction        ,,U95%,,,,,,
,,mS/cm,,,,,,,mS/cm,,,,,,mS/cm,,± µS,,,,,,
,,0.08427624,,,,,,,0.08444,,,,,,-0.0001637599999999989,,1.8,,,,,,
,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor( k ) = 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Standard Value   ,,,,,,,Unit Under Test     ,,,,,,Correction        ,,U95%,,,,,,
,,µS/cm,,,,,,,µS/cm,,,,,,µS/cm,, mS,±,µS/cm,,,,
,,25,,,,,,,25.04,,,,,,-0.03999999999999915,,0.49948652157359164,,,,,,
,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor( k ) = ,,,,,,,,,,,,,,,,,,1.9713247932433295,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Standard Value   ,,,,,,,Unit Under Test     ,,,,,,Correction        ,,U95%,,,,,,
,,mS/cm,,,,,,,mS/cm,,,,,,mS/cm,, mS,±,mS/cm,,,,
,,0.738,,,,,,,0,,,,,,0.738,,0.008109011947857543,,,,,,
,,111.193568,,,,,,,110.674,,,,,,0.5195679999999925,,1.7,,,,,,
,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor( k ) = ,,,,,,,,,,,,,,,,,,1.9717188484634527,,,
,,0.061,,,0.02,,,,,0.017,,,0.005,,,1.8,,0.802,,(Perbaikan CMC),,,
,,,,,,,,,,,,,,,,,,,,,,,
,, - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Standard Used :,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type :,,,,,,,Serial Number :,,,,Traceable to SI through : ,,,,
,Conductivity Std Solution 25 µS/cm,,,,,,,Supelco/Merck,,,,,,,LRAD7693,,,,Merck KGaA,,,,
,Conductivity Std Solution 1412 µS/cm,,,,,,,Supelco/Merck,,,,,,,LRAD9052,,,,Merck KGaA,,,,
,Conductivity Std Solution 111 mS/cm,,,,,,,Supelco/Merck,,,,,,,HC56824055,,,,Merck KGaA,,,,
,Termometer & Sensor Std.,,,,,,,Yokogawa/CA 150 Handy Cal,,,,,,,23P1005,,,,LK-285-IDN,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date   :,,,,,,,,,,,,,,,,,,,,,,
,2024-05-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,
