PT. SIDIK,,,"KALIBRASI
REFRACTOMETER",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,,:,,,,,,,,,
,,,,,,,,,,,,,,Order Number,,,:,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,
,,,,,,,,,,,,,,,,,,,,,,Satuan refracto,,:,n20D,
,Nama Alat,,:,Refractometer,,,,,,,,,Nama Custromer,,:,Pusat Kesehatan Angkatan Darat Lembaga Biologi Vaksin,,,,,,Thermohygro used,,:,TH-5,
,Merk,,:,Hanna Instrument,,,,,,,,,,,,,,,,,,Teknisi,,:,JO,
,Type,,:,HI 96811,,,,,,,,,Alamat Customer,,:,"Jl. Gudang Selatan No.26, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",,,,,,Metode Kalibrasi,,:,Refractometer,
,No. Seri,,:,C12345,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,1.7,,,,2,,,,,,,,,,,,,,Standar Used,,:,,
,Kapasitas Max.,,:,1.7,,,,n20D,,,,,Tanggal Terima ,,:,2022-11-11 00:00:00,,,,,,,,,,
,Resolusi Alat,,:,0.0001,,,,n20D,,,,,Tanggal Kalibrasi,,:,2022-11-11 00:00:00,,,,,,Refracto 2.5 oBrix,,:,False,False
,,,,,,,,,,,,,,,,,,,,,,Refracto 40 oBrix,,:,False,False
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,,Refracto 1.33659 n20D,,:,True,Refractometer Std Solution 1.33659 n20D
,,,,,,,,,,,,,,,,,,,,,,Refracto 1.39986 n20D,,:,True,Refractometer Std Solution 1.39986 n20D
