,IDENTITAS ALAT,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Refractometer,,,,,,,,,Nama Custromer,,:,Pusat Kesehatan Angkatan Darat Lembaga Biologi Vaksin,,,,,,,,,,
,Merk,,:,Hanna Instrument,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,HI 96811,,,,,,,,,Alamat Customer,,:,"Jl. Gudang Selatan No.26, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",,,,,,,,,,
,No. Seri,,:,C12345,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,1.7,n20D,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Max.,,:,1.7,n20D,,,,,,,,Tanggal Terima ,,:,2022-11-11 00:00:00,,,,,,,,,,
,Resolusi Alat,,:,0.0001,n20D,,,,,,,,Tanggal Kalibrasi,,:,2022-11-11 00:00:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,False,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,
,Suhu Ruangan,,:,20.9,21.2,21.049999999999997,21.51,0.9100000000000001,oC,,,0.3000000000000007,0.9100000000000001,1.8,±,1.824828759089466,oC,,,,,,,,,
,Kelembaban,,:,62,60,61,59.41,-0.5900000000000034,%RH,,,2,-0.5900000000000034,4.9,±,5.292447448959697,%RH,,,,,,,,,
,Thermohygro Used,,:,TH-5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard,,,Before Adjustment Reading,,,,,,,,,,,,,,,,,,,,
,,,,,,1.33659,n20D,1.39986,n20D,0,n20D,,,,,,,,,,,,,,,
,,,Repeat,,,n20D,oC,n20D,oC,n20D,oC,,,,,,,,,,,,,,,
,,,1,,,1.3362,25,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,2,,,1.3362,25,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,3,,,1.3362,25,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,4,,,1.3362,25,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,5,,,1.3362,25,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,Average,,,1.3362,25,1.3986,25,0,0,MAX STDEV,,,,,,,,,,,,,,
,,,STDEV,,,0,,0,,0,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard,,,After Adjustment Reading,,,,,,,,,,,,,,,,,,,,
,,,,,,1.33659,n20D,1.39986,n20D,0,n20D,,,,,,,,,,,,,,,
,,,Repeat,,,n20D,oC,n20D,oC,n20D,oC,,,,,,,,,,,,,,,
,,,1,,,1.3362,25,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,2,,,1.3362,25,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,3,,,1.3362,25,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,4,,,1.3362,25,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,5,,,1.3362,35,1.3986,25,0,0,,,,,,,,,,,,,,,
,,,Average,,,1.3362,27,1.3986,25,0,0,MAX STDEV,,,,,,,,,,,,,,
,,,STDEV,,,0,,0,,0,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Temperature Correction,,,,,,,,,,,,,,,,,,,,,,,
,,,Standar Value,,,T,Observed Value,,Corrected Value,,,,,,,,,,,,,,,,,
,,,n20D,,,(oC),n20D,,n20D,,,,,,,,,,,,,,,,,
,,,1.33659,,,27,1.3362,,1.33935,,,,,,,,,,,,,,,,,
,,,1.39986,,,25,1.3986,,1.4008500000000002,,,,,,,,,,,,,,,,,
,,,0,,,0,0,,-0.009,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
