 COMMON DATA ,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,2,year,730 [=AD2*$AD$4]
,,,,,,,,,,,,,,,,No,Jenis UTM,CMC,,,,,,,,,,Digital,1,year,365 [=AD3*$AD$4]
,,,,,,,,,,,,,,,,,,kN,,,,,,,,,,,365,,
,,,,,,,,,,,,,,,,1,Tekan 0-500kgf,0.022562999999999996 [=2.3*S23],,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,Tekan10-88kN,0.27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,Tekan 200-2000kN,7.6,,,,,,,,,,,,,
No,Pelaksana Kalibrasi,,,,,,,,,,,,,,,4,Tarik 0-500kgf,0.020600999999999998 [=2.1*S23],,,,,,,,,,,,,
1,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,JO,,,,,,,,,,,,,,,,,,,,,Now Date :,2023-05-09 13:48:38.360000,,,,,,,,
4,CA,,,,,,,,,,,,,,,No,Standart Meter/Indikator,Merk/Type,S/N,Traceability,Res. (kN),Calibration Date,Interval (tahun),Due Date,Status, Res.,,,,,
5,DR,,,,,,,,,,,,,,,1,Load Cell 100 kN,Uscell/ST2-C3-10+,J10CC13283,LK-057-IDN,0.0009809999999999999 [=0.1*S23],2024-12-17 00:00:00,2,"2026-12-17 00:00:00 [=DATE(YEAR(W13)+X13,MONTH(W13),DAY(W13))]",1317.4245560185154 [=Y13-$X$11],0.1kg,,,,,
6,NS,,,,,,,,,,,,,,,2,Load Cell 3000 kN,Matest/C-140-08,C-140-BZ/0008,LK-013-IDN,0.1,2024-09-10 00:00:00 [=STANDAR_LOADCELL!L33],2,"2026-09-10 00:00:00 [=DATE(YEAR(W14)+X14,MONTH(W14),DAY(W14))]",1219.4245560185154 [=Y14-$X$11],0.1 kN,,,,,
7,AJ,,,,,,,,,,,,,,,3,Load Cell 5 kN,Usscell/STI-C3-500kg,LC-01-SDK,LK-264-IDN,9.81e-05 [=0.01*S23],2024-06-13 00:00:00 [=STANDAR_LOADCELL!L55],2,"2026-06-13 00:00:00 [=DATE(YEAR(W15)+X15,MONTH(W15),DAY(W15))]",1130.4245560185154 [=Y15-$X$11],0.01kg,,,,,
No,Dihitung Oleh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AM,,,,,,,,,,,,,,,No,Satuan,Conversion,Units,,,,,,,,,,,,
2,NR,,,,,,,,,,,,,,,,,to kN,,,,,,,,,,,,,
3,DR,,,,,,,,,,,,,,,1,kN,1,Kilo-newton,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,N,0.001,Newton,,,,,,,,,,,,
No,Penandatangan Sertifikat,Jabatan,,,,,,,,,,,,,,3,lbf,0.00445,Pound-force,,,,,,,,,,,,
1,IPD Wiska Susetio,Laboratory Director,,,,,,,,,,,,,,4,kgf,0.00981,Kilogram-force,,,,,,,,,,,,
2,Alex Misramto,Technical Manager,,,,,,,,,,,,,,5,tnf,9.8067,Ton-force,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Environmental Meter,Temperature,,,,Kelembaban,,,,Lokasi,Tanggal Kalibrasi,Due Date Kalibrasi,,,,No,Tipe Beban,,,,,,,,,,,,,,
,,Standart Indication,Instrument Indication,Correction,Uncertainty ±,Standart Indication,Instrument Indication,Correction,"Uncertainty
±",,,,Tertelusur,,,,,,,,,,,,,,,,,,
,,oC,oC [=C30],oC [=C30],oC [=C30],%RH,%RH [=G30],%RH [=G30],%RH [=G30],,,,,NO TH,,1,Push,(Tekan),,,,,,,,,,,,,
1,TH-1,15.42,15,0.46,1.7,29.6,30,-0.3999999999999986 [=G31-H31],4.9,Inlab (Lab. Dimensi),2025-09-11 00:00:00,2027-09-12 00:00:00 [=L31+($AD$4*2+1)],LK-285-IDN,TH-1,,2,Pull,(Tarik),,,,,,,,,,,,,
,,19.3,19.5,-0.16,,48.04,50,-1.9600000000000009 [=G32-H32],4.8,,,,,TH-2,,,,,,,,,,,,,,,,,
,,29.69,29.1,0.55,,68.74,70,-0.86,4.8,,,,,TH-3,,,,,,,,,,,,,,,,,
,,39.48,39.3,0.14,,77.58,80,-2.02,4.8,,,,,TH-4,,,,,,,,,,,,,,,,,
,,49.21,49.9,-0.71,,87.31,89,-1.29,4.8,,,,,TH-5,,,,,,,,,,,,,,,,,
