PT. SIDIK,,,"KALIBRASI GAYA
LOAD CELL",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,"ALL STANDARDS ARE VALID [=IF(AND(T23=""VALID""),""ALL STANDARDS ARE VALID"",""ONE OR MORE STANDARD EXPIRED"")]",,,,,,,,,,,,,,,
,Tipe Beban,,:,2,,,,,,,,,,Certificate Number,,,:,085-CAL-124,,,,,,,
,Temperature of Load Cell Std from Certificate :,,,,,,"23.45 [=IF(Q23=1,STANDAR_LOADCELL!L10,IF(Q23=2,STANDAR_LOADCELL!L41,IF(Q23=3,STANDAR_LOADCELL!L63,""pilih standar"")))]",oC,,,,,,Order Number,,,:,2401.03.B,,,,,,,
,Actual Temperature of Load Cell Standard When Calibration Process :,,,,,,,,,27.7 [=H21],oC,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,
,Nama Alat,,:,Load Cell,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,
,Merk,,:,PT. Global,,,,,,,,,,,,,,,,,,,Units,:,"kN [=_xlfn.IFNA(VLOOKUP(G14,Tabel_Satuan,2,0),"""")]"
,Type,,:,-,,,,,,,,Alamat Customer,,,:,"[ALAMAT PELANGGAN DIREDAKSI]",,,,,,,Thermohygro,:,"TH-2 [=_xlfn.IFNA(IF(E23=1,""TH-1"",IF(E23=2,""TH-2"",IF(E23=3,""TH-3"",IF(E23=4,""TH-4"",IF(E23=5,""TH-5"",IF(E23=6,""TH-6"",IF(E23=7,""TH-7"",""pilih TH""))))))),"""")]"
,No. Seri,,:,LDC-E-002,,,,,,,,,,,,,,,,,,,Lokasi,:,"[=_xlfn.IFNA(VLOOKUP(Q20,Lokasi_Kalibrasi,2,0),"""")]"
,Rentang Ukur,,:,9,,1,,,,,,,,,,,,,,,,,Teknisi,:,"NS [=_xlfn.IFNA(VLOOKUP(Q21,Pelaksana_Kalibrasi,2,0),"""")]"
,Kapasitas Max.,,:,100,,kN [=Z11],,,,,,Tanggal Terima ,,,:,2024-01-06 00:00:00,,,,,,,Metode Kalibrasi,:,"Load Cell & Proving Ring [=_xlfn.IFNA(VLOOKUP(Q22,Metode_Kalibrasi,2,0),"""")]"
,Resolusi Alat,,:,0.01,,kN [=Z11],,,,,,Tanggal Kalibrasi,,,:,2024-01-06 00:00:00 [=Q15],,,,,,,Standar Used,:,"Load Cell 100 kN [=_xlfn.IFNA(VLOOKUP(Q23,Tabel_Standar,2,0),"""")]"
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,,,Dihitung oleh,:,"NR [=_xlfn.IFNA(VLOOKUP(C54,Dihitung_Oleh,2,0),"""")]"
,,,,Awal,Akhir,,Average,,,,,Lokasi Kalibrasi,,,:,Insitu ([NAMA PELANGGAN DIREDAKSI]),,,,,,,Penandatangan,:,"Alex Misramto [=_xlfn.IFNA(VLOOKUP(F54,Penandatangan,2,0),"""")]"
,Suhu Ruangan,,:,27.7,27.7,,"27.7 [=IFERROR(AVERAGE(E21:F21),"""")]",oC,,,,Technician ID,,,:,6,,,,,,,Posisi,:,"Technical Manager [=_xlfn.IFNA(VLOOKUP(F54,Penandatangan,3,0),"""")]"
,Kelembaban,,:,70,70,,"70 [=IFERROR(AVERAGE(E22:F22),"""")]",%RH,,,,Calibration Method,,,:,14,,,,,,,Tipe Beban,:,"Pull [=VLOOKUP(E5,Tipe_Beban,2,0)]"
