 ,TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Load Cell [='INPUT DATA'!E10],,,,,,,,,,Standar Used,,,,:,Load Cell 100 kN [='INPUT DATA'!Z16],,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,100 [='PERHITUNGAN FC'!G8],,kN [='PERHITUNGAN FC'!H8],,,,,,,,Std Max. Cap,,,,:,"100 [=IF('INPUT DATA'!Q23=1,""100"",IF('INPUT DATA'!Q23=2,""3000"",IF('INPUT DATA'!Q23=3,""5"","""")))]",kN,,,,,,,,,,,
,Ketelitian Baca Alat,,,,,,,,:,0.01 [='PERHITUNGAN FC'!G9],,kN [=M4],,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca Standar,,,,,,,,:,"0.0009809999999999999 [=_xlfn.IFNA(VLOOKUP('INPUT DATA'!Q23,Tabel_Standar,6,0),"""")]",,kN [=M4],,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenis:,Pull [='INPUT DATA'!Z22],,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,
,Ketidakpastian Baku Sertifikat Kalibrasi Kalibrator,,,,,,,%,,normal,,,"0.13 [=IF($Z$3=""Load Cell 100 kN"",STANDAR_LOADCELL!H9,IF($Z$3=""Load Cell 3000 kN"",STANDAR_LOADCELL!G40,IF($Z$3=""Load Cell 5 kN"",STANDAR_LOADCELL!H62,""pilih satuan"")))]",,,2,,200,,0.065 [=N9/Q9],,,1,,0.065 [=U9*X9],,,0.0042250000000000005 [=Z9^2],,,,8.925312500000002e-08 [=((AC9^2)/S9)],,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,% [=I9],,rect.,,,0.005 [=((K5/K4)*100)/2],,,1.7320508075688772 [=SQRT(3)],,1000000,,0.002886751345948129 [=N10/Q10],,,1,,0.002886751345948129 [=U10*X10],,,8.333333333333334e-06 [=Z10^2],,,,6.944444444444445e-17 [=((AC10^2)/S10)],,,,,
,Ketidakpastian Baku Daya Baca Standar,,,,,,,% [=I10],,rect.,,,0.0004904999999999999 [=((K6/Z4)*100)/2],,,1.7320508075688772 [=SQRT(3)],,1000000,,0.0002831903070375114 [=N11/Q11],,,1,,0.0002831903070375114 [=U11*X11],,,8.019674999999998e-08 [=Z11^2],,,,6.431518710562497e-21 [=((AC11^2)/S11)],,,,,
,Ketidakpastian Temperature,,,,,,,% [=I10],,rect.,,,0.027,,,1.7320508075688772 [=Q11],,50,,0.015588457268119896 [=N12/Q12],,,1,,0.015588457268119896 [=U12*X12],,,0.00024300000000000002 [=Z12^2],,,,1.1809800000000002e-09 [=((AC12^2)/S12)],,,,,
