PT. SIDIK,,,"KALIBRASI GAYA
UTM",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,"ALL STANDARDS ARE VALID [=IF(AND(T23=""VALID""),""ALL STANDARDS ARE VALID"",""ONE OR MORE STANDARD EXPIRED"")]",,,,,,,,,,,,,,,
,Tipe Beban,,:,2,,,,,,,,,,Certificate Number,,,:,0169-CAL-324,,,,,,,
,Temperature of Load Cell Std from Certificate :,,,,,,"23.15 [=IF(Q23=1,STANDAR_LOADCELL!L10,IF(Q23=2,STANDAR_LOADCELL!L41,IF(Q23=3,STANDAR_LOADCELL!L63,""pilih standar"")))]",oC,,,,,,Order Number,,,:,2403.22.A,,,,,,,
,Actual Temperature of Load Cell Standard When Calibration Process :,,,,,,,,,24.4 [=H21],oC,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,
,Nama Alat,,:,Universal Testing Machine,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI] ,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,
,Merk,,:,Hung Ta,,,,,,,,,,,,,,,,,,,Units,:,"kgf [=_xlfn.IFNA(VLOOKUP(G14,Tabel_Satuan,2,0),"""")]"
,Type,,:,-,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,Thermohygro,:,"TH-3 [=_xlfn.IFNA(IF(E23=1,""TH-1"",IF(E23=2,""TH-2"",IF(E23=3,""TH-3"",IF(E23=4,""TH-4"",IF(E23=5,""TH-5"",IF(E23=6,""TH-6"",IF(E23=7,""TH-7"",""pilih TH""))))))),"""")]"
,No. Seri,,:,1300,,,,,,,,,,,,,,,,,,,Lokasi,:,"[=_xlfn.IFNA(VLOOKUP(Q20,Lokasi_Kalibrasi,2,0),"""")]"
,Rentang Ukur,,:,500,,4,,,,,,,,,,,,,,,,,Teknisi,:,"NS [=_xlfn.IFNA(VLOOKUP(Q21,Pelaksana_Kalibrasi,2,0),"""")]"
,Kapasitas Max.,,:,500,,kgf [=Z11],,,,,,Tanggal Terima ,,,:,2024-03-18 00:00:00,,,,,,,Metode Kalibrasi,:,"Gaya (UTM) [=_xlfn.IFNA(VLOOKUP(Q22,Metode_Kalibrasi,2,0),"""")]"
,Resolusi Alat,,:,0.1,,kgf [=Z11],,,,,,Tanggal Kalibrasi,,,:,2024-03-18 00:00:00 [=Q15],,,,,,,Standar Used,:,"Load Cell 5 kN [=_xlfn.IFNA(VLOOKUP(Q23,Tabel_Standar,2,0),"""")]"
