,Certificate Number ,,,:,0169-CAL-324 [='INPUT DATA'!S5],,,,,,,,,,,,,,,,,,,,,,,,,,
,Page  ,,,:,1,of,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Owner,,,,:,[NAMA PELANGGAN DIREDAKSI]  [='INPUT DATA'!Q10],,,,,,,,,,,,,
,Order Number,,,:,2403.22.A [='INPUT DATA'!S6],,,,,,,,Address,,,,:,[ALAMAT PELANGGAN DIREDAKSI] [='INPUT DATA'!Q12],,,,,,,,,,,,,
,Received Date,,,:,2024-03-18 00:00:00 [='INPUT DATA'!Q15],,,,,,,,,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Universal Testing Machine [='INPUT DATA'!E10],,,,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturer,,,:,Hung Ta [='INPUT DATA'!E11],,,,,,,,Calibration Location,,,,:,Insitu ([NAMA PELANGGAN DIREDAKSI]) [='INPUT DATA'!Q20],,,,,,,,,,,,,
,Model/Type,,,:,- [='INPUT DATA'!E12],,,,,,,,Calibration  Date,,,,:,2024-03-18 00:00:00 [='INPUT DATA'!Q16],,,,,,,,,,,,,
,Serial Number,,,:,1300 [='INPUT DATA'!E13],,,,,,,,Calibration Method,,,,:,"SIDIK-IK-CAL-0513_Rev.4 [=VLOOKUP('INPUT DATA'!Q22,Metode_Kalibrasi,3,0)]",,,,,,,,,,,,,
,Capacity/Graduation,,,:,500 [='INPUT DATA'!E15],,kgf [='INPUT DATA'!G15],/,0.1 [='INPUT DATA'!E16],kgf [='INPUT DATA'!G16],,,Env. Condition,,,,:,T,23.97 [='PERHITUNGAN FC'!G14+'PERHITUNGAN FC'!M14],⁰C,±,1.7117242768623688 [='PERHITUNGAN FC'!P14],°C,,,,,,,,
,Technician ID ,,,:,NS [='INPUT DATA'!Z14],,,,,,,,,,,,,%RH,51.95 [='PERHITUNGAN FC'!G15+'PERHITUNGAN FC'!M15],%,±,4.903060268852505 [='PERHITUNGAN FC'!P15],%,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Type of Force ,,,,:,Pull [='INPUT DATA'!Z22],,,,,,,,,,,,,,,,,,,,,,
,,,,Standard Value,,,,,,,Unit Under Test ,,,,,Correction,,,,,RRPE,,,,,,,,,,
,,,,kgf [=H13],,,,,,,kgf [=H13],,,,,kgf [=H13],,,,,%,,,,,,,,,,
,,,,"0 [=IF('PERHITUNGAN FC'!Z30="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z30/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z30/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z30/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z30/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z30/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"0 [=IF('PERHITUNGAN FC'!B30="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B30/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B30/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B30/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B30/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B30/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"0 [=IF(ISERROR(E21-L21),"""",E21-L21)]",,,,,- [='PERHITUNGAN FC'!AB30],,,,,,,,,,
,,,,"100.37602628174375 [=IF('PERHITUNGAN FC'!Z31="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!Z31/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!Z31/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!Z31/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!Z31/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!Z31/DATABASE!$S$24,""pilih satuan""))))))]",,,,,,,"100 [=IF('PERHITUNGAN FC'!B31="""","""",IF('INPUT DATA'!$G$15=""kN"",'PERHITUNGAN FC'!B31/DATABASE!$S$20,IF('INPUT DATA'!$G$15=""N"",'PERHITUNGAN FC'!B31/DATABASE!$S$21,IF('INPUT DATA'!$G$15=""lbf"",'PERHITUNGAN FC'!B31/DATABASE!$S$22,IF('INPUT DATA'!$G$15=""kgf"",'PERHITUNGAN FC'!B31/DATABASE!$S$23,IF('INPUT DATA'!$G$15=""tnf"",'PERHITUNGAN FC'!B31/DATABASE!$S$24,""pilih satuan""))))))]",,,,,"0.37602628174374786 [=IF(ISERROR(E22-L22),"""",E22-L22)]",,,,,0 [='PERHITUNGAN FC'!AB31],,,,,,,,,,
