,,,,,,,,,,,,,,,LATEST RECORD DRIFT,,,
,Nama Alat,:,Load Cell 100 kN (10000 kg),,,,,Tanggal Kalibrasi ,,:,2024-12-17 00:00:00,,,,,,,
,Merek,:,Uscell,,,,,Due Date Kalibrasi,,:,"2026-12-17 00:00:00 [=DATE(YEAR(L2)+2,MONTH(L2),DAY(L2))]",,,,No,STD,Udrift (%) f.s,
,Type,:,ST2-C3-10+,,,,,Tertelusur,,:,LK-057-IDN,,,,,,Tekan,Tarik
,S/N,:,J10CC13283,,,,,,,,,,,,1,Load Cell 5 kN,0.0692820323027551,0
,,,,,,,,,,,,,,,2,Load Cell 100 kN,0.031834452342817454,0.034272153479393656
,,Load Cell Uscell & Indicator SONIC AIX2 (Tekan),,,,,,,,,,,,,3,Load Cell 3000 kN,0.07428573463572993,0
,,No.,Set Point (kg),Set Point (kN),Correction (kg),Correction (kN),U95% (% reading),,Temp cal. Before,:,23.5,oC,,,,,,
,,1,1000,9.80665 [=D9*$E$18],4.6,0.04511059 [=F9*$E$18],0.13,,Temp cal. After,:,23.4,oC,,,,,,
,,2,2000,19.6133 [=D10*$E$18],3.6,0.03530394 [=F10*$E$18],0.13,,Temp cal. Certificate,:,23.45 [=AVERAGE(L8:L9)],oC,,,,,,
,,3,3000,29.41995 [=D11*$E$18],3.5,0.034323275 [=F11*$E$18],0.13,,,,,,,,,,,
,,4,4000,39.2266 [=D12*$E$18],3.5,0.034323275 [=F12*$E$18],0.13,,,,,,,,,,,
,,5,5000,49.03325 [=D13*$E$18],0.4,0.0039226600000000006 [=F13*$E$18],0.13,,,,,,,,,,,
,,6,6000,58.8399 [=D14*$E$18],-2.5,-0.024516625 [=F14*$E$18],0.13,,,,,,,,,,,
,,7,7000,68.64655 [=D15*$E$18],-3.6,-0.03530394 [=F15*$E$18],0.13,,,,,,,,,,,
,,8,8000,78.4532 [=D16*$E$18],-5.8,-0.056878569999999996 [=F16*$E$18],0.13,,,,,,,,,,,
,,9,9000,88.25985 [=D17*$E$18],-7,-0.06864655 [=F17*$E$18],0.13,,,,,,,,,,,
,,units,kg -> kN,0.00980665,,,,,,,,,,,,,,
,,Load Cell Uscell & Indicator SONIC AIX2 (Tarik),,,,,,,,,,,,,,,,
,,No.,Set Point (kg),Set Point (kN),Correction (kg),Correction (kN),U95% (% reading),,,,,,,,,,,
,,1,1000,9.80665 [=D22*$E$18],-0.2,-0.0019613300000000003 [=F22*$E$18],0.13,,,,,,,,,,,
,,2,2000,19.6133 [=D23*$E$18],-0.8,-0.007845320000000001 [=F23*$E$18],0.13,,,,,,,,,,,
,,3,3000,29.41995 [=D24*$E$18],-2.3,-0.022555295 [=F24*$E$18],0.13,,,,,,,,,,,
,,4,4000,39.2266 [=D25*$E$18],-2.7,-0.026477955 [=F25*$E$18],0.13,,,,,,,,,,,
,,5,5000,49.03325 [=D26*$E$18],-3.5,-0.034323275 [=F26*$E$18],0.13,,,,,,,,,,,
,,6,6000,58.8399 [=D27*$E$18],-4.9,-0.048052585 [=F27*$E$18],0.13,,,,,,,,,,,
,,7,7000,68.64655 [=D28*$E$18],-6.4,-0.06276256000000001 [=F28*$E$18],0.13,,,,,,,,,,,
,,8,8000,78.4532 [=D29*$E$18],-8.2,-0.08041453 [=F29*$E$18],0.13,,,,,,,,,,,
,,9,9000,88.25985 [=D30*$E$18],-12.5,-0.122583125 [=F30*$E$18],0.13,,,,,,,,,,,
,Nama Alat,:,Load Cell 3000 kN ,,,,,Tanggal Kalibrasi ,,:,2024-09-10 00:00:00,,,,,,,
,Merek,:,Matest,,,,,Due Date Kalibrasi,,:,"2026-09-10 00:00:00 [=DATE(YEAR(L33)+2,MONTH(L33),DAY(L33))]",,,,,,,
,Type,:,C-140-08,,,,,Tertelusur,,:,LK-013-IDN,,,,,,,
,S/N,:,C-140-BZ/0008,,,,,,,,,,,,,,,
,,Load Cell Matest & Indicator SONIC AIX1 (Tekan),,,,,,,,,,,,,,,,
,,No.,Set Point (kN),STD (kN),Correction (kN),U95% (% reading),,,Temp cal. Before,:,28.6,oC,,,,,,
,,1,0,0,0 [=E40-D40],0.36,,,Temp cal. After,:,28.6,oC,,,,,,
,,2,300,308.09,8.089999999999975 [=E41-D41],0.36,,,Temp cal. Certificate,:,28.6 [=AVERAGE(L39:L40)],oC,,,,,,
,,3,600,607.35,7.350000000000023 [=E42-D42],0.36,,,,,,,,,,,,
,,4,900,907.78,7.779999999999973 [=E43-D43],0.36,,,,,,,,,,,,
