,RECORD HASIL REKALIBRASI STANDAR KALIBRATOR,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nama Alat,:,Timbangan,,,,,,,,,,,
,Merk,:,Dini Argeo,,,,,,,,,,,
,Type,:,DFWLB-3,,,,,,,,,,,
,No. Seri,:,0792531584,,,,,,,,,,,
,Range,:,2000,kg,,,,,,,,,,
,Interval Kalibrasi,:,1,tahun,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Koreksi ,,,,,,,,,,,
,,,Massa Nominal (kg),Koreksi Tahun Kalibrasi (kg),,,,,,Drift Calculation :,,,,
,,,,2021,2022,2023,2024,2025,2026,"u(δmD) = 0,5 (C max - C min) / sqrt(3)",,,,
,,,,PT SIDIK,PT SIDIK,PT SIDIK,PT SIDIK,PT SIDIK,,"C max
kg"," C min
kg","ΔC
kg","0.5 * ΔC
kg",
,,,,2021-09-08T00:00:00,2022-09-07T00:00:00,2023-08-07T00:00:00,2024-08-07T00:00:00,2024-08-08T00:00:00,,,,,,
,,,20,0,0,,,,,0,0,0,0,
,,,100,0,0,,,,,0,0,0,0,
,,,200,,,0,0,0,,0,0,0,0,
,,,300,0.1,-0.1,,,,,0.1,-0.1,0.2,0.1,
,,,400,,,-0.1,-0.1,0,,0,-0.1,0.1,0.05,
,,,500,0,-0.1,,,,,0,-0.1,0.1,0.05,
,,,600,,,-0.1,-0.1,0,,0,-0.1,0.1,0.05,
,,,700,0,-0.1,,,,,0,-0.1,0.1,0.05,
,,,800,,,-0.1,-0.1,0,,0,-0.1,0.1,0.05,
,,,900,0.1,0,,,,,0.1,0,0.1,0.05,
,,,1000,,,-0.1,-0.2,0,,0,-0.2,0.2,0.1,
,,,1200,0.2,0.1,,-0.2,0,,0.2,-0.2,0.4,0.2,
,,,1400,,,-0.1,-0.2,0,,0,-0.2,0.2,0.1,
,,,1500,0.2,0.1,,,,,0.2,0.1,0.1,0.05,
,,,1600,,,-0.1,-0.3,0,,0,-0.3,0.3,0.15,
,,,1700,0.2,0.1,,,,,0.2,0.1,0.1,0.05,
,,,1800,,,-0.1,-0.3,0.1,,0.1,-0.3,0.4,0.2,
,,,2000,0.2,0,-0.1,-0.2,0.1,,0.2,-0.2,0.4,0.2,
,,,,,,,,,,,,Max. U drift,0.2,kg
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
