,RECORD HASIL REKALIBRASI STANDAR KALIBRATOR,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nama Alat,:,Timbangan,,,,,,,,,,,
,Merk,:,Sartorius,,,,,,,,,,,
,Type,:,MWP1P1-150GF-L,,,,,,,,,,,
,No. Seri,:,34166240,,,,,,,,,,,
,Range,:,150,kg,,,,,,,,,,
,Interval Kalibrasi,:,1,tahun,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Koreksi ,,,,,,,,,,,
,,,Massa Nominal (kg),Koreksi Tahun Kalibrasi (kg),,,,,,Drift Calculation :,,,,
,,,,2022,2023,2024,2025,2026,2027,"u(δmD) = 0,5 (C max - C min) / sqrt(3)",,,,
,,,,PT SIDIK,PT SIDIK,PT SIDIK,PT SIDIK,,,"C max
kg"," C min
kg","ΔC
kg","0.5 * ΔC
kg",
,,,,2022-07-07T00:00:00,2023-07-07T00:00:00,2024-07-07T00:00:00,2025-07-07T00:00:00,,,,,,,
,,,5,0,,,,,,0,0,0,0,
,,,15,,0,0,0,,,0,0,0,0,
,,,20,0,,,,,,0,0,0,0,
,,,25,0,,,,,,0,0,0,0,
,,,30,,0,0.01,0,,,0.01,0,0.01,0.005,
,,,40,0,,,,,,0,0,0,0,
,,,45,0,-0.01,0,0,,,0,-0.01,0.01,0.005,
,,,60,0,-0.02,0,0,,,0,-0.02,0.02,0.01,
,,,65,0,,,,,,0,0,0,0,
,,,75,,-0.02,0,-0.01,,,0,-0.02,0.02,0.01,
,,,80,0,,,,,,0,0,0,0,
,,,90,,-0.01,0,-0.01,,,0,-0.01,0.01,0.005,
,,,100,0.01,-0.02,0,0,,,0.01,-0.02,0.03,0.015,
,,,120,,-0.03,-0.01,0,,,0,-0.03,0.03,0.015,
,,,135,,-0.03,-0.01,0,,,0,-0.03,0.03,0.015,
,,,150,0.01,-0.04,-0.01,0,,,0.01,-0.04,0.05,0.025,
,,,,,,,,,,,,Max. U drift (δmD),0.025,kg
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
