PT. SIDIK,,,"KALIBRASI FLOWMETER
TOTALIZER",,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,:,003-CAL-126,,,Data Choosen From Combobox,,,,,,,,,,
,,,,,,,,,,,,,,Order Number,,:,2601.03.A.NK,,,(DON'T ERASE),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Flowmeter,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,Technician ID,,:,JO,,,,,,,
,Merk,,:,Endress+Hausser,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0528_Rev.6,,,,,,,
,Type,,:,Promag P,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,
,No. Seri,,:,D60BF219000,,,,,,,,,,,,,,,,Satuan,,:,L,,,,,,,
,Rentang Ukur,,:,140-2500,,1,,,,,,,,,,,,,,Calculated by,,:,DR,,,,,,,
,Kapasitas Alat,,:,9999,,L,,,,,Tanggal Terima ,,,:,2026-01-05T00:00:00,,,,,Signed by,,:,Alex Misramto,,,,,,,
,Resolusi Alat,,:,0.01,,L,,,,,Tanggal Kalibrasi,,,:,2026-01-05T00:00:00,,,,,Position,,:,Technical Manager,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermohygro,,:,TH-4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,,:,Inlab PT. SIDIK,,,,,Lookup status timbangan,,:,23.58310578703822,,,,,,,
,Suhu Ruangan,,:,25.7,25.8,,25.75,oC,,,Technician ID,,,:,3,,,,,Lookup status thermometer,,:,27.58310578703822,,,,,,,
,Kelembaban,,:,41,40,,40.5,%RH,,,Calibration Method,,,:,28,,,,,Lookup status sensor,,:,52.58310578703822,,,,,,,
,Thermohygro Used,,:,4,,,,,,,Standar Kalibrator,,,:,1,,,WARNING,,Lookup status stopwatch,,:,-81.41689421296178,,,,,,,
,,,,,,,,,,,,,,,- Temperature Calibrator (Yokogawa),,,WARNING,,Timbangan Used,,:,1,,,,,,,
,,,,,,,,,,,,,,,- TC Type K,,,VALID,,,,,,,,,,,,
,,,,,,,,,,,,,,,- Stopwatch,,,EXPIRED,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Volume Pipe from UUT to Standard (Vt) ,,,,=,0.10129012000000001,,L,,,,,,,,,,,,,(3.14*(3.81^2)*625)/1000
,Readings of UUT,,(L),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,
,1,,140.11,,,,500.68,,,1001.24,,2499.53,,,,,,,,,,,,,,,,,,
,2,,140.12,,,,500.71,,,1001.25,,2499.52,,,,,,,,,,,,,,,,,,
,3,,140.09,,,,500.7,,,1001.3,,2499.51,,,,,,,,,,,,,,,,,,
,Flowrate on Software (kg/s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of Weighing Result,,,,(kg),,"Jika menggunakan timbangan standar excellent dan fujitsu
sesuaikan nilai penimbangan dari gram ke kilogram (1 gram=1/1000kg)",,,,,,,,,,,,,,,,,,,,,,,
,"Empty Container Weight
(kg)",,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Weight of Contents
(kg)",,139.9,,,,499.3,,,998.6,,2485.5,,,,,,,,,,,,,,,,,,
,,,139.8,,,,499.4,,,998.7,,2484.9,,,,,,,,,,,,,,,,,,
,,,139.9,,,,499.4,,,998.7,,2487,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature of Water ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT,(L),Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,
,"Temperature
(oC)",,Awal,,Akhir,,Awal,Akhir,,Awal,Akhir,Awal,,,Akhir,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,:,2026-01-06T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,:,3,Name,:,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
