,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Flowmeter,,,,,Nama Custromer,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Merk,,:,Endress+Hausser,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,Promag P,,,,,Alamat Customer,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,D60BF219000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,140-2500,L,#VALUE!,L,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,9999,L,9999,L,,Tanggal Terima ,:,2026-01-05T00:00:00,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.01,L,0.01,L,,Tanggal Kalibrasi,:,2026-01-05T00:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,25.7,25.8,25.75,29.14,-0.82,oC,,0.10000000000000142,-0.82,1.7,±,1.70293863659264,oC,,,,,,,,,,,,,,,
,Kelembaban,,:,41,40,40.5,28.77,-0.83,%RH,,1,-0.83,4.9,±,5.000999900019996,%RH,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All unit are converted to L and or kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of UUT,,(L),,,,,,,Volume Pipe from UUT to Standard (Vt) ,,,,=,0.10129012000000001,L,,,,,,,,,,,,,,,
,Repeat,,Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,,
,1,,140.11,,,,500.68,,,1001.24,,2499.53,,,,,,,,,,,,,,,,,,,
,2,,140.12,,,,500.71,,,1001.25,,2499.52,,,,,,,,,,,,,,,,,,,
,3,,140.09,,,,500.7,,,1001.3,,2499.51,,,,,,,,,,,,,,,,,,,
,Average UUT,,140.10666666666668,,,,500.69666666666666,,,1001.2633333333333,,2499.52,,,,,,,,,,,,,,,,,,,
,Flowrate on Software (kg/s),,0,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of Weighing Result,,,,(kg),,,,,,,,,,,,,,,,,,,,,,,,,,
,"Empty Container Weight
(kg)",,0,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
,,,0,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
,,,0,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
,Average,,0,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
,"Weight of Contents
(kg)",,139.9,,,,499.3,,,998.6,,2485.5,,,,,,,,,,,,,,,,,,,
,,,139.8,,,,499.4,,,998.7,,2484.9,,,,,,,,,,,,,,,,,,,
,,,139.9,,,,499.4,,,998.7,,2487,,,,,,,,,,,,,,,,,,,
,Average,,139.86666666666667,,,,499.3666666666666,,,998.6666666666666,,2485.7999999999997,,,,,,,,,,,,,,,,,,,
,Index Weighing,,200,,,,400,,,1000,,2000,,,,,,,,,,,,,,,,,,,
,Correction Standard,,0,,,,0,,,0,,0.1,,,,,,,,,,,,,,,,,,,
,Standard Corrected,,139.86666666666667,,,,499.3666666666666,,,998.6666666666666,,2485.8999999999996,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV UUT-STD,,Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,,
,1,,-0.21000000000000796,,,,-1.3799999999999955,,,-2.6399999999999864,,-14.0300000000002,,,,,,,,,,,,,,,,,,,
,2,,-0.3199999999999932,,,,-1.3100000000000023,,,-2.5499999999999545,,-14.61999999999989,,,,,,,,,,,,,,,,,,,
,3,,-0.18999999999999773,,,,-1.3000000000000114,,,-2.599999999999909,,-12.510000000000218,,,,,,,,,,,,,,,,,,,
,STDEV Weight,,0.06999999999999505,,,,0.0435889894353997,,,0.04509249752824256,,1.088622983405963,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature of Water ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT,(L),Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,,
,"Temperature
(oC)",,Awal,,Akhir,,Awal,Akhir,,Awal,Akhir,Awal,,,Akhir,,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,,
,Average,,25.5,,25.399999999999995,,25.399999999999995,25.399999999999995,,25.3,25.399999999999995,26,,,26,,,,,,,,,,,,,,,,
,Index Temperature,,25,,25,,25,25,,25,25,25,,,25,,,,,,,,,,,,,,,,
,Correction Standard,,-0.02,,-0.02,,-0.02,-0.02,,-0.02,-0.02,-0.02,,,-0.02,,,,,,,,,,,,,,,,
,Standard Corrected,,25.48,,25.379999999999995,,25.379999999999995,25.379999999999995,,25.28,25.379999999999995,25.98,,,25.98,,,,,,,,,,,,,,,,
,Average (g/ml),,0.9963158263848134,,0.9963505228461434,,0.9963505228461434,0.9963505228461434,,0.9963852193074735,0.9963505228461434,0.9961423440781632,,,0.9961423440781632,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALCULATION,,Point 1,,,,Point 2,,,Point 3,,Point 4,,,,Satuan,,,,,,,,,,,,,,,
,UUT,,140.10666666666668,,,,500.69666666666666,,,1001.2633333333333,,2499.52,,,,L,,,,,,,,,,,,,,,
,,Density Anak Timbang,8,,,,8,,,8,,8,,,,kg/l,,,,,,,,,,,,,,,
,,E,0.001054416384572484,,,,0.0010543954135459456,,,0.0010543744432496796,,0.0010546471140733284,,,,,,,,,,,,,,,,,,,
,Density of Air,,0.0012,,,,0.0012,,,0.0012,,0.0012,,,,kg/l,,,,,,,,,,,,,,,
,Weight of Water (M),,139.86666666666667,,,,499.3666666666666,,,998.6666666666666,,2485.8999999999996,,,,kg,,,,,,,,,,,,,,,
,Weight of Destillate Water with Bouyancy effect (Mt),,140.01414437165553,,,,499.8931965896777,,,999.7196352773252,,2488.5217472608747,,,,kg,,,,,,,,,,,,,,,
,Density of Des. Water,,0.9963331746154784,,,,0.9963505228461434,,,0.9963678710768085,,0.9961423440781632,,,,kg/L,,,,,,,,,,,,,,,
,Totalizer ,,140.52944129426598,,,,501.7242276961913,,,1003.3639826190846,,2498.158784288775,,,,L,,,,,,,,,,,,,,,
,Deviation Totalizer ,,0.4227746275992956,,,,1.0275610295246338,,,2.100649285751274,,-1.3612157112247587,,,,L,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ISO 4185,Laju alir masa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.9987955836154275,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
