CALIBRATION BUDGET UNCERTAINTY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Nama Alat,:,Flowmeter,,,,,,,,,,
,Rentang Ukur,:,#VALUE!,L,,,,,,,,,
,Ketelitian Baca UUT,:,0.01,L,,,,,,,,,
,,,,,,,,,,,,,
,Temperature (UTemperature),,,,,,,,,,,,
,a. U95% Thermometer Certificate (oC),,,,c. Ut-water (oC),,,,,,,,
,    U95% Thermometer (Constant),:,0.34,,    (Tmax-Tmin)Water,,:,0,,,,,
,    k,:,2,,    2√3,,:,3.4641016151377544,,,,,
,    Utemp. (oC),:,0.17,,    Ut-water (oC),,:,0,,,,,
,b. U95% Sensor Certificate (oC),,,,d. UTemperature (oC),,=,,,,,,
,    U95% Sensor (Type K),:,0.44,,,,=,0.2780287754891569,,,,,
,    k,:,2,,,,,,,,,,
,    Utemp. (oC),:,0.22,,,,,,,,,,
,Kapastias standar temprature terkalibrasi,:,400,°C,,,,,,,,,
,,,,,,,,,,,,,
,Point 1,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,Ketidakpastian Standar Timbangan,kg,normal,0.52,2,60,0.26,1,0.26,0.06760000000000001,7.616266666666668e-05,,
,Resolusi Alat yang dikalibrasi,kg,rectangular,0.005,1.73,50,0.0028901734104046246,1,0.0028901734104046246,8.353102342209898e-06,1.3954863747886498e-12,,
,Kestabilan Aliran,kg,rectangular,0.8000000000000114,1.73,50,0.4624277456647465,1,0.4624277456647465,0.21383941996057945,0.0009145459505815413,,
,Pengulangan Pembacaan,kg,T-Student,0.06999999999999505,1.7320508075688772,2,0.04041451884327095,1,0.04041451884327095,0.0016333333333331027,1.3338888888885121e-06,,
,Koreksi Bouyancy,kg,rectangular,0.00070264720647133,1.73,50,0.0004061544546077052,1,0.0004061544546077052,1.6496144099768247e-07,5.442455403206375e-16,,
,Water Density uncertainty,kg/L,normal,0.0005,2,60,0.00025,-0.1690776833300622,-4.2269420832515555e-05,1.7867039375163e-09,5.3205182672270847e-20,,
,Ketidakpastian densitas karena pengaruh perbedaan suhu,oC,rectangular,0.13901438774457844,1.73,50,0.08035513742461181,0.02961979328168542,0.0023801025596384257,5.664888194397385e-06,6.418191651004574e-13,,
,Ketidakpastian Drift Timbangan Standar,kg,rectangular,0.1,1.73,50,0.05780346820809249,1,0.05780346820809249,0.0033412409368839594,2.23277819966184e-07,,
,Ketidakpastian Drift Suhu & Sensor Standar,oC,rectangular,0.03,1.73,50,0.017341040462427744,0.02961979328168542,0.0005136380337864523,2.6382402975201273e-07,1.392062373491818e-15,,
,Sum,,,,,,,,0.8267935317537145,0.2864284427935079,0.0009922657859963045,,
,"Uncertainty Combination, uc",,,,,,,,0.5351900996781498,,,,
,Veff,,,,,,,,82.6807232486996,,,,
,K Factor & Confident Level 95%,,,,,,,,1.9893185571365706,,,,
,"Expanded Uncertainty, U = k.Uc",,,,,,,,1.0646635968855143,,,kg/m,
,,,,,,,,,CMC,,,,
,,,,,,,,,U95% sert,1.0607596613824783,L,0.7576089302569196,
,,,,,,,,,,,,,
,Point 2,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,Ketidakpastian Standar Timbangan,kg,normal,0.52,2,200,0.26,1,0.26,0.06760000000000001,2.2848800000000004e-05,,
,Resolusi Alat yang dikalibrasi,kg,rectangular,0.005,1.73,50,0.0028901734104046246,1,0.0028901734104046246,8.353102342209898e-06,1.3954863747886498e-12,,
,Kestabilan Aliran,kg,rectangular,0.8000000000000114,1.73,60,0.4624277456647465,1,0.4624277456647465,0.21383941996057945,0.0007621216254846178,,
,Pengulangan Pembacaan,kg,T-Student,0.0435889894353997,1.7320508075688772,2,0.02516611478423177,1,0.02516611478423177,0.0006333333333331288,2.0055555555542604e-07,,
,Koreksi Bouyancy,kg,rectangular,0,1.73,50,0,1,0,0,0,,
,Water Density uncertainty,kg/L,normal,0.0005,2,50,0.00025,-0.1690776833300622,-4.2269420832515555e-05,1.7867039375163e-09,6.384621920672501e-20,,
,Ketidakpastian densitas karena pengaruh perbedaan suhu,oC,rectangular,0.13901438774457844,1.73,50,0.08035513742461181,0.02961979328168542,0.0023801025596384257,5.664888194397385e-06,6.418191651004574e-13,,
