,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,003-CAL-126,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,
,Page,,,:,1 of 1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,
,Order Number,,,:,2601.03.A.NK,,,,,,,,,,,,,,,,,,
,Received Date,,,:,2026-01-05T00:00:00,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Flowmeter,,,,,Calibration Location,,,:,Inlab PT. SIDIK,,,,,,,,,
,Manufacturer,,,:,Endress+Hausser,,,,,Calibration  Date,,,:,2026-01-05T00:00:00,,,,,,,,,
,Model/Type,,,:,Promag P,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0528_Rev.7,,,,,,,,,
,Serial Number,,,:,D60BF219000,,,,,Env. Condition,,,:,T ,24.93,oC,±,1.70293863659264,oC,,,,
,Capacity/Graduation,,,:,9999,L,/,0.01,L,,,,,%RH,39.67,%,±,6.4195015382816125,%,,,,
,Capacity/Graduation,,,:,9999,L,/,0.01,L,,,,,%RH,40.5,%,±,5.000999900019996,%,,,,
,Technician ID,,,:,JO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Unit Under Test,,Standard Indication,,,Correction,,,U95% ±,"Measured Flowrate
During Calibration",,,Fluids Condition,,,,,,,,,,
,L,,L,,,L,,,L,m3/h,,,Temperature (⁰C),,,,Type of Fluids,,,,,,
,140.10666666666668,,140.52944129426598,,,0.4227746275992956,,,1.0607596613824783,0.77,,,25.449999999999996,,,,Water,,,,,,0.30175197059333053
,500.69666666666666,,501.7242276961913,,,1.0275610295246338,,,1.0557016783681432,0.78,,,25.399999999999995,,,,Water,,,,,,0.20522625731972796
,1001.2633333333333,,1003.3639826190846,,,2.100649285751274,,,1.0596510409530102,0,,,25.349999999999998,,,,Water,,,,,,0.20979988139163594
,2499.52,,2498.158784288775,,,-1.3612157112247587,,,2.1194884158039065,0,,,26,,,,Water,,,,,,-0.05445908459323225
,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,1.9893185571365706,1.9893185571365706,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,#REF!,,,,
,,    - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type,,,Serial Number,,,,,Traceable to SI through,,,,,,,
,Timbangan Elektronik,,,,,,,Dini Argeo/DFWLB-3,,,0792531584,,,,,LK-285-IDN,,,,,,,
,Temperature Calibrator,,,,,,,Yokogawa/CA 150 Handy Cal,,,23P1005,,,,,LK-241-IDN,,,,,,,
,Thermocouple,,,,,,,-/Type K,,,"TC-01,02",,,,,LK-064-IDN,,,,,,,
,Stopwatch,,,,,,,Weight Scale/-,,,Timer.FM.1,,,,,LK-361-IDN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,,,,,,,,,,,,,,,,,,,,,
,2026-01-09T00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
