STANDAR KALIBRATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Timbangan Digital,,,Tanggal Kalibrasi ,,:,2025-08-08T00:00:00,,,,,Nama Alat,:,Timbangan Digital,,,Tanggal Kalibrasi ,,:,2025-07-07T00:00:00,,,,,,,,,,,,
,Merek,:,Dini Argeo,,,Due Date Kalibrasi,,:,2026-08-08T00:00:00,,,,,Merek,:,Sartorius,,,Due Date Kalibrasi,,:,2026-07-07T00:00:00,,,,,,,,,,,,
,Type,:,DFWLB-3,,,Tertelusur,,:,LK-285-IDN,,,,,Type,:,150GF,,,Tertelusur,,:,LK-285-IDN,,,,,,,,,,,,
,S/N,:,0792531584,,,Resolusi,,:,0.1,kg,,,,S/N,:,34166240,,,Resolusi,,:,0.01,kg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,U95 % (kg),,0.52,,,,Weight Correction,,,,,,,U95 % (kg),,0.033,,Weight Correction,,,,,,,,,,,,,,,
,,,,,,,,,Point Cal. (kg),Correction (kg),,,,,,,,,,Point Cal. (kg),Correction (kg),,,,,,,,,,,,,
,Data Kestabilan Pembacaan Timbangan,,,,,,,,200,0,,,Data Kestabilan Pembacaan Timbangan,,,,,,,15,0,,,,,,,,,,,,,
,Tgl pengujian ,:,2025-12-10T00:00:00,,,,,,400,0,,,Tgl pengujian ,:,2024-05-02T00:00:00,,,,,30,0,,,,,,,,,,,,,
,Teknisi    ,:,DT & NR,,,,,,600,0,,,Teknisi    ,:,DT,,,,,45,0,,,,,,,,,,,,,
,,,,,,,,,800,0,,,,,,,,,,60,0,,,,,,,,,,,,,
,Tabel Stabilitas Penimbangan,,,Set Point,500,kg,,,1000,0,,,Tabel Stabilitas Penimbangan,,,Set Point,100,kg,,75,-0.01,,,,,,,,,,,,,
,Penimbangan (kg),,,,,,,,1200,0,,,Penimbangan (kg),,,,,,,90,-0.01,,,,,,,,,,,,,
,"1""","1""","1""","1""",,,,,1400,0,,,"1""","1""","1""","1""",,,,105,0,,,,,,,,,,,,,
,546.2,547,546.2,545.4,,,,,1600,0,,,108.12,108.22,108.17,108.15,,,,120,0,,,,,,,,,,,,,
,Min,545.4,kg,,,,,,1800,0.1,,,Min,108.12,kg,,,,,135,0,,,,,,,,,,,,,
,Max,547,kg,,,,,,2000,0.1,,,Max,108.22,kg,,,,,150,0,,,,,,,,,,,,,
,,0.8000000000000114,KG,,,,,,,,,,,0.04999999999999716,KG,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Timbangan Digital,,,Tanggal Kalibrasi ,,:,2024-07-22T00:00:00,,,,,Nama Alat,:,Timbangan Digital,,,Tanggal Kalibrasi ,,:,2024-06-16T00:00:00,,,,,,,,,,,,
,Merek,:,Mettler,,,Due Date Kalibrasi,,:,2025-07-22T00:00:00,,,,,Merek,:,Fujitsu,,,Due Date Kalibrasi,,:,2025-06-16T00:00:00,,,,,,,,,,,,
,Type,:,DJ Series,,,Tertelusur,,:,LK-285-IDN,,,,,Type,:,FSR-A,,,Tertelusur,,:,LK-285-IDN,,,,,,,,,,,,
,S/N,:,HSEX1403752,,,Resolusi,,:,0.0001,kg,,,,S/N,:,SIDIK/134/2024,,,Resolusi,,:,0.001,g,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,U95 % (kg),,0.00017,,,,Weight Correction,,,,,,,U95 % (kg),,1.6e-05,,Weight Correction,,,,,,,,,,,,,,,
,,,,,,,,,Point Cal. (g),Correction (kg),,,,,,,,,,SP (g),Correction (kg),,,,,,,,,,,,,
,Data Kestabilan Pembacaan Timbangan,,,,,,,,3,0,,,Data Kestabilan Pembacaan Timbangan,,,,,,,120,0,,,,,,,,,,,,,
,Tgl pengujian ,:,2026-02-06T00:00:00,,,,,,6,0,,,Tgl pengujian ,:,2024-07-02T00:00:00,,,,,240,0,,,,,,,,,,,,,
,Teknisi    ,:,DT & JO,,,,,,9,0,,,Teknisi    ,:,DT,,,,,360,0,,,,,,,,,,,,,
,,,,,,,,,12,0,,,,,,,,,,500,0,,,,,,,,,,,,,
,Tabel Stabilitas Penimbangan,,,Set Point,4,kg,,,15,0,,,Tabel Stabilitas Penimbangan,,,Set Point,1,kg,,600,1e-06,,,,,,,,,,,,,
,Penimbangan (kg),,,,,,,,18,0,,,Penimbangan (kg),,,,,,,720,1e-06,,,,,,,,,,,,,
,"1""","1""","1""","1""",,,,,21,0,,,"1""","1""","1""","1""",,,,840,1e-06,,,,,,,,,,,,,
,4.2333,4.295999999999999,4.2876,4.310700000000001,,,,,24,0,,,999.875,1000.005,999.865,999.965,,,,900,1e-06,,,,,,,,,,,,,
,Min,4.2333,kg,,,,,,27,0.1,,,Min,999.865,g,,,,,1000,1e-06,,,,,,,,,,,,,
,Max,4.310700000000001,kg,,,,,,30,0.1,,,Max,1000.005,g,,,,,1200,1e-06,,,,,,,,,,,,,
,,0.0387000000000004,kg,,,,,,,,,,,0.06999999999999318,g,6.999999999999318e-05,kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Timer,,,Tanggal Kalibrasi ,,:,2025-04-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
,Merek,:,Weight Scale,,,Due Date Kalibrasi,,:,2026-04-25T00:00:00,,,,,TABEL RECORD DRIFT STANDAR KALIBRATOR,,,,,,,,,,,,,,,,,,,,
,Type,:,Timer.FM.1,,,Tertelusur,,:,LK-361-IDN,,,,,,,,,,,,,,,,,,,,,,,,,
,S/N,:,SW-1,,,,,,,,,,,Nama,,Drift,Satuan,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Timbangan Dini Argeo,,0.2,kg,,,,,,,,,,,,,,,,,
,,U95 % (kg),,,,,,,,,,,,Timbangan Sartorius,,0.025,kg,,,,,,,,,,,,,,,,,
,,S,Minute,,,,,,,,,,,Temp. Cal Constant - TC Type K,,0.06,oC,,,,,,,,,,,,,,,,,
,,0.14,0.0023333333333333335,,,,,,,,,,,Timbangan Mettler,,8.5e-05,kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Timbangan Fujitsu,,7.999999999999999e-09,kg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Kestabilan aliran,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Timbangan ,Nilai Kestabilan (%FS),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Dini,0.8000000000000114,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Sartorius,0.04999999999999716,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Mettler,0.0387000000000004,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Fujitsu,6.999999999999318e-05,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Temperature Kalibrator,,,Tanggal Kalibrasi ,,:,2025-08-12T00:00:00,,,,Pengukuran Densitas Air yang digunakan sebagai media Kalibrasi,,,,,,,,,,,,,,,,,,,,,
,Merek,:,Yokogawa,,,Due Date Kalibrasi,,:,2026-08-12T00:00:00,,,,Tanggal Pengukuran,,:,18 Mei 2026,,,,,,,,,,,,,,,,,,
,Type,:,CA 150 Handy Cal,,,Tertelusur,,:,LK-241-IDN,,,,PIC,,:,NR,,,,,,,,,,,,,,,,,,
,S/N,:,23P1005,,,,,,,,,,Picnometer act Volume,,:,50.3139,ml,,,,,,,,,,,,,,,,,
,,,,Measure type K,,,,,,,,,Tertelusur,,:,LK-285-IDN,,,,,,,,,,,,,,,,,,
,,,,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,Variasi Temperature (°C),Tertimbang (gram),Pembacaan Densitas (g/ml),,,,,,,,,,,,,,,,,,,
,,,,oC,oC,oC,oC,,,,,,20,50.2242,0.9982171924657005,,,,,,,,,,,,,,,,,,,
,,,,-100,-100,0,0.35,,,,,,27,50.102,0.9957884401725965,,,,,,,,,,,,,,,,,,,
,,,,-20,-20,0,0.35,,,,,,30,50.0951,0.9956513011314966,,,,,,,,,,,,,,,,,,,
