PT. SIDIK,,,"KALIBRASI FLOWMETER ULTRASONIC
TOTALIZER",,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,:,002-CAL-226,,,Data Choosen From Combobox,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Order Number,,:,2602.07.A.NK,,,(DON'T ERASE),,,,,,,,,,,,,,,,, PRL artefak,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,,,,2 in,150-500,fr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Flowmeter,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,Technician ID,,:,DT,,,,,,,,,,,,,2 in,100-1900,totalizer
,Merk,,:,EH,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0528_Rev.6,,,,,,,,,,,,,,,
,Type,,:,Promass 300,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,R4144D02000,,,,,,,,,,,,,,,,Satuan,,:,L,,,,,,,,,,,,,,,
,Rentang Ukur,,:,140-2500,,1,,,,,,,,,,,,,,Calculated by,,:,DR,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,9999,,L,,,,,Tanggal Terima ,,,:,2026-02-02T00:00:00,,,,,Signed by,,:,Alex Misramto,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.01,,L,,,,,Tanggal Kalibrasi,,,:,2026-02-02T00:00:00,,,,,Position,,:,Technical Manager,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermohygro,,:,TH-4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,,:,Inlab PT. SIDIK,,,,,Lookup status timbangan,,:,20.472437731485115,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,23.5,23.6,,23.55,oC,,,Technician ID,,,:,2,,,,,Lookup status thermometer,,:,24.472437731485115,,,,,,,,,,,,,,,
,Kelembaban,,:,54,55,,54.5,%RH,,,Calibration Method,,,:,28,,,,,Lookup status sensor,,:,49.472437731485115,,,,,,,,,,,,,,,
,Thermohygro Used,,:,4,,,,,,,Standar Kalibrator,,,:,2,,,WARNING,,Lookup status stopwatch,,:,6.472437731485115,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,- Temperature Calibrator (Yokogawa),,,WARNING,,Timbangan Used,,:,2,,,,,,,,,,,,,,,
,Diameter Pipa,,:,50.81,50.82,50.81,,mm,,,,,,,- TC Type K,,,VALID,,,,,,,,,,,,,,,,,,,,
,Ketebalan Pipa,,:,2.32,2.31,2.32,,mm,,,,,,,- Caliper,,,WARNING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,- Ultrasonic Thickness Gauge,,,WARNING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of UUT,,(L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,Awal,,Akhir,,Awal,Akhir,,Awal,Akhir,Awal,,,Akhir,,,,,,,,,,,,,,,,,,,,,,,
,Empty Container Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1002.65,,,,1901.37,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,1004.56,,,,1902.66,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,1006.52,,,,1904.27,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note :,Nilai Densitas UUT diisi jika alat dapat membaca nilai densitasnya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of Weighing Result Standard,,,,L,TIDAK DIPAKAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Weight of Contents
(L)",,1010.885,,,,1901.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1011.52,,,,1903.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1012.215,,,,1904.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature of Fluida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT,(L),Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Temperature
(oC)",,Awal,,Akhir,,Awal,Akhir,,Awal,Akhir,Awal,,,Akhir,,,,,,,,,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,:,2026-02-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,:,3,Name,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
