,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,,,,,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besaran yang diukur,,: Volume (L),,,,,,,,,,,,,,,,,,,,,,,,,
Jenis alat yang dikalibrasi,,: Flowmeter,,,,,,,,,,,,,,,,,,,,,,,,,
Standar yang digunakan,,: ,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nama,Merk,Tipe ,SN,,,,,,,,,,,,,,,,,,,,,,
,,Ultrasonic Flowmeter,Krohne,UFC300,A18P045140,,,,,,,,,,,,,,,,,,,,,,
,,Temperature Calibrator,Yokogawa,CA150,23P1005,,,,,,,,,,,,,,,,,,,,,,
,,Thermocouple Type K,-,Wire,TC-01 & TC-02,,,,,,,,,,,,,,,,,,,,,,
,,Digital Caliper,Tesa,IP67,CLP-130990,,,,,,,,,,,,,,,,,,,,,,
Model Matematis,,Koreksi = ,,𝑄 ̅_𝑠𝑡𝑎𝑛𝑑𝑎𝑟𝑑 =,Rata-rata pembacaan Totalizer Standar,,,,,,,,,,,,,,,,,,,,,,
,,,,𝑥 ̅_𝑈𝑈𝑇 =,Rata-rata pembacaan Totalizer UUT,,,,,,,,,,,,,,,,,,,,,,
CALIBRATION BUDGET UNCERTAINTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Mencari koefisien sensitifitas caliper dan ultrasonic thickness gauge
,Nama Alat,:,Flowmeter,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,:,1000-1900,L,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca UUT,:,0.001,L,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature (UTemperature),,,,,,,,,,,,,,,,,,,,,,,,,,
,a. U95% Thermometer Certificate (oC),,,,c. Ut-water (oC),,,,,,,,,,,,,,,,,,,,,,
,    U95% Thermometer (Yokogawa),:,0.34,,    (Tmax-Tmin)Water,,:,0,,,,,,,,,,,,,,,,,,,
,    k,:,2,,    2√3,,:,3.4641016151377544,,,,,,,,,,,,,,,,,,,
,    Utemp. (oC),:,0.17,,    Ut-water (oC),,:,0,,,,,,,,,,,,,,,,,,,
,b. U95% Sensor Certificate (oC),,,,d. UTemperature (oC),,=,,,,,,,,,,,,,,,,,,,,
,    U95% Sensor (Type K),:,0.44,,,,=,0.2780287754891569,,,,,,,,,,,,,,,,,,,
,    k,:,2,,,,,,,,,,,,,,,,,,,,,,,,
,    Utemp. (oC),:,0.22,,,,,,,,,,,,,,,,,,,,,,,,
,Kapastias standar temprature terkalibrasi,:,400,°C,,,,,,,,,,,,,,,,,,,,,,,
,Geometris,,,,,,,,,,,,,,,,,,,,,,,,,,
,a. U95% Caliper (mm),,,,c. U95% Jarak Tranducer (mm),,,,,,,,,,,,,,,,,,,,,,
,    U95% Caliper (Tesa),:,0.015,mm,    U95% Penggaris Besi,,:,0.16,mm,,,,,,,,,,,,,,,,,,
,    k,:,2,,    k,,:,2,,A=,1674.0850340000002,mm2,,,,,,,,,,,,,,,
,    U Caliper,:,0.0075,mm,    U Penggaris,,:,0.08,mm,,,,,,,,,,,,,,,,,,
,b. U95% Ultrasonic Thickness Gauge (mm),,,,,,,,,,,,,,,,,,,,,,,,,,
,    U95% Thickness Gauge,:,0.0096,mm,d. Standard Deviasi ketebalan dinding pipa (mm),,,,,,,,,,,,,,,,,,,,,,
,    k,:,2,,    U95% STDev,,:,0.0033333333333332624,mm,,72.5026,,,,,,,,,,,,,,,,
,    U Thickness Gauge,:,0.0048,mm,,,,,,,0.01218236430254817,,,,,,,,,,,,,,,,
,π,:,3.14,,,,,,,uA =,0.883253086081929,,,,,,,,,,,,,,,,
,Ketebalan Pipa,:,2.3166666666666664,mm,,,,,,,,,,,,,,,,,,,,,,,
,D0 (diameter Luar Pipa),:,50.81333333333333,mm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,
,Ketidakpastian Standar Flowmeter Ultrasonik (FU),L,normal,13.0104,2,60,6.5052,1,6.5052,42.317627040000005,29.846359304942325,,,,,,,,,,,,,,,,
,Resolusi Alat yang dikalibrasi,L,rectangular,0.005,1.73,50,0.0028901734104046246,1,0.0028901734104046246,8.353102342209898e-06,1.3954863747886498e-12,,,,,,,,,,,,,,,,
,Ketidakpastian Pengukuran temperature fluida,oC,Normal,0.2780287754891569,2,2,0.13901438774457844,0.21097603039232857,0.02932870369377113,0.0008601728603570242,3.699486748473923e-07,,,,,,,,,,,,,,,,
