,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,002-CAL-226,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,
,Page,,,:,1 of 1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,
,Order Number,,,:,2602.07.A.NK,,,,,,,,,,,,,,,,,,
,Received Date,,,:,2026-02-02T00:00:00,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Flowmeter,,,,,Calibration Location,,,:,Inlab PT. SIDIK,,,,,,,,,
,Manufacturer,,,:,EH,,,,,Calibration  Date,,,:,2026-02-02T00:00:00,,,,,,,,,
,Model/Type,,,:,Promass 300,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0528_Rev.6,,,,,,,,,
,Serial Number,,,:,R4144D02000,,,,,Env. Condition,,,:,T ,22.96,oC,±,1.70293863659264,oC,,,,
,Capacity/Graduation,,,:,9999,L,/,0.01,L,,,,,%RH,53.67,%,±,6.4195015382816125,%,,,,
,Capacity/Graduation,,,:,9999,L,/,0.01,L,,,,,%RH,54.5,%,±,5.000999900019996,%,,,,
,Technician ID,,,:,DT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Unit Under Test,,,,,Standard Indication,,Correction,,,,U95% ±,,,,,,,,,
,,,L,,,,,L,,L,,,,%OR,,,,,,,,,
,,,1004.5766666666667,,,,,998.4879999999999,,-6.088666666666768,,,,1.35105027058947,,,,,,,,,-0.6060927820342334
,,,1902.7666666666664,,,,,1883.8594625886044,,-18.907204078062023,,,,1.346605626111084,,,,,,,,,-0.9936690824621354
,,,0,,,,,#N/A,,#N/A,,,,#N/A,,,,,,,,,#N/A
,,,0,,,,,#N/A,,#N/A,,,,#N/A,,,,,,,,,#N/A
,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,,,,1.9939433678456266,,,,,,,
,,,,,,,,,,,,,,,,,,,#REF!,,,,
,,    - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,Merk/Type,,,,,Serial Number,,,,,,Traceable to SI through,,,,,,
,Ultrasonic Flowmeter,,,,,KROHNE/UFC300,,,,,A18P045140,,,,,,LK-285-IDN,,,,,,
,Temperature Calibrator,,,,,Yokogawa/CA 150 Handy Cal,,,,,23P1005,,,,,,LK-241-IDN,,,,,,
,Thermocouple,,,,,-/Type K,,,,,"TC-01,02",,,,,,LK-064-IDN,,,,,,
,Digital Caliper,,,,,Tesa/Cal-IP67,,,,,LPI-0368,,,,,,LK-285-IDN,,,,,,
,Ultrasonic Thickness Gauge,,,,,0,,,,,0,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,,,,,,,,,,,,,,,,,,,,,
,2026-02-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
