,RECORD HASIL REKALIBRASI STANDAR KALIBRATOR,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nama Alat,:,Timbangan,,,,,,,,,,,
,Merk,:,Mettler,,,,,,,,,,,
,Type,:,,,,,,,,,,,,
,No. Seri,:,34166240,,,,,,,,,,,
,Range,:,30,kg,,,,,,,,,,
,Interval Kalibrasi,:,1,tahun,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Koreksi ,,,,,,,,,,,
,,,Massa Nominal (kg),Koreksi Tahun Kalibrasi (kg),,,,,,Drift Calculation :,,,,
,,,,2026,2027,2028,2029,2030,2031,"u(δmD) = 0,5 (C max - C min) / sqrt(3)",,,,
,,,,PT GIN,,,,,,"C max
kg"," C min
kg","ΔC
kg","0.5 * ΔC
kg",
,,,,2022-07-07T00:00:00,,,,,,,,,,
,,,5,0,,,,,,0,0,0,0,
,,,15,,,,,,,0,0,0,0,
,,,20,0,,,,,,0,0,0,0,
,,,25,0,,,,,,0,0,0,0,
,,,30,,,,,,,0,0,0,0,
,,,40,0,,,,,,0,0,0,0,
,,,45,0,,,,,,0,0,0,0,
,,,60,0,,,,,,0,0,0,0,
,,,65,0,,,,,,0,0,0,0,
,,,75,,,,,,,0,0,0,0,
,,,80,0,,,,,,0,0,0,0,
,,,90,,,,,,,0,0,0,0,
,,,100,0.01,,,,,,0.01,0.01,0,0,
,,,120,,,,,,,0,0,0,0,
,,,135,,,,,,,0,0,0,0,
,,,150,0.01,,,,,,0.01,0.01,0,0,
,,,,,,,,,,,,Max. U drift (δmD),0,kg
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
