,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Aliran,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,Flowmeter Flowrate,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data Flowmeter_Flowrate,2023-04-14T00:00:00,"- Creating All Sheets
",HN,,NR,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-04-14T00:00:00,Date:,2023-05-23T00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data Flowmeter_Flowrate,2023-06-22T00:00:00,"-Adding new units: usg/min, kg/h",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-06-22T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,3,Master Olah Data Flowmeter_Flowrate,2023-07-05T00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-07-05T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,4,Master Olah Data Flowmeter_Flowrate,2023-07-26T00:00:00,-Updating timbangan sartoius recalibration 2023 on Database sheet,HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-07-26T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,5,Master Olah Data Flowmeter_Flowrate,2023-09-15T00:00:00,-Updating timbangan Dini Argeo recalibration 2023 on Database sheet,HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-09-15T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,6,Master Olah Data Flowmeter_Flowrate,2023-09-25T00:00:00,"-Revisi perhitungan standar di ""sertifikat"" sheet
- Adding satuang kg/min in ""database"" sheet
- Adding std kalibrator timbangan sartorius
- Changging temp. calibrator from Constant -> Victor",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,,Date:,,Date:,,,,,,,,,,,,,,
,7,Master Olah Data Flowmeter_Flowrate,2023-10-30T00:00:00,"Revisi technician ID (JO,RH)",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
