PT. SIDIK,,,"KALIBRASI FLOWMETER
FLOWRATE",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Certificate Number,,:,003-CAL-126,,,Data Choosen From Combobox,,,,,
,,,,,,,,,,,,,,,Order Number,,:,2601.03.A.NK,,,(DON'T ERASE),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Flowmeter,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,Technician ID,,:,NR,,
,Merk,,:,Endress+Hausser,,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0528_Rev.6,,
,Type,,:,Promag P,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,
,No. Seri,,:,D60BF219000,,,,,,,,,,,,,,,,,Satuan,,:,m3/h,,
,Rentang Ukur,,:,0.1-0.6,,2,,,,,,,,,,,,,,,Calculated by,,:,DR,,
,Kapasitas Alat,,:,9999,,m3/h,,,,,,Tanggal Terima ,,,:,2026-01-05T00:00:00,,,,,Signed by,,:,Alex Misramto,,
,Resolusi Alat,,:,0.0001,,m3/h,,,,,,Tanggal Kalibrasi,,,:,2026-01-05T00:00:00,,,,,Position,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermohygro,,:,TH-4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,,Lokasi Kalibrasi,,,:,Inlab (Lab. Instalasi Flowmeter),,,,,Lookup status timbangan,,:,-8.566673958332103,,
,Suhu Ruangan,,:,28.2,28.4,,28.299999999999997,oC,,,,Technician ID,,,:,1,,,,,Lookup status thermometer,,:,27.433326041667897,,
,Kelembaban,,:,56,54,,55,%RH,,,,Calibration Method,,,:,28,,,,,Lookup status sensor,,:,52.4333260416679,,
,Thermohygro Used,,:,4,,,,,,,,Standar Kalibrator,,,:,3,,,EXPIRED,,Lookup status stopwatch,,:,-81.5666739583321,,
,,,,,,,,,,,,,,,,- Temperature Calibrator (Yokogawa),,,WARNING,,Std Used,,:,3,,
,,,,,,,,,,,,,,,,- TC Type K,,,VALID,,,,,,,
,,,,,,,,,,,,,,,,- Stopwatch,,,EXPIRED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Volume Pipe from UUT to Standard (V) ,,,,,=,0.10129012000000001,,L,,,,,,,,
,Readings of UUT flowrate,,(m3/h),,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,"Point 1
3 gigi valve (25%)",,,,"Point 2
4 gigi valve (50%)",,,"Point 3
8 gigi valve (100%)",,,,,,,,,,,,,,,,
,,,"20""","40""","60""",,"20""","40""","60""","20""","40""","60""",,,,,,,,,,,,,,
,1,,0.1221,0.1219,0.122,,0.5967,0.5971,0.5965,,,,,,,,,,,,,,,,,
,2,,0.1221,0.1219,0.122,,0.5967,0.5971,0.5965,,,,,,,,,,,,,,,,,
,3,,0.1221,0.1219,0.122,,0.5967,0.5971,0.5965,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of Weighing Result,,,,(kg),,,,,,,,,,,,,,,,,,,,,
,"Empty Container Weight
(kg)",,0,,,,0,,,,,,,,,,,,,,,,,,,
,,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Weight of Contents
(kg)",,2.0205,,,,9.9287,,,,,,,,,,,,,,,,,,,
,,,2.0207,,,,9.9295,,,,,,,,,,,,,,,,,,,
,,,2.0206,,,,9.9289,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Time
(minute)",,1.001,,,,1,,,,,,,,,,,,,,,,,,,
,,,1,,,,1,,,,,,,,,,,,,,,,,,,
,,,1,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature of Water ,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT,(m3/h),Point 1,,,,Point 2,,,Point 3,,,,,,,,,,,,,,,,
,"Temperature
(oC)",,Awal,,Akhir,,Awal,Akhir,,Awal,,Akhir,,,,,,,,,,,,,,
,,,26.5,,26.5,,26.5,26.5,,26.5,,26.5,,,,,,,,,,,,,,
,,,26.5,,26.6,,26.5,26.5,,26.5,,26.5,,,,,,,,,,,,,,
,,,26.5,,26.6,,26.5,26.5,,26.5,,26.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,:,2026-01-09T00:00:00,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,
,Name,:,3,Name,:,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
