,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,003-CAL-126,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,
,Page,,,:,1 of 1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,
,Order Number,,,:,2601.03.A.NK,,,,,,,,,,,,,,,,,,,,
,Received Date,,,:,2026-01-05T00:00:00,,,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Flowmeter,,,,,Calibration Location,,,:,Inlab (Lab. Instalasi Flowmeter),,,,,,,,,,,
,Manufacturer,,,:,Endress+Hausser,,,,,Calibration  Date,,,:,2026-01-05T00:00:00,,,,,,,,,,,
,Model/Type,,,:,Promag P,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0528_Rev.7,,,,,,,,,,,
,Serial Number,,,:,D60BF219000,,,,,Env. Condition,,,:,T ,27.479999999999997,oC,±,1.7117242768623688,oC,,,,,,
,Capacity/Graduation,,,:,9999,m3/h,/,0.0001,m3/h,,,,,%RH,54.17,%,±,5.292447448959697,%,,,,,,
,Technician ID,,,:,NR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit Under Test,,Standard Indication,,,Correction,,,,Uncertainty 95% ±,,,Fluids Condition,,,,,,,,,,,,
,m3/h,,m3/h,,,m3/h,,,,m3/h,,,Temperature (⁰C),,,,Type of Fluids,,,,,,,,& corrc
,0.12199999999999998,,0.12175079869370357,,,-0.00024920130629640935,,,,0.002701418435433265,,,26.53333333333333,,,,Water,,,,,,-0.204263365816729,,-0.204263365816729
,0.5967666666666667,,0.5985616391109834,,,0.0017949724443167003,,,,0.0030164766225239392,,,26.5,,,,Water,,,,,,0.3007829600039156,,0.3007829600039156
,0,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,26.5,,,,Water,,,,,,#DIV/0!,,#DIV/0!
,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,2.007583770315835,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,#REF!,,,,,,
,,    - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type,,,Serial Number,,,,,Traceable to SI through,,,,,,,,,
,Timbangan Elektronik,,,,,,,Mettler/,,,Timer.FM.1,,,,,0,,,,,,,,,
,Temperature Calibrator,,,,,,,Yokogawa/CA 150 Handy Cal,,,23P1005,,,,,LK-241-IDN,,,,,,,,,
,Thermocouple ,,,,,,,-/Type K,,,"TC-01,02",,,,,LK-064-IDN,,,,,,,,,
,Stopwatch,,,,,,,Weight Scale/-,,,Timer.FM.1,,,,,LK-361-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,,,,,,,,,,,,,,,,,,,,,,,
,2026-01-09T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
