PT. SIDIK,,,"KALIBRASI FLOWMETER ULTRASONIC
FLOWRATE",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Certificate Number,,:,002-CAL-226,,,Data Choosen From Combobox,,,,,
,,,,,,,,,,,,,,,Order Number,,:,2602.07.A.NK,,,(DON'T ERASE),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Flowmeter,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,Technician ID,,:,DT,,
,Merk,,:,EH,,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0528_Rev.6,,
,Type,,:,Promass 300,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,
,No. Seri,,:,R4144D02000,,,,,,,,,,,,,,,,,Satuan,,:,LPM,,
,Rentang Ukur,,:,500,,1,,,,,,,,,,,,,,,Calculated by,,:,DR,,
,Kapasitas Alat,,:,9999,,LPM,,,,,,Tanggal Terima ,,,:,2026-02-02T00:00:00,,,,,Signed by,,:,Alex Misramto,,
,Resolusi Alat,,:,0.001,,LPM,,,,,,Tanggal Kalibrasi,,,:,2026-02-03T00:00:00,,,,,Position,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermohygro,,:,TH-4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,Average,,,,,Lokasi Kalibrasi,,,:,Inlab,,,,,Lookup status Ultrasonic Flowmeter,,:,24.46694641203794,,
,Suhu Ruangan,,:,24.2,24.4,,24.299999999999997,oC,,,,Technician ID,,,:,2,,,,,Lookup status thermometer,,:,6.466946412037942,,
,Kelembaban,,:,56,54,,55,%RH,,,,Calibration Method,,,:,28,,,,,Lookup status sensor,,:,49.46694641203794,,
,Thermohygro Used,,:,4,,,,,,,,Standar Kalibrator,,,:,- Ultrasonic Flowmeter (KROHNE),,,WARNING,,Lookup status timer,,:,-84.53305358796206,,
,,,,,,,,,,,,,,,,- Temperature Calibrator (Yokogawa),,,WARNING,,Std Used,,:,20.46694641203794,,
,Diameter Pipa,,:,50.81,50.82,50.81,,mm,,,,,,,,- TC Type K,,,VALID,,Lookup status caliper,,:,6.466946412037942,,
,Ketebalan Pipa,,:,2.32,2.31,2.32,,mm,,,,,,,,- Timer,,,EXPIRED,,Lookup status ultrasonic thickness gauge,,:,0,,
,,,,,,,,,,,,,,,,- Caliper,,,WARNING,,,,,,,
,,,,,,,,,,,,,,,,- Ultrasonic Thickness Gauge,,,WARNING,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of UUT flowrate,,(LPM),,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,"Point 1
",,,,"Point 2
",,,"Point 3
",,,,,,,,,,,,,,,,
,,,"20""","40""","60""",,"20""","40""","60""","20""","40""","60""",,,,,,,,,,,,,,
,1,,101.255,101.276,101.289,,309.785,309.776,309.779,,,,,,,,,,,,,,,,,
,2,,102.654,102.625,102.678,,311.376,311.374,311.398,,,,,,,,,,,,,,,,,
,3,,101.986,101.91,101.945,,310.772,310.778,310.745,,,,,,,,,,,,,,,,,
,Note :,Nilai Densitas UUT diisi jika alat dapat membaca nilai densitasnya,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,Point 1,,,,Point 2,,,Point 3,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of Standard Result,,(LPM),,,,,,,,,,,,,,,,,,,,,,,
,Standard Readings,,101.998,,,,308.711,,,,,,,,,,,,,,,,,,,
,,,101.897,,,,310.255,,,,,,,,,,,,,,,,,,,
,,,101.123,,,,310.251,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature of Water ,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT,(LPM),Point 1,,,,Point 2,,,Point 3,,,,,,,,,,,,,,,,
,"Temperature
(oC)",,Awal,,Akhir,,Awal,Akhir,,Awal,,Akhir,,,,,,,,,,,,,,
,,,24.5,,24.5,,24.6,24.6,,24.5,,24.4,,,,,,,,,,,,,,
,,,24.5,,24.6,,24.6,24.6,,24.5,,24.4,,,,,,,,,,,,,,
,,,24.5,,24.6,,24.6,24.6,,24.5,,24.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,:,2026-02-07T00:00:00,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,
,Name,:,3,Name,:,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
