,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Flowmeter,,,,,,Nama Custromer,,:,,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Merk,,:,EH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,Promass 300,,,,,,Alamat Customer,,:,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,R4144D02000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,500,LPM,500,,LPM,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,9999,LPM,9999,,LPM,,Tanggal Terima ,,:,,2026-02-02T00:00:00,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.001,LPM,0.001,,LPM,,Tanggal Kalibrasi,,:,,2026-02-03T00:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,,Indexed Value,Correction (C),,,,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,24.2,24.4,24.299999999999997,,29.14,-0.82,oC,,,,0.1999999999999993,-0.82,1.7,±,1.7117242768623688,oC,,,,,,,,,,,,,,,
,Kelembaban,,:,56,54,55,,28.77,-0.83,%RH,,,,2,-0.83,4.9,±,5.292447448959697,%RH,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All unit are converted to LPM,,,,,,,,,,,,,Volume Pipe from UUT to Standard (V) ,,,,0,L,,,,,,,,,,,,,,,
,Readings of UUT flowrate,,(LPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,"Point 1
3 gigi valve (lpm)",,,,,"Point 2
4 gigi valve",,,,"Point 3
8 gigi valve",,,,STDEV UUT,,,,,,,,,,,,,,,,,,
,,,"20""",,"40""","60""",Average,"20""","40""","60""",Average,"20""","40""","60""",Average,Point 1,Point 2,Point 3,,,,,,,,,,,,,,,,
,1,,101.255,,101.276,101.289,101.27333333333333,309.785,309.776,309.779,309.78000000000003,0,0,0,0,0.01715614564327984,0.004582575694965316,0,,,,,,,,,,,,,,,,
,2,,102.654,,102.625,102.678,102.65233333333333,311.376,311.374,311.398,311.3826666666667,0,0,0,0,0.02653927906581596,0.013316656236971147,0,,,,,,,,,,,,,,,,
,3,,101.986,,101.91,101.945,101.947,310.772,310.778,310.745,310.765,0,0,0,0,0.038039453203224466,0.017578395831250038,0,,,,,,,,,,,,,,,,
,Average UUT,,101.95755555555554,,,,,310.6425555555555,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,stdev UUT,,,,,,,,,,,,,Max Stdev UUT,0.038039453203224466,0.017578395831250038,0,,,,,,,,,,,,,,,,
,Readings of Standard Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Standard Readings
(Lpm)",,Point 1,,,,,Point 2,,,,Point 3,,,,,,,,,,,,,,,,,,,,,,
,,,101.998,,,,,308.711,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,101.897,,,,,310.255,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,101.123,,,,,310.251,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Average,,101.67266666666667,,,,,309.739,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Index Flowrate,,100.185,,,,,236.147,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Correction Standard,,-0.9939999999999998,,,,,-2.9110000000000014,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,
,Standard Corrected,,100.67866666666667,,,,,306.828,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV STD-UUT Flowrate,,Point 1,,,,,Point 2,,,,Point 3,,,,,,,,,,,,,,,,,,,,,,
,1,,0.7246666666666783,,,,,-1.0690000000000168,,,,0,,,,,,,,,,,,,,,,,,,,,,
,2,,-0.7553333333333256,,,,,-1.1276666666666983,,,,0,,,,,,,,,,,,,,,,,,,,,,
,3,,-0.8239999999999981,,,,,-0.51400000000001,,,,0,,,,,,,,,,,,,,,,,,,,,,
,STDEV Flowrate,,0.8749746239706611,,,,,0.33863784873017166,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Density of UUT,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,(kg/L),,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Average,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature of Water ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT,(LPM),Point 1,,,,,Point 2,,,,Point 3,,,,,,,,,,,,,,,,,,,,,,
,"Temperature
(oC)",,Awal,,Akhir,,,Awal,Akhir,,,Awal,,Akhir,,,,,,,,,,,,,,,,,,,,
,,,24.5,,24.5,,,24.6,24.6,,,24.5,,24.4,,,,,,,,,,,,,,,,,,,,
,,,24.5,,24.6,,,24.6,24.6,,,24.5,,24.4,,,,,,,,,,,,,,,,,,,,
,,,24.5,,24.6,,,24.6,24.6,,,24.5,,24.4,,,,,,,,,,,,,,,,,,,,
,Average,,24.5,,24.566666666666666,,,24.600000000000005,24.600000000000005,,,24.5,,24.399999999999995,,,,,,,,,,,,,,,,,,,,
,Density,,0.9971731558818159,,0.9971731558818159,,,0.9971479311702164,0.9971479311702164,,,0.9971731558818159,,0.9971982844382903,,,,,,,,,,,,,,,,,,,,
,,,0.9971731558818159,,0.9971479311702164,,,0.9971479311702164,0.9971479311702164,,,0.9971731558818159,,0.9971982844382903,,,,,,,,,,,,,,,,,,,,
,(kg/L),,0.9971731558818159,,0.9971479311702164,,,0.9971479311702164,0.9971479311702164,,,0.9971731558818159,,0.9971982844382903,,,,,,,,,,,,,,,,,,,,
,Average,,0.9971731558818159,,0.9971563394074162,,,0.9971479311702164,0.9971479311702164,,,0.9971731558818159,,0.9971982844382903,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALCULATION,,Point 1,,,,,Point 2,,,,Point 3,,,Satuan,,,,,,,,,,,,,,,,,,,
,UUT,,101.95755555555554,,,,,310.6425555555555,,,,0,,,LPM,,,,,,,,,,,,,,,,,,,
,Standard Corrected (Lpm),,100.67866666666667,,,,,306.828,,,,#N/A,,,LPM,,,,,,,,,,,,,,,,,,,
,Density of Des. Fluida UUT,,0.997164747644616,,,,,0.9971479311702164,,,,0.9971857201600531,,,kg/dm3,,,,,,,,,,,,,,,,,,,
,Density of Des. Fluida STD,,0.997164747644616,,,,,0.9971479311702164,,,,0.9971857201600531,,,kg/dm3,,,,,,,,,,,,,,,,,,,
,Flowrate Standard Terkoreksi,,100.67866666666667,,,,,306.828,,,,#N/A,,,LPM,,,,,,,,,,,,,,,,,,,
,Deviation Flowrate,,-1.278888888888872,,,,,-3.8145555555555006,,,,#N/A,,,LPM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
