,,,,,,,,,,,,,
Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,
Nama laboratorium,,: PT Sistem Dirgantara Inovasi Teknologi,,,,,,,,,,,
Alamat,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,
Besaran yang diukur,,: Flowrate (Lpm),,,,,,,,,,,
Jenis alat yang dikalibrasi,,: Flowmeter,,,,,,,,,,,
Standar yang digunakan,,: ,,,,,,,,,,,
,,Nama,Merk,Tipe ,SN,,,,,,,,
,,Ultrasonic Flowmeter,Krohne,UFC300,A18P045140,,,,,,,,
,,Temperature Calibrator,Yokogawa,CA150,23P1005,,,,,,,,
,,Thermocouple Type K,-,Wire,TC-01 & TC-02,,,,,,,,
,,Digital Caliper,Tesa,IP67,CLP-130990,,,,,,,,
Model Matematis,,Koreksi = ,,𝑄 ̅_𝑠𝑡𝑎𝑛𝑑𝑎𝑟𝑑 =,Rata-rata pembacaan Aliran Standar,,,,,,,,
,,,,𝑥 ̅_𝑈𝑈𝑇 =,Rata-rata pembacaan Aliran UUT,,,,,,,,
CALIBRATION BUDGET UNCERTAINTY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Nama Alat,:,Flowmeter,,,,,,,,,,
,Rentang Ukur,:,500,LPM,,,,,,,,,
,Ketelitian Baca UUT,:,0.001,LPM,,,,,,,,,
,,,,,,,,,,,,,
,Temperature (UTemperature),,,,,,,,,,,,
,a. U95% Thermometer Certificate (oC),,,,c. Ut-water (oC),,,,,,,,
,    U95% Thermometer (Yokogawa),:,0.34,,    (Tmax-Tmin)Water,,:,0,,,,,
,    k,:,2,,    2√3,,:,3.4641016151377544,,,,,
,    Utemp. (oC),:,0.17,,    Ut-water (oC),,:,0,,,,,
,b. U95% Sensor Certificate (oC),,,,d. UTemperature (oC),,=,,,,,,
,    U95% Sensor (Type K),:,0.44,,,,=,0.2780287754891569,,,,,
,    k,:,2,,,,,,,,,,
,    Utemp. (oC),:,0.22,,,,,,,,,,
,Geometris,,,,,,,,,,,,
,a. U95% Caliper (mm),,,,c. U95% Jarak Tranducer (mm),,,,,A,,,
,    U95% Caliper (Tesa),:,0.015,mm,    U95% Penggaris Besi,,:,0.16,mm,,,,
,    k,:,2,,    k,,:,2,,A =,1674.0850340000002,mm2,
,    U Caliper,:,0.0075,mm,    U Penggaris,,:,0.08,mm,,,,
,b. U95% Ultrasonic Thickness Gauge (mm),,,,,,,,,,,,
,    U95% Thickness Gauge,:,0.0096,mm,d. Standard Deviasi ketebalan dinding pipa (mm),,,,,,,,
,    k,:,2,,    U95% STDev,,:,0.0033333333333332624,mm,,72.5026,,
,    U Thickness Gauge,:,0.0048,mm,,,,,,,0.01218236430254817,,
,π,:,3.14,,,,,,,uA =,0.883253086081929,,
,Ketebalan Pipa,:,2.3166666666666664,mm,,,,,,,,,
,D0 (diameter Luar Pipa),:,50.81333333333333,mm,,,,,,,,,
,,,,,,,,,,,,,
,Point 1,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,Ketidakpastian Standar Flowmeter Ultrasonik (FU),Lpm,normal,1.487865,2,60,0.7439325,1,0.7439325,0.55343556455625,0.0051048487352615855,,
,Resolusi Alat yang dikalibrasi,Lpm,rectangular,0.0005,1.73,50,0.00028901734104046245,1,0.00028901734104046245,8.353102342209898e-08,1.3954863747886496e-16,,
,Pengulangan Pembacaan UUT,Lpm,T-Student,0.038039453203224466,1.7320508075688772,2,0.02196208854670782,1,0.02196208854670782,0.00048233333333343474,1.1632272222227113e-07,,
,Ketidakpastian Pengukuran temperature media fluida,oC,Normal,0.2780287754891569,2,50,0.13901438774457844,0.021262920565931542,0.0029558518841345787,8.737060360941939e-06,1.5267244750148577e-12,,
,Pengulangan Pembacaan Standar,Lpm,T-Student,0.8749746239706611,1.7320508075688772,2,0.5051668346835527,1,0.5051668346835527,0.2551935308641999,0.032561869097468665,,
,Ketidakpastian Cross sectional area,mm2,rectangular,0.883253086081929,1.73,50,0.5105509168103636,0.060139517779517204,0.03070428593886567,0.0009427531750156241,1.77756709800408e-08,,
,Velocity Profile,LPM,rectangular,0.11074653333333334,1.73,50,0.06401533718689789,1,0.06401533718689789,0.004097963395152232,3.3586607976015216e-07,,
,Geometry factor,LPM,rectangular,0.302036,1.73,50,0.17458728323699424,1,0.17458728323699424,0.03048071946807445,1.8581485185829054e-05,,
,Drift UFM Standar,LPM,rectangular,0.01487865,1.73,50,0.008600375722543354,1,0.008600375722543354,7.396646256891311e-05,1.0942075169916848e-10,,
,Sum,,,,,,,,1.552213574540737,0.8447156518459789,0.03768576939333665,,
,"Uncertainty Combination, uc",,,,,,,,0.9190841375227726,,,,
,Veff,,,,,,,,18.934057708259,,,,
,K Factor & Confident Level 95%,,,,,,,,2.100922040241038,,,,
,"Expanded Uncertainty, U = k.Uc",,,,,,,,1.9309241213575181,,,,
,,,,,,,,,CMC,,% O.R,,
,,,,,,,,,U95% sert,1.9309241213575181,Lpm,,
,,,,,,,,,,,,,
,Point 2,,,,,,,,,,,,
