,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,002-CAL-226,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,
,Page,,,:,1 of 1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,
,Order Number,,,:,2602.07.A.NK,,,,,,,,,,,,,,,,,,,,
,Received Date,,,:,2026-02-02T00:00:00,,,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,Flowmeter,,,,,Calibration Location,,,:,Inlab,,,,,,,,,,,
,Manufacturer,,,:,EH,,,,,Calibration  Date,,,:,2026-02-03T00:00:00,,,,,,,,,,,
,Model/Type,,,:,Promass 300,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0528_Rev.6,,,,,,,,,,,
,Serial Number,,,:,R4144D02000,,,,,Env. Condition,,,:,T ,23.479999999999997,oC,±,1.7117242768623688,oC,,,,,,
,Capacity/Graduation,,,:,9999,LPM,/,0.001,LPM,,,,,%RH,54.17,%,±,5.292447448959697,%,,,,,,
,Technician ID,,,:,DT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Material of pipe,,,:,,,,,,,,,,,,,,,,,,,,,
,Outside Diameter of pipe,,,:,,,,,,,,,,,,,,,,,,,,,
,Thickness of Pipe,,,:,,,,,,,,,,,,,,,,,,,,,
,Methode UFM Clamp On,,,:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Unit Under Test,,,Standard Indication,,,Correction,,,U95% ±,,,,,,,,,,,,
,,,,LPM,,,LPM,,,LPM,,,%OR,,,,,,,,,,,,& corrc
,,,,101.95755555555554,,,100.67866666666667,,,-1.278888888888872,,,1.8938509371239083,,,,,,,,,,-1.2543345923902811,%,-1.2543345923902811
,,,,310.6425555555555,,,306.828,,,-3.8145555555555006,,,1.0466173214790655,,,,,,,,,,-1.2279565331071658,%,-1.2279565331071658
,,,,0,,,#N/A,,,#N/A,,,#N/A,,,,,,,,,,#N/A,%,#DIV/0!
,,,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor ( k ) =,,,,,,,,,,,,2.100922040241038,,,,,,,,,
,,,,,,,,,,,,,,,,,,,#REF!,,,,,,
,,    - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,Merk/Type,,,,,Serial Number,,,,,Traceable to SI through,,,,,,,,,
,Ultrasonic Flowmeter,,,,,KROHNE/UFC300,,,,,A18P045140,,,,,LK-285-IDN,,,,,,,,,
,Temperature Calibrator,,,,,Yokogawa/CA 150 Handy Cal,,,,,23P1005,,,,,LK-241-IDN,,,,,,,,,
,Thermocouple,,,,,-/Type K,,,,,"TC-01,02",,,,,LK-064-IDN,,,,,,,,,
,Digital Caliper,,,,,Tesa/Cal-IP67,,,,,LPI-0368,,,,,LK-285-IDN,,,,,,,,,
,Ultrasonic Thickness Gauge,,,,,,,0,,,0,,,,,0,,,,,,,,,
,Stopwatch,,,,,,,Weight Scale/-,,,Timer.FM.1,,,,,LK-361-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,,,,,,,,,,,,,,,,,,,,,,,
,2026-02-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
