PT. SIDIK,,,"KALIBRASI
HIDROMETER",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,"ONE OR MORE STANDARD EXPIRED [=IF(AND(T24=""VALID"",T25=""VALID"",T26=""VALID""),""ALL STANDARDS ARE VALID"",""ONE OR MORE STANDARD EXPIRED"")]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,,:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Order Number,,,:,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,Satuan hidrometer,,:,"g/ml [=_xlfn.IFNA(VLOOKUP(G14,Tabel_Satuan,2,0),"""")]",,,,,,,,,
,Nama Alat,,:,Hydrometer,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,Thermohygro used,,:,"pilih TH [=_xlfn.IFNA(IF(E24=1,""TH-1"",IF(E24=2,""TH-2"",IF(E24=3,""TH-3"",IF(E24=4,""TH-4"",IF(E24=5,""TH-5"",IF(E24=6,""TH-6"",IF(E24=7,""TH-7"",""pilih TH""))))))),"""")]",,,,,,,,,
,Merk,,:,Alla France,,,,,,,,,,,,,,,,,Teknisi,,,"DR [=_xlfn.IFNA(VLOOKUP(Q22,Pelaksana_Kalibrasi,2,0),"""")]",,,,,,,,,
,Type,,:,L50- ISO 650,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,Metode Kalibrasi,,:,"SIDIK-IK-CAL-0525_Rev.3 [=_xlfn.IFNA(VLOOKUP(Q23,Metode_Kalibrasi,3,0),"""")]",,,,,,,,,
,No. Seri,,:,350015,,,,,,,,,,,,,,,,,Satuan teg. Permukaan,,:,"mN/m [=_xlfn.IFNA(VLOOKUP(F33,Satuan_teg_muka,2,0),"""")]",,,,,,,,,
,Rentang Ukur,,:,0.600-0.650,,1,,,,,,,,,,,,,,,Dihitung oleh,,:,"DR [=_xlfn.IFNA(VLOOKUP(C54,Dihitung_Oleh,2,0),"""")]",,,,,,,,,
,Kapasitas Max.,,:,0.65,,g/ml [=Y8],,,,,,Tanggal Terima ,,,:,2025-09-01 00:00:00 [=Q16-3],,,,,Penandatangan,,:,"Alex Misramto [=_xlfn.IFNA(VLOOKUP(F54,Penandatangan,2,0),"""")]",,,,,,,,,
,Resolusi Alat,,:,0.0005,,g/ml [=Y8],,,,,,Tanggal Kalibrasi,,,:,2025-09-04 00:00:00,,,,,Posisi,,:,"Technical Manager [=_xlfn.IFNA(VLOOKUP(F54,Penandatangan,3,0),"""")]",,,,,,,,,
,Temperature,,:,20,oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Balance status:,,:,-111.40529375000187 [=DATABASE!AC13],,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,Thermometer status,,:,-37.405293750001874 [=DATABASE!AC14],,,,,,,,,
,,,,Awal,Akhir,,Average,,,,,Lokasi Kalibrasi,,,:,Lab. Volumetrik PT. SIDIK,,,,,Sensor TC status,,:,148.59470624999813 [=DATABASE!AC15],,,,,,,,,
,Suhu Ruangan,,:,20.4,20.5,,"20.45 [=IFERROR(AVERAGE(E22:F22),"""")]",oC,,,,Technician ID,,,:,5,,,,,Caliper status,,:,-55.405293750001874 [=DATABASE!AC16],,,,,,,,,
,Kelembaban,,:,56,55,,"55.5 [=IFERROR(AVERAGE(E23:F23),"""")]",%RH,,,,Calibration Method,,,:,25,,,,,,,,,,,,,,,,,
,Thermohygro Used,,:,Thermobarometer Lutron,,,,,,,,Standar Used,,,:,• Analytical Balance (Fujitsu),,,"EXPIRED [=IF(Y18>=31,""VALID"",IF(AND(Y18<31,Y18>=0),""WARNING"",""EXPIRED""))]",,,,,,,,,,,,,,
,Tekanan Udara,,:,933.2,933.1,,"933.1500000000001 [=IFERROR(AVERAGE(E25:F25),"""")]",hPa,,,,,,,,• Termometer & Sensor Std. (Constant&RTD),,,"EXPIRED [=IF(AND(Y19>=31,Y21>=31),""VALID"",IF(AND(Y19<31,Y19>=0,Y21<31,Y21>=0),""WARNING"",""EXPIRED""))]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,• Caliper (Tesa),,,"EXPIRED [=IF(Y22>=31,""VALID"",IF(AND(Y22<31,Y22>=0),""WARNING"",""EXPIRED""))]",,,,,,,,,,,,,,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Pre Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sl,:,54.0052,g,(Beban Tambahan),,,,D,: (Diameter Stem),,,,,,,,,,,,,,,,,,,,,,
,,Ma,:,39.9327,g,(Massa Hydrometer diudara),,,,D Stem,1,2,3,,,,,,,,,,,,,,,,,,,,
,,yx,:,17.5,2,(Tegangan Permukaan Hydrometer),,,,cm,0.708,0.71,0.709,,,,,,,,,,,,,,,,,,,,
,,tr,:,15,oC,(Suhu Acuan Hydrometer),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,101.325,kPa,(densitas udara acuan),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weight,,,,0.6039099485606535 [=PERHITUNGAN!G109],0.617625047903747 [=PERHITUNGAN!H109],0.6446329414723625 [=PERHITUNGAN!I109],#VALUE! [=PERHITUNGAN!J109],#VALUE! [=PERHITUNGAN!K109],,,,,,,,,,,,,,,,,,,,,,,
,,Point of Calibration,,,g/ml [=G15],0.61,0.625,0.65,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weight of Hydrometer (g),,,,21.2727,22.7483,25.4602,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21.2726,22.7446,25.4608,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21.2856,22.7491,25.4621,,,,,,,,,,,,,,,,,,,,,,,,,
,,Temperature ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Point of Calibration,,,g/ml [=G15],0.61 [=G40],0.625 [=H40],0.65 [=I40],0 [=J40],0 [=K40],,,,,,,,,,,,,,,,,,,,,,,
,,Temperature (°C),,,,20.6,20.6,20.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20.6,20.6,20.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20.6,20.6,20.7,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,:,2025-09-08 00:00:00 [=Q16+4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name   :,3,,Name   :,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
