Uncertainty Budget sebagai Pendukung Kemampuan Kalibrasi dan Pengukuran (CMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama laboratorium,,,:,PT. SISTEM DIRGANTARA INOVASI TEKNOLOGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamat,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCERTAINTY BUDGET SEBAGAI PENDUKUNG KLAIM CMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besaran yang diukur,,,:,Densitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenis alat yang dikalibrasi,,,:,Hydrometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standar yang digunakan,,,:,Standard Name,,,Merk,Type,SN,,Alat bantu,,,Merk,Type,SN,,,,,,,,,,,,,,,,,,,
,,,,Timbangan Analitik,,,Fujitsu,FS-AR210,INS-N1600555,,Thermohygro,,,HTC,-,TH-3,,,,,,,,,,,,,,,,,,,
,,,,Digital Caliper,,,Tesa,Cal-IP67,LPI 0368,,Thermobarometer,,,Lutron,MHB372,AM02225,,,,,,,,,,,,,,,,,,,
,,,,Temperature Calibrator,,,Yokogawa,CA 150 Handy,23P1005,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Temperature Sensor,,,Tc-Limited,PRT-PT100,SH1/20,,,,,,,,,,,,,,,,,,,,,,,,,,
Model matematis pengukuran,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIBRATION BUDGET UNCERTAINTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Hydrometer [='INPUT DATA'!E10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas,,:,0.65 [=PERHITUNGAN!G8],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolusi,,:,0.0005 [=PERHITUNGAN!G9],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertainty of Calibrator (Standard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Water Destillate Weighing (U massa aqudest),,,,,,,2,Temperature (U Temperature),,,,,,,,,,,,,,,,,,,,,,,,,,
,a.,Utimb (g),= [=],,,,,,a.,U95% Thermometer Certificate (oC),,= [=],,,,,,,,,,,,,,,,,,,,,,,
,,LOP atau read.,:,0.00074,,,,,,U95% Thermometer,,:,0.72,,,,,,,,,,,,,,,,,,,,,,
,,k atau 31/2,:,2,,,,,,k,,:,2,,,,,,,,,,,,,,,,,,,,,,
,,Utimb (g),= [=],0.00037 [=E29/E30],,,,,,Utemp. (oC),,= [=],0.36 [=N29/N30],,,,,,,,,,,,,,,,,,,,,,
,b.,Urepeat (g),= [=],,,,,,b.,U95% Sensor Certificate (oC),,= [=],,,,,,,,,,,,,,,,,,,,,,,
,,stdev timb,:,0.0001,,,,,,U95% Sensor,,:,0.06,,,,,,,,,,,,,,,,,,,,,,
,,n,:,10,,,,,,k,,:,2,,,,,,,,,,,,,,,,,,,,,,
,,Urepeat (g),= [=],3.1622776601683795e-05 [=E34/SQRT(E35)],,,,,,Utemp. (oC),,= [=],0.03 [=N34/N35],,,,,,,,,,,,,,,,,,,,,,
,C.,Umassa adest (g),= [=],,,,,,c.,Ut-water (oC),,= [=],,,,,,,,,,,,,,,,,,,,,,,
,,,= [=],0.0003713488925525428 [=SQRT((E31)^2+(E36)^2)],,,,,,(Tmax-Tmin)Water,,:,0.09999999999999787 [=PERHITUNGAN!L52-PERHITUNGAN!M52],,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2√3,,:,3.4641016151377544 [=2*SQRT(3)],,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ut-water (oC),,= [=],0.028867513459480673 [=N39/N40],,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,d.,Ut-water (oC),,= [=],,,,,,,,,,,,,,,,,,,,,,,
,,,= [=],0.7076317269059096 [=(PERHITUNGAN!J82*PERHITUNGAN!R79)/PERHITUNGAN!J84],,,,,,UTemperature (oC),,= [=],0.36239941133138354 [=SQRT((N31)^2+(N36)^2+(N41)^2)],,,,,,,,,,,,,,,,,,,,,,
,,,= [=],7.076317269059096e-06 [=(PERHITUNGAN!$J$82*PERHITUNGAN!$R$79*PERHITUNGAN!$J$83)/PERHITUNGAN!$J$84],,= [=],1.5969218013600273 [=PERHITUNGAN!G59*Q50],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,= [=],12.383555220853419 [=(PERHITUNGAN!$J$82*PERHITUNGAN!$R$79*PERHITUNGAN!$R$80)/PERHITUNGAN!$J$84],,= [=],0.0015973958877814887 [=PERHITUNGAN!$J$78*Q49],,12.3834809199679 [=E45/PERHITUNGAN!J84],,7.076274811410228e-06 [=E44/PERHITUNGAN!J84],,,,,,,,,,,,,,,,,,,,,,,,
,SKALA 1,,,0.61 [=PERHITUNGAN!G33],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ut,: ,Ketidakpastian Temperatur meter,,,0.36239941133138354 [=$N$43],oC,,,fta,:,Temperature Correction factor udara,,,1.4500000009011242 [=1+(PERHITUNGAN!$J$85*(PERHITUNGAN!$G$15-20))],ml,,,,,,,,,,,,,,,,,,
,,Uth,: ,Ketidakpastian Thermohygro,,,1.2041594578792296 [=PERHITUNGAN!$P$15],oC,,,ftl,:,Temperature Correction factor liquid,,,1.6000000012015014 [=1+(PERHITUNGAN!$J$85*(PERHITUNGAN!G52-20))],ml,,,,,,,,,,,,,,,,,,
,,,,,,,3.1622776601683795 [=PERHITUNGAN!$P$16],%RH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Uv,:,Ketidakpastian Vernier ,,,0.0015 [=0.015/10],cm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Koefisien Sensitivitas (7.9),,,Koefisien Sensitivitas (7.11),,,Koefisien Sensitivitas suhu air,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.004996826995391796 [=(((PERHITUNGAN!$R$78-PERHITUNGAN!G44+'NILAI U95%'!$E$44)*('NILAI U95%'!$H$44-'NILAI U95%'!$H$45))-(('NILAI U95%'!$H$44-'NILAI U95%'!$H$45)*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)))*$O$55],Mass Hydrometer diudara,,-0.29968190587857835 [=(((PERHITUNGAN!$R$78-PERHITUNGAN!G44+'NILAI U95%'!$E$44)*('NILAI U95%'!$H$44-'NILAI U95%'!$H$45)*(-'NILAI U95%'!$J$45)-(('NILAI U95%'!$H$44-'NILAI U95%'!$H$45)*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)*(-$E$44)))*(PERHITUNGAN!$R$78-PERHITUNGAN!G44+'NILAI U95%'!$E$44)^-2)],Lokal Gravity,,0.7919941535297305 [=PERHITUNGAN!$L$59*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)/(PERHITUNGAN!$R$78-PERHITUNGAN!G44+'NILAI U95%'!$E$44)],,,,,,0.00023011129733685343 [=(PERHITUNGAN!$R$78-PERHITUNGAN!G44+E44)^-2],,,,,,,,,,,,,,,,,,,,,
,,Koefisien Sensitivitas (7.10),,,Koefisien Sensitivitas (7.12),,,Koefisien Sensitivitas suhu udara,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2996837039708289 [=(((PERHITUNGAN!$R$78-PERHITUNGAN!G44+$E$44)*(($H$44-$H$45)*$E$45))-(($H$44-$H$45)*(PERHITUNGAN!$R$78+$E$45)*$E$44))*(PERHITUNGAN!$R$78-PERHITUNGAN!G44+$E$44)^-2],Stem Diameter,,0.01358887753332108 [=(($H$44-$H$45)*(PERHITUNGAN!$R$78+$E$45)*$E$43)*'NILAI U95%'!$O$55],Surface Tension,,0.00022746830589413856 [=PERHITUNGAN!$J$78-(PERHITUNGAN!$J$78*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)/(PERHITUNGAN!$R$78-PERHITUNGAN!G44+'NILAI U95%'!$E$44))],xxxx,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.019203318642506156 [=((($H$44-$H$45)*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)))*$O$55],Mass Hydrometer diCairan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,,,,,,,
,,Hydrometer Indication,g/ml [=$F$21],T-Student,6.819465310298057e-05 [=PERHITUNGAN!G110],1.7320508075688772 [=SQRT(3)],2 [=3-1],3.9372201326298984e-05 [=F63/G63],1,3.9372201326298984e-05 [=I63*J63],1.5501702372786195e-09 [=K63^2],1.2015138822722257e-18 [=(L63^2)/H63],,,,,,,,,,,,,,,,,,,,,,,
,,Resolution of Hydrometer,g/ml [=$F$21],Rectangular,0.0005 [=$E$22],3.4641016151377544 [=SQRT(12)],50,0.00014433756729740645 [=F64/G64],1,0.00014433756729740645 [=I64*J64],2.0833333333333335e-08 [=K64^2],8.680555555555556e-18 [=(L64^2)/H64],,Liquid Temp:,,,,,,,,,,,,,,,,,,,,,
,,Liquid Temperature (cairan),oC,Normal,4.9133333333333515e-11 [=(PERHITUNGAN!$J$83^2*$H$49^2)+((PERHITUNGAN!G52-20)^2*PERHITUNGAN!$J$83^2)],2,60,2.4566666666666758e-11 [=F65/G65],0.7919941535297305 [=I55],1.9456656371713782e-11 [=I65*J65],3.785614771669505e-22 [=K65^2],2.388479866580393e-45 [=(L65^2)/H65],,,,,,,,,,,,,,,,,,,,,,,
