toC,,,
0.01,75.64,0.38,0.01
5,74.95,0.37,0
10,74.23,0.37,-0.01
15,73.5,0.37,-0.01
20,72.75,0.36,-0.01
25,71.99,0.36,-0.01
30,71.2,0.36,0
20.6 [=PERHITUNGAN!G52],"72.6588 [=FORECAST(A9,OFFSET($B$2:$B$8,MATCH(A9,$A$2:$A$8,1)-1,0,2),OFFSET($A$2:$A$8,MATCH(A9,$A$2:$A$8,1)-1,0,2))]",X1,
20.6 [=PERHITUNGAN!H52],"72.6588 [=FORECAST(A10,OFFSET($B$2:$B$8,MATCH(A10,$A$2:$A$8,1)-1,0,2),OFFSET($A$2:$A$8,MATCH(A10,$A$2:$A$8,1)-1,0,2))]",X2,
20.7 [=PERHITUNGAN!I52],"72.64359999999999 [=FORECAST(A11,OFFSET($B$2:$B$8,MATCH(A11,$A$2:$A$8,1)-1,0,2),OFFSET($A$2:$A$8,MATCH(A11,$A$2:$A$8,1)-1,0,2))]",X3,
[=PERHITUNGAN!J52],"#VALUE! [=FORECAST(A12,OFFSET($B$2:$B$8,MATCH(A12,$A$2:$A$8,1)-1,0,2),OFFSET($A$2:$A$8,MATCH(A12,$A$2:$A$8,1)-1,0,2))]",X4,
[=PERHITUNGAN!K52],"#VALUE! [=FORECAST(A13,OFFSET($B$2:$B$8,MATCH(A13,$A$2:$A$8,1)-1,0,2),OFFSET($A$2:$A$8,MATCH(A13,$A$2:$A$8,1)-1,0,2))]",X5,
