 COMMON DATA ,,,,,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,2,year,730 [=AH2*$AH$4]
,,,,,,,,,,,,,,,,,,,,No,Jenis UTM,CMC,,,,,,,,,,Digital,1,year,365 [=AH3*$AH$4]
,,,,,,,,,,,,,,,,,,,,,,g/ml,,,,,,,,,,,365,,
,,,,,,,,,,,,,,,,,,,,1,1.1-1.7 g/ml,0.0007,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
No,Pelaksana Kalibrasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,JO,,,,,,,,,,,,,,,,,,,,,,,,Now Date :,2026-07-16 13:37:05.860000 [=NOW()],,,,,,,,,
4,CA,,,,,,,,,,,,,,,,,,,No,Standart Meter/Indikator,Merk/Type,S/N,Traceability,Calibration Date,Interval (tahun),Due Date,Status,,,,,,,
5,DR,,,,,,,,,,,,,,,,,,,1,Analytical Balance,Fujitsu/FS-AR210,INS-N1600555,LK-285-IDN,2025-05-30 00:00:00,1,"2026-05-30 00:00:00 [=DATE(YEAR(Z13)+AA13,MONTH(Z13),DAY(Z13))]",-47.56742893518822 [=AB13-$AA$11],,,,,,,
6,NS,,,,,,,,,,,,,,,,,,,2,Termometer & Sensor Std.,Yokogawa/CA 150 Handy Cal,23P1005,LK-285-IDN,2025-08-12 00:00:00,1,"2026-08-12 00:00:00 [=DATE(YEAR(Z14)+AA14,MONTH(Z14),DAY(Z14))]",26.432571064811782 [=AB14-$AA$11],constant,,,,,,
7,AJ,,,,,,,,,,,,,,,,,,,,,PT100/SH1,20,LK-070-IDN,2025-02-14 00:00:00,2,"2027-02-14 00:00:00 [=DATE(YEAR(Z15)+AA15,MONTH(Z15),DAY(Z15))]",212.43257106481178 [=AB15-$AA$11],PT100,,,,,,
,,,,,,,,,,,,,,,,,,,,3,Caliper,Tesa/Cal-IP67,LPI-0368,LK-285-IDN,2025-07-25 00:00:00,1,"2026-07-25 00:00:00 [=DATE(YEAR(Z16)+AA16,MONTH(Z16),DAY(Z16))]",8.432571064811782 [=AB16-$AA$11],,,,,,,
No,Dihitung Oleh,Jabatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AM,Technical Manager,,,,,,,,,,,,,,,,,,No,Satuan Hidrometer,Conversion,,,,,,,,,,,,,
2,NR,Supervisor,,,,,,,,,,,,,,,,,,,,g/ml,,,,,,,,,,,,,
3,DR,Data Analyst,,,,,,,,,,,,,,,,,,1,g/ml,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2,kg/m3,0.001,,,,,,,,,,,,,
No,Penandatangan Sertifikat,Jabatan,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
1,IPD Wiska Susetio,Laboratory Director,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
2,Alex Misramto,Technical Manager,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,No,Satuan Teg. Permukaan,Conversion,,,,,,,,,,,,,
No,Environmental Meter,Temperature,,,,Kelembaban,,,,Kelembaban,,,,Lokasi,Tanggal Kalibrasi,Due Date Kalibrasi,,,,,,dyne/cm,,,,,,,,,,,,,
,,Standart Indication,Instrument Indication,Correction,Uncertainty ±,Standart Indication,Instrument Indication,Correction,"Uncertainty
±",Standart Indication,Instrument Indication,Correction,"Uncertainty
±",,,,Tertelusur,,,1,dyne/cm,1,,,,,,,,,,,,,
,,oC,oC [=C30],oC [=C30],oC [=C30],%RH,%RH [=G30],%RH [=G30],%RH [=G30],hPa,hPa [=K30],hPa [=K30],hPa [=K30],,,,,,,2,mN/m,1,,,,,,,,,,,,,
1,"Thermobarometer Lutron
(MHB372, SN: AM02225)",20.1 [=D31+E31],20,0.1,1.2,38 [=H31+I31],40,-2,3,931 [=L31+M31],930,1,2,Inlab (Lab. Volumetrik),2024-06-26 00:00:00,2026-06-27 00:00:00 [=P31+($AH$4*2+1)],LK-172-IDN,,,3,N/m,1000,,,,,,,,,,,,,
,,26 [=D32+E32],25,1,,48.5 [=H32+I32],50,-1.5,,941.1 [=L32+M32],940,1.1,,,,,,,,4,,,,,,,,,,,,,,,
,,29.7 [=D33+E33],30,-0.3,,59.2 [=H33+I33],60,-0.8,,950.9 [=L33+M33],950,0.9,,,,,,,,5,,,,,,,,,,,,,,,
,,34.7 [=D34+E34],35,-0.3,,70 [=H34+I34],70,0,,961.2 [=L34+M34],960,1.2,,,,,,,,,,,,,,,,,,,,,,,
,,39.8 [=D35+E35],40,-0.2,,81.1 [=H35+I35],80,1.1,,971 [=L35+M35],970,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,981.1 [=L36+M36],980,1.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,990.6 [=L37+M37],990,0.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1001 [=L38+M38],1000,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1006 [=L39+M39],1005,1,,,,,,,,,,,,,,,,,,,,,,,
No,Jenis Pengukuran,"Metode Kalibrasi
(Latest IK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Enclosure,SIDIK-IK-CAL-0501_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TITS,SIDIK-IK-CAL-0502_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TIDS,SIDIK-IK-CAL-0503_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pressure Gauge,SIDIK-IK-CAL-0504_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Timbangan,SIDIK-IK-CAL-0505-Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pH Meter,SIDIK-IK-CAL-0506_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Conductivity Meter,SIDIK-IK-CAL-0507_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Spectrophotometer,SIDIK-IK-CAL-0508_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Timer & Stopwatch,SIDIK-IK-CAL-0509_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Volumetrik,SIDIK-IK-CAL-0510_Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Centrifuge & Tachometer,SIDIK-IK-CAL-0511_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Kelistrikan,SIDIK-IK-CAL-0512_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gaya (UTM),SIDIK-IK-CAL-0513_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Load Cell & Proving Ring,SIDIK-IK-CAL-0514_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mikrometer,SIDIK-IK-CAL-0515_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Refractometer,SIDIK-IK-CAL-0516_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Viscometer,SIDIK-IK-CAL-0517_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thermohygro,SIDIK-IK-CAL-0518_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dial Indicator,SIDIK-IK-CAL-0519_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jangka Sorong (Caliper),SIDIK-IK-CAL-0520_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Verifikasi Metode Kerja Kalibrasi,SIDIK-IK-CAL-0521_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Micropipette,Dispenser, & Piston Buret",SIDIK-IK-CAL-0522_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Turbidy Meter,SIDIK-IK-CAL-0523_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chlorine Meter,SIDIK-IK-CAL-0524_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hydrometer,SIDIK-IK-CAL-0525_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sieve Mesh,SIDIK-IK-CAL-0526_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thermometer Glass,SIDIK-IK-CAL-0527_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Flowmeter,SIDIK-IK-CAL-0528_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thermocouple,SIDIK-IK-CAL-0529_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DO Meter,SIDIK-IK-CAL-0530_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Autoclave,SIDIK-IK-CAL-0531_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Differential Pressure,SIDIK-IK-CAL-0532_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pressure Transmitter,SIDIK-IK-CAL-0533_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Vacuum Gauge,SIDIK-IK-CAL-0534_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Validasi,Jabatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AM,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NR,Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DR,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NS,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
