 COMMON DATA ,,,,,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,2,year,730
,,,,,,,,,,,,,,,,,,,,,No,Jenis Timbangan,Range,CMC,,,,,,,,Digital,1,year,365
,,,,,,,,,,,,,,,,,,,,,,,g,g,,,,,,,,,365,,
,,,,,,,,,,,,,,,,,,,,,1,A,0.1-100,0.00016,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2,B,100-210,0.0004,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,3,C,210-500,0.01,,,,,,,,,,,
No,Pelaksana Kalibrasi,,,,,,,,,,,,,,,,,,,,4,D,500-3000,0.016,,,,,,,,,,,
1,DR,,,,,,,,,,,,,,,,,,,,5,E,3000-8000,0.04,,,,,,,,,,,
2,DT,,,,,,,,,,,,,,,,,,,,6,F,8000-20000,0.57,,,,,,,,,,,
3,JO,,,,,,,,,,,,,,,,,,,,7,G,20000-65000,5.8,,,,,,,,,,,
4,CA,,,,,,,,,,,,,,,,,,,,8,H,65000-200000,21,,,,,,,,,,,
5,AJ,,,,,,,,,,,,,,,,,,,,9,I,200000-2000000,450,,,,,,,,,,,
6,DR,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
7,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Now Date :,2026-06-03T11:59:13.760000,,,,,,
No,Dihitung Oleh,Jabatan,,,,,,,,,,,,,,,,,,,No,Standar Anak Timbangan,Nominal,Merk/Type,S/N,Traceability,Calibration Date,Interval (year),Due Date,Status,,,,,
1,AM,Technical Manager,,,,,,,,,,,,,,,,,,,1,Anak Timbangan E2 200 g,1 mg - 200 g,Accurate/Stainless,75870,LK-045-IDN,2026-01-22T00:00:00,3,2029-01-22T00:00:00,963.5005351851869,,,,,
2,NR,Supervisor,,,,,,,,,,,,,,,,,,,2,Anak Timbangan E2 500 g,500 g,Accurate/Stainless,100636,LK-045-IDN,2026-01-13T00:00:00,3,2029-01-13T00:00:00,954.5005351851869,,,,,
3,DR,Data Analyst,,,,,,,,,,,,,,,,,,,3,Anak Timbangan E2 1 kg,1000 g,Want Ballance/E2,120015,LK-045-IDN,2026-02-23T00:00:00,3,2029-02-23T00:00:00,995.5005351851869,,,,,
,,,,,,,,,,,,,,,,,,,,,4,Anak Timbangan F1-2,2000 g,Accurate/F1,45723,LK-045-IDN,2026-02-04T00:00:00,2,2028-02-04T00:00:00,610.5005351851869,,,,,
No,Penandatangan Sertifikat,Jabatan,,,,,,,,,,,,,,,,,,,5,Anak Timbangan F1-5,5000 g,Accurate/F1,111962,LK-045-IDN,2026-02-04T00:00:00,2,2028-02-04T00:00:00,610.5005351851869,,,,,
1,IPD Wiska Susetio,Laboratory Director,,,,,,,,,,,,,,,,,,,6,Anak Timbangan F1-10,10 kg,Excellent/F1,4321,LK-022-IDN,2024-10-21T00:00:00,2,2026-10-21T00:00:00,139.5005351851869,,,,,
2,Alex Misramto,Technical Manager,,,,,,,,,,,,,,,,,,,7,Anak Timbangan F1-20,20 kg,Want Ballance/F1,130016,LK-045-IDN,2026-02-23T00:00:00,2,2028-02-23T00:00:00,629.5005351851869,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Environmental Meter,Temperature,,,,Kelembaban,,,,Tekanan Udara,,,,Lokasi,Tanggal Kalibrasi,Due Date Kalibrasi,,NO,NO TH,,No,Standart Meter/Indikator,Merk/Type,S/N,Traceability,Due Date Calibration,Status,U95%,Satuan units,Res. (g),Stdev,,,,
,,Standart Indication,Instrument Indication,Correction,Uncertainty ±,Standart Indication,Instrument Indication,Correction,"Uncertainty
±",Standart Indication,Instrument Indication,Correction,"Uncertainty
±",,,,Tertelusur,,,,1,Semi Micro Balance,OHAUS PIONEER/PX85,C543502629,LK-064-IDN,2026-01-26T00:00:00,46048,9.7e-05,g,1e-05,5e-06,,,,
,,oC,oC,oC,oC,%RH,%RH,%RH,%RH,hPa,hPa,hPa,hPa,,,,,,,,2,Analytical Balance,Mettler Toledo/XS204,1129063525,LK-305-IDN,2026-01-19T00:00:00,46041,0.0011,g,0.0001,8.5e-05,,,,
1,Thermobarometer,20.1,20,0.1,1.2,38,40,-2,3,931,930,1,2,Inlab (Lab. Volumetrik),2024-06-26T00:00:00,2026-06-27T00:00:00,LK-172-IDN,1,Thermobarometer,,3,Electronic Balance Fujitsu,Fujitsu/FSR-A,SIDIK/134/2024,LK-305-IDN,2026-01-19T00:00:00,46041,0.0019,g,0.001,0.00048,,,,
,,26,25,1,,48.5,50,-1.5,,941.1,940,1.1,,,,,,2,TH-7,,4,Electronic Balance Excellent,Excellent/DJ,HSEX1403752,LK-305-IDN,2026-01-19T00:00:00,46041,0.007,g,0.01,0.0052,,,,
,,29.7,30,-0.3,,59.2,60,-0.8,,950.9,950,0.9,,,,,,,,,5,Electronic Balance  Mettler,Mettler Toledo/IND690,3127471,LK-305-IDN,2026-01-19T00:00:00,46041,0.32,g,0.01,0.092,,,,
,,34.7,35,-0.3,,70,70,0,,961.2,960,1.2,,,,,,,,,6,,,,,,,,,,,,,,
,,39.8,40,-0.2,,81.1,80,1.1,,971,970,1,,,,,,,,,7,,,,,,,,,,,,,,
,,,,,,,,,,981.1,980,1.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,990.6,990,0.6,,,,,,,,,No,Satuan Timbangan,,No,Class,,,,,,,,,,
,,,,,,,,,,1001,1000,1,,,,,,,,,1,g,,1,F1,,,,,,,,,,
,,,,,,,,,,1006,1005,1,,,,,,,,,2,kg,,2,F2,,,,,,,,,,
2,TH-7,15.32,15,0.36,1.7,29.27,30,-0.7300000000000004,4.9,,,,,,,,,,,,,,,3,F22,,,,,,,,,,
