,,,,,,,F2,,,AT yang dipakai untuk Msens,,,,,,,,,,,,,
,,,,,,MPE,30,,mg,,,,,,,,,,,,,,
,Data Sensitivitas Timbangan,,,,,AT Msens,900,,mg,,,,,,,,,,,,,,
,,Middle Capacity :,,2000,g,AT Msens,1000,,,,,,,,,,,,,,,,
,,Repeatability,,S (F1),T (F2),,,T+Msens,,S+Msens,,,,,Nama Standard,,Kapasitas ,,,,,,
,,1,,2000,1999.97,,,2000.97,,2001,,,,,Semi Micro Balance,,80,,,,,,
,,2,,1999.98,1999.98,,,2000.97,,2000.99,,,,,Analytical Balance,,220,,,,,,
,,,,,,,,,,,,,,,Electronic Balance Fujitsu,,1200,,,,,,
,,,,,,,,,,,,,,,Electronic Balance Excellent,,3100,,,,,,
,,Rumus Ketidakpastian Sensitivitas,,,,,,,,,,,,,Electronic Balance  Mettler,,30000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,AT yang dipakai,,,,,,,,,,,,,,
,,,,,,,,,1,0,gram,,,,,,,,,,,,
,,,,,,,,Msens,1.0000136,,gram,,,,,,,,,,,,
,,,,,,,,Umsens,0.0033,,mg,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,-14.999999999986358,mg,=,1000,mg,,,,,,,,,,,,,,,,
,,,,,,1000,mg,,,,,,,,,,,,,,,,
,,,,,,1000000,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,1000.0136,mg,=,0,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,0.0033,mg,=,0,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,3.2999551206103597e-06,mg,=,0,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,1.0889703798042533e-11,mg,,,=,3.2999551206103597e-06,mg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,usens =,-4.9499326809110374e-05,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
