,,,,,,,F2,,,AT yang dipakai untuk Msens,,,,,,,,,,,,,
,,,,,,MPE,160,,mg,,,,,,,,,,,,,,
,Data Sensitivitas Timbangan,,,,,AT Msens,4800,,mg,,,,,,,,,,,,,,
,,Middle Capacity :,,10000,g,AT Msens,5000,,,,,,,,,,,,,,,,
,,Repeatability,,S (F1),T (F2),,,T+Msens,,S+Msens,,,,,Nama Standard,,Kapasitas ,,,,,,
,,1,,10000,9999.99,,,10004.99,,10005,,,,,Semi Micro Balance,,80,,,,,,
,,2,,10000,10000,,,10004.98,,10005,,,,,Analytical Balance,,220,,,,,,
,,,,,,,,,,,,,,,Electronic Balance Fujitsu,,1200,,,,,,
,,,,,,,,,,,,,,,Electronic Balance Excellent,,3100,,,,,,
,,Rumus Ketidakpastian Sensitivitas,,,,,,,,,,,,,Electronic Balance  Mettler,,30000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,AT yang dipakai,,,,,,,,,,,,,,
,,,,,,,,,5,0,gram,,,,,,,,,,,,
,,,,,,,,Msens,5.0000284,,gram,,,,,,,,,,,,
,,,,,,,,Umsens,0.0046,,mg,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,-5.000000000109139,mg,=,5000,mg,,,,,,,,,,,,,,,,
,,,,,,4989.999999999782,mg,,,,,,,,,,,,,,,,
,,,,,,4994999.999999891,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,5000.0284,mg,=,7.071067812019821,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,0.0046,mg,=,0.0014142135624039642,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,9.199947744296812e-07,mg,=,2.0000000000873112e-06,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,8.463903849779199e-13,mg,,,=,0.001414213861648123,mg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,usens =,-0.007071069308394962,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
