,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Standard,:,Semi Micro Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nominal AT,:,50,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tanggal Verifikasi ,,2026-05-04T00:00:00,,,,,2026-05-05T00:00:00,,,,,2026-05-06T00:00:00,,,,,2026-05-07T00:00:00,,,,,2026-05-08T00:00:00,,,,,2026-05-11T00:00:00,,,,
,Repeat,,Pembacaan (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m,S,T,T,S,∆m
,n,,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,
,1,,50.00001,50.00003,50.00002,50.00001,1.4999999997655777e-05,50.00001,50.00002,50.00003,50,1.9999999999242846e-05,50.00001,50.00003,50.00002,50.00001,1.4999999997655777e-05,50.00002,50.00003,50.00002,50.00002,5.000000001587068e-06,49.99999,50.00001,50.00002,50,2.000000000279556e-05,49.99998,50.00002,50.00002,50,2.999999999886427e-05
,2,,50.00001,50.00003,50.00002,50.00001,1.4999999997655777e-05,50.00001,50.00002,50.00003,50,1.9999999999242846e-05,50.00001,50.00002,50.00002,50,1.4999999997655777e-05,50.00001,50.00003,50.00001,50.00001,9.999999999621423e-06,49.99999,50.00001,50.00002,50,2.000000000279556e-05,49.99999,50.00001,50.00001,50,1.5000000004761205e-05
,3,,50.00001,50.00002,50.00002,49.99999,1.9999999999242846e-05,50,50.00003,50.00002,50.00002,1.5000000001208491e-05,50.00001,50.00002,50.00003,50.00001,1.4999999997655777e-05,50.00001,50.00003,50.00001,50.00001,9.999999999621423e-06,50,50.00002,50.00002,50,1.9999999999242846e-05,49.99999,50.00001,50.00002,49.99999,2.5000000004382628e-05
,4,,50.00002,50.00002,50.00002,50.00001,4.9999999980343546e-06,50,50.00002,50.00002,50.00001,1.4999999997655777e-05,50.00002,50.00002,50.00003,50.00001,9.999999999621423e-06,50.00001,50.00002,50.00002,50.00001,9.999999996068709e-06,50,50.00002,50.00001,50.00002,5.000000001587068e-06,50.00001,50.00001,50.00002,50,9.999999999621423e-06
,5,,50.00002,50.00002,50.00002,50.00002,0,50.00001,50.00002,50.00003,50.00001,1.4999999997655777e-05,50.00002,50.00002,50.00002,50,9.999999999621423e-06,50.00002,50.00002,50.00002,50.00002,0,50.00001,50.00002,50.00001,50.00001,4.9999999980343546e-06,50.00001,50.00002,50.00001,50.00001,4.9999999980343546e-06
,6,,49.99999,50.00002,50.00002,50.00002,1.5000000001208491e-05,50.00001,50.00002,50.00002,50,1.4999999997655777e-05,50.00002,50.00003,50.00002,50,1.5000000001208491e-05,50.00002,50.00002,50.00002,50.00002,0,50.00002,50.00002,50.00002,50.00002,0,50.00002,50.00002,50.00002,50.00001,4.9999999980343546e-06
