,RECORD HASIL REKALIBRASI STANDAR KALIBRATOR,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,,,,,,,,,
,Merk,:,-,,,,,,,,,,,
,Type,:,-,,,,,,,,,,,
,No. Seri,:,,,,,,,,,,,,
,Kelas,:,E2,,,,,,,,,,,
,Range,:,1,kg,,,,,,,,,,
,Interval Kalibrasi,:,2,tahun,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,Massa Konvensional ,,,,,,,,,,,
,,,Massa Nominal (g),Massa Konvensional Tahun Kalibrasi (g),,,,,,Drift Calculation :,,,,
,,,,2026,2028,2030,2032,2034,2036,"u(δmD) = 0,5 (Mc max - Mc min) / sqrt(3)",,,,
,,,,BBLM,,,,,,"Mc max
g","Mc min
g","u(δmD)
g","u(δmD)
g",
,,,,2026-01-19T00:00:00,,,,,,,,,,
,,,1000,1000.00015,,,,,,1000.00015,1000.00015,0,0,
,,,,,,,,,,,,Max. U drift,0,
,,,,,,,,,,,,,,
,,2,Koreksi,,,,,,,,,,,
,,,Massa Nominal (g),Koreksi Tahun Kalibrasi (g),,,,,,,,,,
,,,,2026,2028,2030,2032,2034,2036,,,,,
,,,,BBLM,0,0,0,0,0,,,,,
,,,1000,0.00014999999996234692,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,3,Uncertainty,,,,,,,,,,,
,,,Massa Nominal (mg),Uncertainty Tahun Kalibrasi (mg),,,,,,,,,,
,,,,2026,2028,2030,2032,2034,2036,,,,,
,,,,BBLM,0,0,0,0,0,,,,,
,,,1000,16,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
