,RECORD HASIL REKALIBRASI STANDAR KALIBRATOR,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,,,,,,,,,
,Merk,:,Accurate,,,,,,,,,,,
,Type,:,Stainless,,,,,,,,,,,
,No. Seri,:,100636,,,,,,,,,,,
,Kelas,:,E2,,,,,,,,,,,
,Range,:,500,g,,,,,,,,,,
,Interval Kalibrasi,:,2,tahun,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,Massa Konvensional ,,,,,,,,,,,
,,,Massa Nominal (g),Massa Konvensional Tahun Kalibrasi (g),,,,,,Drift Calculation :,,,,
,,,,2026,2028,2030,2032,2034,2036,"u(δmD) = 0,5 (Mc max - Mc min) / sqrt(3)",,,,
,,,,DirMet Bdg,,,,,,"Mc max
g","Mc min
g","u(δmD)
g","u(δmD)
g",
,,,,2026-01-13T00:00:00,,,,,,,,,,
,,,500,500.00051,,,,,,500.00051,500.00051,0,0,
,,,,,,,,,,,,Max. U drift,0,
,,,,,,,,,,,,,,
,,2,Koreksi,,,,,,,,,,,
,,,Massa Nominal (g),Koreksi Tahun Kalibrasi (g),,,,,,,,,,
,,,,2026,2028,2030,2032,2034,2036,,,,,
,,,,DirMet Bdg,0,0,0,0,0,,,,,
,,,500,0.0005100000000197724,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,3,Uncertainty,,,,,,,,,,,
,,,Massa Nominal (mg),Uncertainty Tahun Kalibrasi (mg),,,,,,,,,,
,,,,2026,2028,2030,2032,2034,2036,,,,,
,,,,DirMet Bdg,0,0,0,0,0,,,,,
,,,500,0.07,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
