PT. SIDIK,,,"KALIBRASI MASSA/ANAK TIMBANGAN
(SATUAN : ""Gram"")",,,,,,,,,,,,,,,,,LK-285-IDN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Certificate Number,,:,001-CAL-126,,,,,,
,,,,,,,,,,,,,,,,,,Order Number,,:,2601.45.D.NK,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Anak Timbangan,,,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,
,Merk,,:,Delima Scientific,,,,,,,,,,,,,,,,,,,,,Teknisi,:,NS
,Class,,:,1,,,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,
,No. Seri,,:,202501022,,,,,,,,,,,,,,,,,,,,,Metode,:,SIDIK-IK-CAL-0535_Rev.0
,Rentang Ukur,,:,200,,,g,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,200,,,g,,,,,,,Tanggal Terima ,,,:,2026-01-26T00:00:00,,,,,,,Standard AT,:,Anak Timbangan E2 200 g
,,,,,,,,,,,,,,Tanggal Kalibrasi,,,:,2026-01-27T00:00:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Standard TH,:,Thermobarometer
,KONDISI LINGKUNGAN,,,,,,,,,,,,,PENGERJAAN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,,Average,,,,,,Lokasi Kalibrasi,,,:,Inlab,,,,,,,Standard Timbangan,:,Analytical Balance
,Suhu Ruangan,,:,23.1,23,,,23,oC,,,,,Technician ID,,,:,7,,,,,,,,,
,Kelembaban,,:,55,56,,,56,%RH,,,,,Calibration Method,,,:,35,,,,,,,,,
,Thermohygro Used,,:,1,,,,,,,,,,Standar Anak Timbangan,,,:,1,,,,,,,,,
,Tekanan Udara,,:,933.2,933.1,,,933.1,hPa,,,,,Standar Timbangan,,,:,2,,,,,,,Class UUT,:,F1
,,,,,,,,,,,,,,,,,,Noticed for data anlyse,,,,,,,Class Standar,:,E2
,,,,,,,,,,,,,,,,,,Max. Capacity,,Balance Used,,,Res. Balance,,,,
,,,,,,,,,,,,,,,,,,80 g,,Semi Micro Balance,,,0.00001 g,,,,
,,,,,,,,,,,,,,,,,,220 g,,Analytical Balance,,,0.0001 g,,,,
,,,,,,,,,,,,,,,,,,1200 g,,Electronic Balance Fujitsu,,,0.001 g,,,,
,,,,,,,,,,,,,,,,,,3100 g,,Electronic Balance Excellent,,,0.01 g,,,,
,,,,,,,,,,,,,,,,,,30 kg,,Electronic Balance  Mettler,,,0.01 g,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penimbangan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No Identitas :,,,,,,No Identitas :,,,,,No Identitas :,,,,,,No Identitas :,,,,,,,,
,1. ,Value,,Repeatability,,,2. ,Value,,Repeatability,,3. ,Value,,Repeatability,,,4. ,Value,,Repeatability,,,,,,
,,100,g,,,,,200,g,,,,200,g,,,,,0.005,g,,,,,,,
,,S1,,100,,,,S1,,199.9999,,,S1,,199.9999,,,,S1,,0.005,,,,,,
,,T1,,99.9999,,,,T1,,199.9999,,,T1,,199.9999,,,,T1,,0.005,,,,,,
,,T2,,99.9999,,,,T2,,199.9999,,,T2,,199.9999,,,,T2,,0.005,,,,,,
,,S2,,100,,,,S2,,199.9999,,,S2,,199.9999,,,,S2,,0.005,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No Identitas :,,,,,,No Identitas :,,,,,No Identitas :,,,,,,No Identitas :,,,,,,,,
,5. ,Value,,Repeatability,,,6. ,Value,,Repeatability,,7. ,Value,,Repeatability,,,8. ,Value,,Repeatability,,,,,,
,,0.01,g,,,,,0.02,g,,,,0.02,g,,,,,0.05,g,,,,,,,
,,S1,,0.00997,,,,S1,,0.02,,,S1,,0.02,,,,S1,,0.05,,,,,,
,,T1,,0.01,,,,T1,,0.02,,,T1,,0.02,,,,T1,,0.05,,,,,,
,,T2,,0.0099,,,,T2,,0.02,,,T2,,0.02,,,,T2,,0.05,,,,,,
,,S2,,0.00996,,,,S2,,0.02,,,S2,,0.02,,,,S2,,0.05,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No Identitas :,,,,,,No Identitas :,,,,,No Identitas :,,,,,,No Identitas :,,,,,,,,
,9. ,Value,,Repeatability,,,10. ,Value,,Repeatability,,11. ,Value,,Repeatability,,,12. ,Value,,Repeatability,,,,,,
,,0.1,g,,,,,0.2,g,,,,0.2,g,,,,,0.5,g,,,,,,,
,,S1,,0.1,,,,S1,,0.2,,,S1,,0.2,,,,S1,,0.5,,,,,,
,,T1,,0.1,,,,T1,,0.2,,,T1,,0.2,,,,T1,,0.5,,,,,,
,,T2,,0.1,,,,T2,,0.2,,,T2,,0.2,,,,T2,,0.5,,,,,,
,,S2,,0.1,,,,S2,,0.2,,,S2,,0.2,,,,S2,,0.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No Identitas :,,,,,,No Identitas :,,,,,No Identitas :,,,,,,No Identitas :,,,,,,,,
,13. ,Value,,Repeatability,,,14. ,Value,,Repeatability,,15. ,Value,,Repeatability,,,16. ,Value,,Repeatability,,,,,,
,,1,g,,,,,2,g,,,,2,g,,,,,5,g,,,,,,,
,,S1,,1,,,,S1,,2.0002,,,S1,,2.0001,,,,S1,,5.0002,,,,,,
,,T1,,1.0002,,,,T1,,2.0005,,,T1,,2.0003,,,,T1,,5.0003,,,,,,
,,T2,,0.9999,,,,T2,,2.0003,,,T2,,2.0004,,,,T2,,5.0003,,,,,,
,,S2,,1,,,,S2,,2.0002,,,S2,,2.0001,,,,S2,,5.0003,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No Identitas :,,,,,,No Identitas :,,,,,No Identitas :,,,,,,No Identitas :,,,,,,,,
,17. ,Value,,Repeatability,,,18. ,Value,,Repeatability,,19. ,Value,,Repeatability,,,20. ,Value,,Repeatability,,,,,,
,,10,g,,,,,20,g,,,,20,g,,,,,50,g,,,,,,,
,,S1,,9.9999,,,,S1,,20.0002,,,S1,,20,,,,S1,,50.0003,,,,,,
,,T1,,0.9998,,,,T1,,20,,,T1,,20.0003,,,,T1,,50.0003,,,,,,
,,T2,,10.0001,,,,T2,,20.0001,,,T2,,20.0005,,,,T2,,50.0003,,,,,,
,,S2,,10.0001,,,,S2,,20.0004,,,S2,,20.0001,,,,S2,,50.0002,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
