,,,,,,,,
Nominal,,Class,,,,,,
Value,in gram,F1,F2,M1,M1-2,M2,M2-3,M3
20 kg,20000,100,300,1000,,3000,,10000
10 kg,10000,50,160,500,,1600,,5000
5 kg,5000,25,80,250,,800,,2500
2 kg,2000,10,30,100,,300,,1000
1 kg,1000,5,16,50,,160,,500
500 g,500,2.5,8,25,,80,,250
200 g,200,1,3,10,,30,,100
100 g,100,0.5,1.6,5,,16,,50
50 g,50,0.3,1,3,,10,,30
20 g,20,0.25,0.8,2.5,,8,,25
10 g,10,0.2,0.6,2,,6,,20
5 g,5,0.16,0.5,1.6,,5,,16
2 g,2,0.12,0.4,1.2,,4,,12
1 g,1,0.1,0.3,1,,3,,10
500 mg,0.5,0.08,0.25,0.8,,2.5,,
200 mg,0.2,0.06,0.2,0.6,,2,,
100 mg,0.1,0.05,0.16,0.5,,1.6,,
50 mg,0.05,0.04,0.12,0.4,,,,
20 mg,0.02,0.03,0.1,0.3,,,,
10 mg,0.01,0.025,0.08,0.25,,,,
5 mg,0.005,0.02,0.06,0.2,,,,
2 mg,0.002,0.02,0.06,0.2,,,,
1 mg,0.001,0.02,0.06,0.2,,,,
