TABEL BUDGET KETIDAKPASTIAN ANAK TIMBANGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama Alat,,,:,Anak Timbangan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rentang Ukur,,,:,200,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketelitian Baca Alat,,,:,0,g,,,,,,,,,,,,,Rumus koefisien sensivitas U Bouyancy,,,,,,,,,Rumus Ketidakpastian Sensitivitas,,,,,,
Ketelitian Baca Standar,,,:,0.0001,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Point at,100,g,,,,,,Nama Timbangan :,,,,Analytical Balance,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Repeatability,,,,,,mg,,t-tsudent,,,0.04636297841870652,,,1,,54,,0.04636297841870652,,,1,,0.04636297841870652,,,0.0021495257678534464,,,,8.556409308640644e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator AT,,,,,,mg,,normal,,,0.023,,,2,,60,,0.0115,,,1,,0.0115,,,0.00013225,,,,2.9150104166666663e-10,,,
Ketidakpastian Resolusi Timbangan Standard,,,,,,mg,,Rectangular,,,0.05,,,1.73,,100,,0.04086705202312139,,,1,,0.04086705202312139,,,0.00167011594106051,,,,2.7892872565844326e-08,,,
Instability,,,,,,mg,,Rectangular,,,0.0115,,,1,,9,,0.0115,,,1,,0.0115,,,0.00013225,,,,1.9433402777777777e-09,,,
Bouyancy,,,,,,kg/m3,,Rectangular,,,0.12,,,1.73,,100,,0.06936416184971098,,,-7.744672757068785e-05,,-5.372027345943666e-06,,,2.8858677805566548e-11,,,,8.328232846854993e-24,,,
Sensitivity,,,,,,mg,,t-student,,,-0.00026461006456712755,,,1.73,,100,,-0.00015295379454747257,,,1,,-0.00015295379454747257,,,2.339486326647045e-08,,,,5.473196272568484e-18,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,0.0040841651326359,,,,1.1569180697716843e-07,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.06390747321429553,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,144.17965512398538,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,1.9765750658304413,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,0.12631791807560336,,,,mg,,,
,,,,,,,,,,,,,,,,,,,,,CMC PT. SIDIK,,,,,,,,,mg,,,
