,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2026-01-22T00:00:00,,,,OVERALL STANDAR ANAK TIMBANGAN,,,,,
,Kapasitas,:,1 mg - 200 g,,,Due Date Kalibrasi,,:,2029-01-22T00:00:00,,,,,,,,,
,Type,:,E2,,,Tertelusur,,:,LK-045-IDN,,,Kelas,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,Drift of Correction/Instability of mass,
,S/N,:,75870,,,No. Sertif,,:,0518/25/KAL/01/2026,,,,g,g,g,mg,mg,
,,,,,,,,,,,,E2,0.001,0.00100015,1.4999999999997654e-07,0.0008,0.0004,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,E2,0.002,0.00200127,1.2699999999998303e-06,0.0009,0.00045,
,,,g,g,g,mg,,,,,,E2,0.002*,0.00200133,1.3299999999999076e-06,0.0009,0.00045,
,,,0.001,0.00100015,1.4999999999997654e-07,0.0008,,,,,,E2,0.005,0.0050016,1.6000000000000389e-06,0.0009,0.00045,
,,,0.002,0.00200127,1.2699999999998303e-06,0.0009,,,,,,E2,0.01,0.010005100000000001,5.100000000000937e-06,0.001,0.0005,
,,,0.002*,0.00200133,1.3299999999999076e-06,0.0009,,,,,,E2,0.02,0.0200027,2.7000000000013125e-06,0.001,0.0005,
,,,0.005,0.0050016,1.6000000000000389e-06,0.0009,,,,,,E2,0.02*,0.020000900000000002,9.00000000001594e-07,0.001,0.0005,
,,,0.01,0.010005100000000001,5.100000000000937e-06,0.001,,,,,,E2,0.05,0.0500026,2.599999999998437e-06,0.0013,0.00065,
,,,0.02,0.0200027,2.7000000000013125e-06,0.001,,,,,,E2,0.1,0.100006,5.999999999992123e-06,0.0015,0.00075,
,,,0.02*,0.020000900000000002,9.00000000001594e-07,0.001,,,,,,E2,0.2,0.2000033,3.2999999999838714e-06,0.0016,0.0008,
,,,0.05,0.0500026,2.599999999998437e-06,0.0013,,,,,,E2,0.2*,0.2000078,7.80000000000225e-06,0.0016,0.0008,
,,,0.1,0.100006,5.999999999992123e-06,0.0015,,,,,,E2,0.5,0.4999991,-9.000000000258801e-07,0.0023,0.00115,
,,,0.2,0.2000033,3.2999999999838714e-06,0.0016,,,,,,E2,1,1.0000136,1.3599999999946988e-05,0.0033,0.00165,
,,,0.2*,0.2000078,7.80000000000225e-06,0.0016,,,,,,E2,2,2.0000192,1.920000000010802e-05,0.0036,0.0018,
,,,0.5,0.4999991,-9.000000000258801e-07,0.0023,,,,,,E2,2*,2.0000185,1.8499999999921357e-05,0.0036,0.0018,
,,,1,1.0000136,1.3599999999946988e-05,0.0033,,,,,,E2,5,5.0000284,2.8399999999706438e-05,0.0046,0.0023,
