PT. SIDIK,,,"KALIBRASI MASSA/TIMBANGAN
(SATUAN : ""Gram"")",,,,,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,,,,,,,,
,Range CMC AT,,:,A,*This type is automaticly filled by max. Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tipe Timbangan,,:,1,,,,,,,,,,,,,Certificate Number :,,,019-CAL-425,,,,,Data Choosen From Combobox,,,,,,,,,,
,Tipe Display,,:,1,,,,,,,,,,,,,Order Number        :,,,2504.04.G,,,,,(DON'T ERASE),,,,,,,,,,
,Jenis Timbangan,,:,3,,,,,,"Note: 
- Bertingkat (Dalam rentang tertentu, resolusi alat berubah)
- Tak Bertingkat (Resolusi tetap dalam seluruh rentang pengukuran)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Moisture Analyzer,,,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,Technician ID,,:,AJ,,,,,,,
,Merk,,:,Mettler Toledo,,,,,,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0505-Rev.7,,,,,,,
,Type,,:,HB53,,,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,Calculated by,,:,DR,,,,,,,
,No. Seri,,:,101866053,,,,,,,,,,,,,,,,,,,,,Signed by,,:,Alex Misramto,,,,,,,
,Rentang Ukur,,:,50,,,,g,,,,,,,,,,,,,,,,,Position,,:,Technical Manager,,,,,,,
,Kapasitas Alat,,:,54,,,,g,,,,,,Tanggal Terima ,,,:,2025-04-15T00:00:00,,,,,,,Thermohygro,,:,TH-6,,,,,,,
,Resolusi Alat,,:,0.0001,,,,g,,,,,,Tanggal Kalibrasi,,,:,2025-04-15T00:00:00,,,,,,,Tipe Timb.,,:,Analytical,,,,,,,
,Nilai e,,:,-,,,g,Kelas  :,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"*Jika e tidak ada, tulis -",,,,,"*Note: Isi kelas= I , II , III , IIII
jika kelas tidak ada, tulis -",,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,,,PENGERJAAN,,,,,,,,,,,Tipe Display,,:,Digital,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,,,,,,,,Lokasi Kalibrasi,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,Jenis Timbangan,,:,Tak Bertingkat,,,,,,,
,Suhu Ruangan,,:,20.4,20.5,,,,,,,,,Technician ID,,,:,7,,,,,,,Standar AT,,,,,,,,,,
,Kelembaban,,:,54,54,,,,,,,,,Calibration Method,,,:,5,,,,,,,AT1,True,:,Anak Timbangan E2,,,,,,,
,Thermohygro Used,,:,6,,,,,,,,,,Standar Anak Timbangan,,,:,,,,,VALID,,,AT2,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,AT3,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,AT4,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,AT5,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,AT6,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,AT 7,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. SCALL OBSERVATION,,,,,,,,,2. EFFECT OF TARE,,,,,,,,3. ACCURACY,,,,,,,,,,,,,,,,,
,Position,,Standar Weight,,The Reading,,,,,Standar Weight,,The Reading,,,,,,Nominal,,The Reading,,,,,,,,,,,,,,,
