,IDENTITAS ALAT,,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Moisture Analyzer,,,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,
,Merk,,:,Mettler Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,HB53,,,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,
,No. Seri,,:,101866053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,50,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,54,,,,g,,,,,,Tanggal Terima ,,,:,2025-04-15T00:00:00,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.0001,,,,g,,,,,,Tanggal Kalibrasi,,,:,2025-04-15T00:00:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,20.4,20.5,20.45,19.33,-0.23,oC,,0.10000000000000142,-0.23,1.7,±,1.70293863659264,oC,,,,,,,,,,,,,,,,,,,,
,Kelembaban,,:,54,54,54,46.83,-3.1700000000000017,%RH,,0,-3.1700000000000017,4.8,±,4.8,%RH,,,,,,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. SCALL OBSERVATION (SO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Position,,Standar Weight (M),,The Reading (Z),,,,Average (Z dan M),,,,Deviation (ri),,Correction (C),,,,,,,,,,,,,,,,,,,,,
,,,g,,g,,,,g,,,,g,,g,,,,,,,,,,,,,,,,,,,,,
,,,,,z1,=,0,,,,0,,9.99985,,10.00015,,,,,,,,,,,,,,,,,,,,,
,Before,,10,,m1,=,9.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adjustment,,10,,m2,=,9.9998,,,,9.99985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z2,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z'1,=,0,,,,0,,10,,10,,,,,,,,,,,,,,,,,,,,,
,After,,10,,m1',=,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adjustment,,10,,m2',=,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z2',=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standar Deviasi tahun yang lalu (s)          =,,,,0,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV that last year,,=,0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readibility Uncertainty,,=,Readibility / 2,=,2.8867513459481293e-05,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Because the semi-range, so the degrees of freedom is (Vi)",,,,,=,Unlimited or 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. EFFECT OF TARE (ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standar Weight,,The Reading,,Deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,g,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,m1=,9.9999,9.999999999976694e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,m2=,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. ACCURACY (AC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nominal,,Weight Standart (M),,,,Total Weight,,,Reading,,,Average,,,Deviation,Correction,,Abs Correction,Stdev 1 cycle,Uncertainty,,,,,,,,,,,,,,,
,,,Conventional Number (CN),,Uncertainty,,"""CN""",,,,,,,,,(ri),(C),,,Sr,of Correction,,,,,,,,,,,,,,,
,,,g,,mg,,,g,,g,,,g,,,g,g,,g,g,g,,,,,,,,,,,,,,,
,1,,2,,3,,4,,,5,,,6,,,7,8,,9,10,11,,,,,,,,,,,,,,,
,5,,5.000032,,0.011,,5.000032,,,z1,=,0,z1,=,0,5,3.2000000000032e-05,,3.2000000000032e-05,0,0.0005729798211108653,,,,,,,,,,,,,,,
,,,,,,,,,,m1,=,5,m1,=,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m1',=,5,,,,,,,,,,,,,,,,,,,,,,,,
,10,,9.999972,,0.013,,9.999972,,,z2,=,0,z1,=,0,9.99985,0.00012199999999928934,,0.00012199999999928934,7.071067811848996e-05,0.0005763250855243265,,,,,,,,,,,,,,,
,,,,,,,,,,m2,=,9.9999,m1,=,9.99985,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m2',=,9.9998,,,,,,,,,,,,,,,,,,,,,,,,
,10,,9.999972,,0.013,,15.000004,,,z3,=,0,z1,=,0,15,4.000000000559112e-06,,4.000000000559112e-06,0,0.0005739466379970136,,,,,,,,,,,,,,,
,5,,5.000032,,0.011,,,,,m3,=,15,m1,=,15,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m3',=,15,,,,,,,,,,,,,,,,,,,,,,,,
,20,,20.000001,,0.017,,20.000001,,,z4,=,0,z1,=,0,20,1.0000000010279564e-06,,1.0000000010279564e-06,0,0.0005731458013856497,,,,,,,,,,,,,,,
,,,,,,,,,,m4,=,20,m1,=,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m4',=,20,,,,,,,,,,,,,,,,,,,,,,,,
,20,,20.000001,,0.017,,25.000033000000002,,,z5,=,0,z1,=,0,25,3.300000000194814e-05,,3.300000000194814e-05,0,0.0005736358494898132,,,,,,,,,,,,,,,
,5,,5.000032,,0.011,,,,,m5,=,25,m1,=,25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m5',=,25,,,,,,,,,,,,,,,,,,,,,,,,
,20,,20.000001,,0.017,,29.999973,,,z6,=,0,z1,=,0,30,-2.6999999999333113e-05,,2.6999999999333113e-05,0,0.0005742424745285679,,,,,,,,,,,,,,,
,10,,9.999972,,0.013,,,,,m6,=,30,m1,=,30,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m6',=,30,,,,,,,,,,,,,,,,,,,,,,,,
,20,,20.000001,,0.017,,35.000005,,,z7,=,0,z1,=,0,35,5.000000001587068e-06,,5.000000001587068e-06,0,0.0005749704312221406,,,,,,,,,,,,,,,
,10,,9.999972,,0.013,,,,,m7,=,35,m1,=,35,,,,,,,,,,,,,,,,,,,,,
,5,,5.000032,,0.011,,,,,m7',=,35,,,,,,,,,,,,,,,,,,,,,,,,
,20,,20.000001,,0.017,,40.000002,,,z8,=,0,z1,=,0,40,2.0000000020559128e-06,,2.0000000020559128e-06,0,0.000573972094965808,,,,,,,,,,,,,,,
,20,,20.000001,,0.017,,,,,m8,=,40,m1,=,40,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m8',=,40,,,,,,,,,,,,,,,,,,,,,,,,
,20,,20.000001,,0.017,,45.000034,,,z9,=,0,z1,=,0,45,3.399999999942338e-05,,3.399999999942338e-05,0,0.0005745954084231279,,,,,,,,,,,,,,,
,20,,20.000001,,0.017,,,,,m9,=,45,m1,=,45,,,,,,,,,,,,,,,,,,,,,
,5,,5.000032,,0.011,,,,,m9',=,45,,,,,,,,,,,,,,,,,,,,,,,,
,50,,50.00008,,0.023,,50.00008,,,z10,=,0,z1,=,0,50,7.999999999697138e-05,,7.999999999697138e-05,0,0.0005733391810710938,,,,,,,,,,,,,,,
,,,,,,,,,,m10,=,50,m1,=,50,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m10',=,50,,,,,,,,,,,,,,,,,,,,,,,,
,MAXIMUM AT USED:,,50,,,,,,,z11,=,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Correction  =,,-2.6999999999333113e-05,g,", the absolute value of min. correction is:",,,2.6999999999333113e-05,g,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximum Correction =,,0.00012199999999928934,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Formula :,,,0.0225,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.2499999999999998e-05,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum uncertainty from the all weight standard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximum correction is =,,0.00012199999999928934,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. REPEATABILITY (RPT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,Middle Capacity,,,Maximum Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zero (g),Reading (g),Deviation (g),Zero (g),Reading (g),Deviation (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(zi),(mi),(ri),(zi),(mi),(ri),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,24.9999,-9.999999999976694e-05,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0,24.9999,-9.999999999976694e-05,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,24.9999,-9.999999999976694e-05,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,0,24.9999,-9.999999999976694e-05,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0,25,0,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0,24.9999,-9.999999999976694e-05,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0,24.9999,-9.999999999976694e-05,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0,24.9999,-9.999999999976694e-05,0,49.9999,-0.00010000000000331966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0,24.9999,-9.999999999976694e-05,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0,24.9999,-9.999999999976694e-05,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV (gr),,,3.16227766016101e-05,,,3.1622776602733554e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maxmimum deviations with the next reading (g),,,9.999999999976694e-05,,,0.00010000000000331966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximun STDEV (g),,,,,,3.1622776602733554e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uncertainty of Repeatability,,,=,STDEV Max,,3.1622776602733554e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,√n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*) The degrees of freedom = n - 1,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*) Taken from the total repeat of reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"*) Repeat, n = 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Assumed the influence of bouyant force is 1 ppm, rectangular distribution and then : ",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Uby =,1 ppm x nominal standard weight,,,(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,√3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The degrees of freedom is unlimited (Vi) =,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uncertainty of drift standard weight (g),,,Ud = ,d,,1.299038105676658e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,√3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
