PERHITUNGAN U95% of CORRECTION,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,POINT 1 ,5.000032,,g,,,,,,,,,,,,,,,,,,,
,AT Used (if std. mass are combined),,,,,,,,,,,,,,,,,,,,,,
,Mass 1,Mass 2,,Mass 3,,Mass 4,Mass 5,,Mass 6,,Sr,:,stdev dr n-kali pengulangan pengukuran,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,
,5,,,,,,,,,,Sres,:,0.82 *a,,,,"Sr>Sres , standard uncertainty U= Sr/√n , vi=9",,,,,,
,Drift / Instability of Each mass (g),,,,,,,,,,Nilai,,,,,,"Sr=Sres, standartd uncertainty U=Sr, vi= 1000",,,,,,
,4.7920072343796425e-06,0,,0,,0,0,,0,,Sr,=,0,,,,"Sr=0, standartd uncertainty U=Sres, vi= 1000",,,,,,
,,,,,,,,,,,Sres,=,4.1e-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Weight Standard (Calibrated Mass),,,,,g,Normal,,1.1e-05,2,,60,,5.5e-06,,1,3.025e-11,,1.5251041666666665e-23,,,,
,Mass Instability (Drift)-Mass 1,,,,,g,Rectangular,,4.7920072343796425e-06,Ö3,,50,,4.7920072343796425e-06,,1,2.296333333434683e-11,,1.0546293556486485e-23,,,,
,Mass Instability (Drift)-Mass 2,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 3,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 4,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 5,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 6,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Repeatability,,,,,g,T-Student,,4.1e-05,1,,1000,,4.1e-05,,1,1.681e-09,,2.8257610000000003e-21,,,,
,Rounding of Final Result,,,,,g,Rectangular,,0.0005,1.73,,1000,,0.00028901734104046245,,1,8.353102342209898e-08,,6.977431873943248e-18,,,,
,Total,,,,,,,,,,,,,,,,8.526523675543332e-08,,6.980283432278471e-18,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.000292002117724227,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,1041.527993740364,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9622454301923922,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.0005729798211108653,,,,0.5729798211108653,,
,CMC,,,,,,,,,,,,,,,,0.00057,,,,gr,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.0005729798211108653,,,,gr,,
,,,,,,,,,,,,,,,,,,,,,,,
2,POINT 2,9.999972,,g,,,,,,,,,,,,,,,,,,,
,AT Used (if std. mass are combined),,,,,,,,,,,,,,,,,,,,,,
,Mass 1,Mass 2,,Mass 3,,Mass 4,Mass 5,,Mass 6,,Sr,:,stdev dr n-kali pengulangan pengukuran,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,
,10,,,,,,,,,,Sres,:,0.82 *a,,,,"Sr>Sres , standard uncertainty U= Sr/√n , vi=9",,,,,,
,Drift / Instability of Each mass (g),,,,,,,,,,Nilai,,,,,,"Sr=Sres, standartd uncertainty U=Sr, vi= 1000",,,,,,
,1.3250188677882312e-05,0,,0,,0,0,,0,,Sr,=,7.071067811848996e-05,,,,"Sr=0, standartd uncertainty U=Sres, vi= 1000",,,,,,
,,,,,,,,,,,Sres,=,4.1e-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Weight Standard (Calibrated Mass),,,,,g,Normal,,1.3e-05,2,,60,,6.5e-06,,1,4.2249999999999996e-11,,2.9751041666666663e-23,,,,
,Mass Instability (Drift)-Mass 1,,,,,g,Rectangular,,1.3250188677882312e-05,Ö3,,50,,1.3250188677882312e-05,,1,1.755674999994806e-10,,6.164789411213525e-22,,,,
,Mass Instability (Drift)-Mass 2,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 3,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 4,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 5,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 6,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Repeatability,,,,,g,T-Student,,4.9999999999883464e-05,1,,9,,4.9999999999883464e-05,,1,2.4999999999883463e-09,,6.944444444379701e-19,,,,
,Rounding of Final Result,,,,,g,Rectangular,,0.0005,1.73,,1000,,0.00028901734104046245,,1,8.353102342209898e-08,,6.977431873943248e-18,,,,
,Total,,,,,,,,,,,,,,,,8.62488409220868e-08,,7.672522548364007e-18,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.00029368152975985194,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,969.5458714539202,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9624151576559707,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.0005763250855243265,,,,,,
,CMC,,,,,,,,,,,,,,,,0.00057,,,,gr,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.0005763250855243265,,,,gr,,
,,,,,,,,,,,,,,,,,,,,,,,
3,POINT 3,15.000004,,g,,,,,,,,,,,,,,,,,,,
,AT Used (if std. mass are combined),,,,,,,,,,,,,,,,,,,,,,
,Mass 1,Mass 2,,Mass 3,,Mass 4,Mass 5,,Mass 6,,Sr,:,stdev dr n-kali pengulangan pengukuran,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,
,10,5,,,,,,,,,Sres,:,0.82 *a,,,,"Sr>Sres , standard uncertainty U= Sr/√n , vi=9",,,,,,
,Drift / Instability of Each mass (g),,,,,,,,,,Nilai,,,,,,"Sr=Sres, standartd uncertainty U=Sr, vi= 1000",,,,,,
,1.3250188677882312e-05,4.7920072343796425e-06,,0,,0,0,,0,,Sr,=,0,,,,"Sr=0, standartd uncertainty U=Sres, vi= 1000",,,,,,
,,,,,,,,,,,Sres,=,4.1e-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Weight Standard (Calibrated Mass),,,,,g,Normal,,2.4e-05,2,,60,,1.2e-05,,1,1.4400000000000002e-10,,3.456000000000001e-22,,,,
,Mass Instability (Drift)-Mass 1,,,,,g,Rectangular,,1.3250188677882312e-05,Ö3,,50,,1.3250188677882312e-05,,1,1.755674999994806e-10,,6.164789411213525e-22,,,,
,Mass Instability (Drift)-Mass 2,,,,,g,Rectangular,,4.7920072343796425e-06,Ö3,,50,,4.7920072343796425e-06,,1,2.296333333434683e-11,,1.0546293556486485e-23,,,,
,Mass Instability (Drift)-Mass 3,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 4,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 5,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 6,,,,,g,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Repeatability,,,,,g,T-Student,,4.1e-05,1,,1000,,4.1e-05,,1,1.681e-09,,2.8257610000000003e-21,,,,
,Rounding of Final Result,,,,,g,Rectangular,,0.0005,1.73,,1000,,0.00028901734104046245,,1,8.353102342209898e-08,,6.977431873943248e-18,,,,
,Total,,,,,,,,,,,,,,,,8.55545542554328e-08,,6.981230260177926e-18,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.0002924971012769747,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,1048.4658836706594,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9622301742181212,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.0005739466379970136,,,,,,
,CMC,,,,,,,,,,,,,,,,0.00057,,,,gr,,
