,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,,,,,:,019-CAL-425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Page  ,,,,,,,:,1 of 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Owner,,,,,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,DON'T ERASE !!! (UNTUK PENGECEKAN MPE),,,,,,,,,,,,,,,,,,,,,,,,
,Order Number,,,,,,,:,2504.04.G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Received Date,,,,,,,:,2025-04-15T00:00:00,,,,,,,,,Address,,,,,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equipment Name,,,,,,,:,Moisture Analyzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. Penentuan nilai interval skala verifikasi ( e ),,,,,,,,,,,,,,,,,,,,,Tabel penentuan nilai e (Source: SNSU PK.M-02:2021),,,
,Manufacturer,,,,,,,:,Mettler Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenis Timbangan ,,,,,,:,Tak Bertingkat,,,,,,,,,,,,,,,,
,Model/Type,,,,,,,:,HB53,,,,,,,,,Calibration Location,,,,,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,Nilai e,,,,,,:,0.001,g,,,,,,,,,,,,,,,
,Serial Number,,,,,,,:,101866053,,,,,,,,,Calibration  Date,,,,,,,:,2025-04-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity/Graduation,,,,,,,:,54,g,/,0.0001,g,,,,,Calibration Method,,,,,,,:,SIDIK-IK-CAL-0505-Rev.7,,,,,,,,,,,,2. Penentuan Kelas,,,,,,,,,,,,,,,,,,,,,,,,
,Technician ID ,,,,,,,: ,AJ,,,,,,,,,Env. Condition,,,,,,,:,T,20.22,°C,±,1.70293863659264,°C,,,,,,,,Nilai n,,,,,,:,n = Max capacity / e,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,%RH,50.83,%,±,4.8,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nilai n,,,,,,:,54000,g,,,,,,,,,,,,,,,
,,1. REPEATABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelas,,:,II,,,,,,,,,,,,,,,,
,,Capacity,,,,,,,,,Deviation Standard,,,,,,,,,,,Maximum Deviation With the Next Reading (g),,,,,,,,,,,,,,,,3. Tentukan Nilai MPE masing-masing rentang akurasi,,,,,,,,,,,,,,,,,,,,,Tabel penentuan kelas timbanga (Source: SNSU PK.M-02:2021),,,
,,(g),,,,,,,,,(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Half Capacity,,,,,=,25,,,3.16227766016101e-05,,,,,,,,,,,9.999999999976694e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Full Capacity,,,,,=,50,,,3.1622776602733554e-05,,,,,,,,,,,0.00010000000000331966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2. EFFECT OF TARE,,,,,,,,=,9.999999999976694e-05,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3. ACCURACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelas : I,,,,,,,,,,,,,,,,,,,,,,,
,,Nominal Standard,,,,,,,,,Correction,,,,,,,,,Uncertainty ±,,,,,,,,,,,,,,,,,,,MPE,,,Rentang (g),,,,,Nilai Max. Koreksi (g),,,,,,,,,,,,,,,
,,(g),,,,,,,,,(g),,,,,,,,,(g),,,,,,,,,,,,,,,,,,,± 0.5 e,,,,,,,,,,,,,,,,,,,,,,,
,,5.000032,,,,,,,,,3.2000000000032e-05,,,,,,,,,0.0005729798211108653,,,,,,,,,,,,,,,,,,,± 1 e,,,,,,,,,,,,,,,,,,,,,,,
,,9.999972,,,,,,,,,0.00012199999999928934,,,,,,,,,0.0005763250855243265,,,,,,,,,,,,,,,,,,,± 1.5 e,,,,,,,,,,,,,,,,,,,,,,,
,,15.000004,,,,,,,,,4.000000000559112e-06,,,,,,,,,0.0005739466379970136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20.000001,,,,,,,,,1.0000000010279564e-06,,,,,,,,,0.0005731458013856497,,,,,,,,,,,,,,,,,,,Kelas : II,,,,,,,,,,,,,,,,,,,,,,,
,,25.000033000000002,,,,,,,,,3.300000000194814e-05,,,,,,,,,0.0005736358494898132,,,,,,,,,,,,,,,,,,,MPE,,,Rentang (g),,,,,Nilai Max. Koreksi (g),,,,,,,,,,,,,,,
,,29.999973,,,,,,,,,-2.6999999999333113e-05,,,,,,,,,0.0005742424745285679,,,,,,,,,,,,,,,,,,,± 0.5 e,,,0 - 5000,,,,,0.0005,,,,,,,,,,,,,,,
,,35.000005,,,,,,,,,5.000000001587068e-06,,,,,,,,,0.0005749704312221406,,,,,,,,,,,,,,,,,,,± 1 e,,,5000-20000,,,,,0.001,,,,,,,,,,,,,,,
,,40.000002,,,,,,,,,2.0000000020559128e-06,,,,,,,,,0.000573972094965808,,,,,,,,,,,,,,,,,,,± 1.5 e,,,20000-100000,,,,,0.0015,,,,,,,,,,,,,,,
,,45.000034,,,,,,,,,3.399999999942338e-05,,,,,,,,,0.0005745954084231279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50.00008,,,,,,,,,7.999999999697138e-05,,,,,,,,,0.0005733391810710938,,,,,,,,,,,,,,,,,,,Kelas : III,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPE,,,Rentang (g),,,,,Nilai Max. Koreksi (g),,,,,,,,,,,,,,,
,,4. LOADING INFLUENCE ON SEVERAL POSITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,± 0.5 e,,,,,,,,,,,,,,,,,,,,,,,
,,Weight mass,,,10,,,"g was moved to various position on the pan, the difference of balance reading at each position are given in the table below:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,± 1 e,,,,,,,,,,,,,,,,,,,,,,,
