,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2025-08-21T00:00:00,,,,OVERALL STANDAR ANAK TIMBANGAN,,,,,
,Kapasitas,:,100 mg - 200 g,,,Due Date Kalibrasi,,:,2027-08-21T00:00:00,,,,,,,,,
,Type,:,E2,,,Tertelusur,,:,LK-023-IDN,,,Kelas,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,Drift of Correction/Instability of mass,
,S/N,:,2434,,,No. Sertif,,:,2373/PKTN.4.7/08/2021,,,,g,g,g,mg,g,
,,,,,,,,,,,,E2,0.01,0.010015000000000001,1.5000000000001124e-05,0.002,8.660254037893109e-08,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,E2,0.2,0.200035,3.499999999997949e-05,0.005,4.8e-06,
,,,g,g,g,mg,,,,,,E2,0.5,0.50003,2.999999999997449e-05,0.006,3.1754264805381053e-06,
,,,0.01,0.010015000000000001,1.5000000000001124e-05,0.002,,Note,,,,E2,1,0.999993,-6.999999999979245e-06,0.007,8.660254037772925e-07,
,,,0.2,0.200035,3.499999999997949e-05,0.005,,,same as previous year,,,E2,2,2.000019,1.8999999999991246e-05,0.009,2.742413778649459e-07,
,,,0.5,0.50003,2.999999999997449e-05,0.006,,,,,,E2,2*,2.000028,2.799999999991698e-05,0.009,9.670617009124194e-07,
,,,1,0.999993,-6.999999999979245e-06,0.007,,,,,,E2,5,5.000032,3.2000000000032e-05,0.011,4.7920072343796425e-06,
,,,2,2.000019,1.8999999999991246e-05,0.009,,,,,,E2,10,9.999972,-2.800000000036107e-05,0.013,1.3250188677882312e-05,
,,,2*,2.000028,2.799999999991698e-05,0.009,,,,,,E2,20,20.000001,1.0000000010279564e-06,0.017,5.528128827481373e-06,
,,,5,5.000032,3.2000000000032e-05,0.011,,,,,,E2,20*,20.000007,7.000000000090267e-06,0.017,7.938566201313214e-06,
,,,10,9.999972,-2.800000000036107e-05,0.013,,,,,,E2,50,50.00008,7.999999999697138e-05,0.023,5.340489989853139e-06,
,,,20,20.000001,1.0000000010279564e-06,0.017,,,,,,E2,100,100.000033,3.300000000194814e-05,0.023,2.915618859430557e-05,
,,,20*,20.000007,7.000000000090267e-06,0.017,,,,,,E2,200,200.00031,0.0003100000000131331,0.07,1.4289419163286806e-05,
,,,50,50.00008,7.999999999697138e-05,0.023,,,,,,E2,200*,200.00033,0.00032999999999105967,0.07,9.670617009124193e-06,
,,,100,100.000033,3.300000000194814e-05,0.023,,,,,,E2,500,500.00124,0.001239999999995689,0.25,0,AT hilang
,,,200,200.00031,0.0003100000000131331,0.07,,,,,,F1,0.1,0.10001,9.999999999996123e-06,0.006,1.443375672973505e-06,
,,,200*,200.00033,0.00032999999999105967,0.07,,,,,,F1,1,0.999996,-4.000000000004e-06,0,4.907477288108715e-06,
,,,500,500.00124,0.001239999999995689,0.25,,,,,,F1,0.5,0.5000187,1.870000000003813e-05,0,2.8867513459670406e-06,
,,,,,,,,,,,,F1,5,5.00002,2.0000000000131024e-05,0.062,1.0680979979962673e-05,
,,,,,,,,,,,,F1,10,10.000076,7.599999999996498e-05,0.092,1.0103629710948741e-05,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-09-18T00:00:00,,,F1,20,19.99999,-9.999999999621423e-06,0.1,1.2701705922408816e-05,
,Kapasitas,:,100 mg - 500 g,,,Due Date Kalibrasi,,:,2026-09-19T00:00:00,,,F1,20*,20.00003,2.999999999886427e-05,0.1,1.4433756724066316e-06,
,Type,:,F1,,,Tertelusur,,:,LK-279-IDN,,,F1,50,50.00011,0.00010999999999938836,0.13999999999999999,4.04145188417438e-05,
,S/N,:,113106,,,No. Sertif,,:,,,,F1,100,100.00048,0.00047999999999603915,0.21000000000000002,2.5980762113575168e-05,
,,,,,,,,,,,,F1,200,200.00041,0.00040999999998803105,0.39,2.742413778700738e-05,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,F1,200*,200.00047,0.00047000000000707587,0.39,0.00012990381056787585,
,,,g,g,g,g,,,,,,F1,500,500.0011,0.0011000000000080945,1.5,0.00012990381056787585,
,,,,,,,,,,,,F1,10000,10000.007,0.006999999999607098,15,0.0023094010767038932,
,,,0.1,0.10001,9.999999999996123e-06,6e-06,,,,,,F21,1000,1000.003,0.0030000000000427463,6,5.7735026920879184e-05,
,,,0.2,0.2000183,1.8299999999998873e-05,,*on revision / TBD,,,,,F22,2000,2000.004,0.0039999999999054126,12,0.0004185789451558625,
,,,0.5,0.5000187,1.870000000003813e-05,,,,,,,F25,5000,5000.01,0.010000000000218279,32,0.0014433756730055703,
,,,5,5.00002,2.0000000000131024e-05,6.2e-05,,,,,,M2 A,20000,19999.7,-0.2999999999992724,600,3.4707411432332127,
