PT. SIDIK,,,"KALIBRASI MASSA/TIMBANGAN
(SATUAN : ""Kilogram"")",,,,,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,,,,,,,,,,
,Range CMC AT,,:,G,*This type is automaticly filled by max. Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tipe Timbangan,,:,,,,,,,,,,,,,,Certificate Number :,,,011-CAL-525,,,,,Data Choosen From Combobox,,,,,,,,,,
,Tipe Display,,:,1,,,,,,,,,,,,,Order Number        :,,,2505.03.A ,,,,,(DON'T ERASE),,,,,,,,,,
,Jenis Timbangan,,:,3,,,,,,"Note: 
- Bertingkat (Dalam rentang tertentu, resolusi alat berubah)
- Tak Bertingkat (Resolusi tetap dalam seluruh rentang pengukuran)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Timbangan ,,,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,Technician ID,,:,CA,,,,,,,
,Merk,,:,Bestar,,,,,,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0505-Rev.7,,,,,,,
,Type,,:,-,,,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,Calculated by,,:,DR,,,,,,,
,No. Seri,,:,TB-100,,,,,,,,,,,,,,,,,,,,,Signed by,,:,Alex Misramto,,,,,,,
,Rentang Ukur,,:,100,,,,kg,,,,,,,,,,,,,,,,,Position,,:,Technical Manager,,,,,,,
,Kapasitas Alat,,:,100,,,,kg,,,,,,Tanggal Terima ,,,:,2025-05-02T00:00:00,,,,,,,Thermohygro,,:,TH-2,,,,,,,
,Resolusi Alat,,:,0.02,,,,kg,,,,,,Tanggal Kalibrasi,,,:,2025-05-02T00:00:00,,,,,,,Tipe Timb.,,:,Non Analytical,,,,,,,
,Nilai e,,:,-,,,kg,Kelas  :,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"*Jika e tidak ada, tulis -",,,,,"*Note: Isi kelas= I , II , III , IIII
jika kelas tidak ada, tulis -",,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,,,PENGERJAAN,,,,,,,,,,,Tipe Display,,:,Digital,,,,,,,
