,IDENTITAS ALAT,,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Timbangan ,,,,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,
,Merk,,:,Bestar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,-,,,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,
,No. Seri,,:,TB-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,100,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,100,,,,kg,,,,,,Tanggal Terima ,,,:,2025-05-02T00:00:00,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.02,,,,kg,,,,,,Tanggal Kalibrasi,,,:,2025-05-02T00:00:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,26.1,26,26.05,29.81,-0.23,oC,,0.10000000000000142,-0.23,1.7,±,1.70293863659264,oC,,,,,,,,,,,,,,,,,,,,
,Kelembaban,,:,53,52,52.5,49,-1,%RH,,1,-1,4.8,±,4.903060268852505,%RH,,,,,,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. SCALL OBSERVATION (SO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Position,,Standar Weight (M),,The Reading (Z),,,,Average (Z dan M),,,,Deviation (ri),,Correction (C),,,,,,,,,,,,,,,,,,,,,
,,,kg,,kg,,,,kg,,,,kg,,kg,,,,,,,,,,,,,,,,,,,,,
,,,,,z1,=,0,,,,0,,20,,20,,,,,,,,,,,,,,,,,,,,,
,Before,,20,,m1,=,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adjustment,,20,,m2,=,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z2,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z'1,=,0,,,,0,,20,,20,,,,,,,,,,,,,,,,,,,,,
,After,,20,,m1',=,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adjustment,,20,,m2',=,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z2',=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standar Deviasi tahun yang lalu (s)          =,,,,0,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV that last year,,=,0,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Because the semi-range, so the degrees of freedom is (Vi)",,,,,=,Unlimited or 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. EFFECT OF TARE (ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standar Weight,,The Reading,,Deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kg,,kg,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,m1=,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,m2=,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. ACCURACY (AC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nominal,,Weight Standart (M),,,,Total Weight,,,Reading,,,Average,,,Deviation,Correction,,Abs Correction,Stdev 1 cycle,Uncertainty,,,,,,,,,,,,,,,
,,,Conventional Number (CN),,Uncertainty,,"""CN""",,,,,,,,,(ri),(C),,,Sr,of Correction,,,,,,,,,,,,,,,
,,,kg,,g,,,kg,,kg,,,kg,,,kg,kg,,kg,kg,kg,,,,,,,,,,,,,,,
,1,,2,,3,,4,,,5,,,6,,,7,8,,9,10,11,,,,,,,,,,,,,,,
,10,,10.000007,,0.015,,10.000007,,,z1,=,0,z1,=,0,10,7.000000000090267e-06,,7.000000000090267e-06,0,0.019669016855216846,,,,,,,,,,,,,,,
,,,,,,,,,,m1,=,10,m1,=,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m1',=,10,,,,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,19.9997,,,z2,=,0,z1,=,0,20,-0.0002999999999993008,,0.0002999999999993008,0,0.020824835413955717,,,,,,,,,,,,,,,
,,,,,,,,,,m2,=,20,m1,=,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m2',=,20,,,,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,29.999707,,,z3,=,0,z1,=,0,30,-0.00029299999999921056,,0.00029299999999921056,0,0.020825256821814537,,,,,,,,,,,,,,,
,10,,10.000007,,0.015,,,,,m3,=,30,m1,=,30,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m3',=,30,,,,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,39.9994,,,z4,=,0,z1,=,0,40.02,-0.020600000000001728,,0.020600000000001728,0,0.021934729675754047,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m4,=,40.02,m1,=,40.02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m4',=,40.02,,,,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,49.999407000000005,,,z5,=,0,z1,=,0,50.02,-0.020592999999998085,,0.020592999999998085,0,0.02193552455301858,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m5,=,50.02,m1,=,50.02,,,,,,,,,,,,,,,,,,,,,
,10,,10.000007,,0.015,,,,,m5',=,50.02,,,,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,59.9991,,,z6,=,0,z1,=,0,60.02,-0.02090000000000458,,0.02090000000000458,0,0.023005553876328497,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m6,=,60.02,m1,=,60.02,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m6',=,60.02,,,,,,,,,,,,,,,,,,,,,,,,
,20,10,19.9997,10.000007,0.6,0.015,69.99910700000001,,,z7,=,0,z1,=,0,70.02,-0.020892999999986728,,0.020892999999986728,0,0.02300667212979787,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m7,=,70.02,m1,=,70.02,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m7',=,70.02,,,,,,,,,,,,,,,,,,,,,,,,
,20,20,19.9997,19.9997,0.6,0.6,79.9988,,,z8,=,0,z1,=,0,80.04,-0.041200000000003456,,0.041200000000003456,0,0.024042658232300416,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m8,=,80.04,m1,=,80.04,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m8',=,80.04,,,,,,,,,,,,,,,,,,,,,,,,
,10,20,10.000007,19.9997,0.015,0.6,89.99880700000001,,,z9,=,0,z1,=,0,90.04,-0.04119299999999271,,0.04119299999999271,0,0.024044086689306306,,,,,,,,,,,,,,,
,20,20,19.9997,19.9997,0.6,0.6,,,,m9,=,90.04,m1,=,90.04,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m9',=,90.04,,,,,,,,,,,,,,,,,,,,,,,,
,20,20,19.9997,19.9997,0.6,0.6,99.9985,,,z10,=,0,z1,=,0,100.02,-0.021499999999988972,,0.021499999999988972,0,0.02505033201863158,,,,,,,,,,,,,,,
,20,20,19.9997,19.9997,0.6,0.6,,,,m10,=,100.02,m1,=,100.02,,,,,,,,,,,,,,,,,,,,,
,20,,19.9997,,0.6,,,,,m10',=,100.02,,,,,,,,,,,,,,,,,,,,,,,,
,MAXIMUM AT USED:,,20,,,,,,,z11,=,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Correction  =,,-0.041200000000003456,kg,", the absolute value of min. correction is:",,,0.041200000000003456,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximum Correction =,,7.000000000090267e-06,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Formula :,,,1.5,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0015,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum uncertainty from the all weight standard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximum correction is =,,0.041200000000003456,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. REPEATABILITY (RPT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,Middle Capacity,,,Miximum Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zero (kg),Reading (kg),Deviation (kg),Zero (kg),Reading (kg),Deviation (kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(zi),(mi),,(zi),(mi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,50.02,50.02,0,100.02,100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0,50.02,50.02,0,100.02,100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,50.02,50.02,0,100.02,100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,0,50.04,50.04,0,100.02,100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0,50.02,50.02,0,100.02,100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0,50.02,50.02,0,100.02,100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0,50.02,50.02,0,100.02,100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0,50.02,50.02,0,100.04,100.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0,50.02,50.02,0,100.02,100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0,50.02,50.02,0,100.02,100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV (kg),,,0.0063245553203355,,,0.006324555320339994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maxmimum deviations with the next reading (kg),,,0.01999999999999602,,,0.020000000000010232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximun STDEV (kg),,,,,,0.006324555320339994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uncertainty of Repeatability,,,=,STDEV Max,,0.006324555320339994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,        √n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*) The degrees of freedom = n - 1,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*) Taken from the total repeat of reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"*) Repeat, n = 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Assumed the influence of bouyant force is 1 ppm, rectangular distribution and then : ",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Uby =,1 ppm x nominal standard weight,,,(kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,√3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The degrees of freedom is unlimited (Vi) =,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uncertainty of drift standard weight (kg),,,Ud = ,d,,8.660254037844388e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,√3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. LOADING INFLUENCE ON EACH POSITION (LP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The standard weight 1 kg, it placed on pan at several positions and then in tare.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
