,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2025-08-21T00:00:00,,,,OVERALL STANDAR ANAK TIMBANGAN,,,,,
,Kapasitas,:,100 mg - 200 gr,,,Due Date Kalibrasi,,:,2027-08-21T00:00:00,,,,,,,,,
,Type,:,E2,,,Tertelusur,,:,LK-023-IDN,,,Kelas,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,Drift of Correction/Instability of mass,
,S/N,:,2434,,,No. Sertif,,:,2373/PKTN.4.7/08/2021,,,,kg,kg,kg,g,kg,
,,,,,,,,,,,,E2,1e-05,1.0015000000000002e-05,1.5000000000001124e-08,2e-06,8.660254037893109e-11,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,E2,0.0002,0.000200035,3.4999999999979495e-08,5e-06,4.8e-09,
,,,gr,gr,gr,mg,,,,,,E2,0.0005,0.0005000299999999999,2.9999999999974494e-08,6e-06,3.175426480538105e-09,
,,,0.01,0.010015000000000001,1.5000000000001124e-05,0.002,,Note,,,,E2,0.001,0.000999993,-6.999999999979245e-09,7e-06,8.660254037772925e-10,
,,,0.2,0.200035,3.499999999997949e-05,0.005,,,same as prev. year,,,E2,0.002,0.002000019,1.8999999999991247e-08,8.999999999999999e-06,2.742413778649459e-10,
,,,0.5,0.50003,2.999999999997449e-05,0.006,,,,,,E2,0.002*,0.002000028,2.799999999991698e-08,8.999999999999999e-06,9.670617009124194e-10,
,,,1,0.999993,-6.999999999979245e-06,0.007,,"E2 are not used due to in ""kg"", the scales use AT F1 or below",,,,E2,0.005,0.005000032,3.2000000000032004e-08,1.1e-05,4.792007234379643e-09,
,,,2,2.000019,1.8999999999991246e-05,0.009,,,,,,E2,0.01,0.009999972,-2.800000000036107e-08,1.3e-05,1.3250188677882312e-08,
,,,2*,2.000028,2.799999999991698e-05,0.009,,,,,,E2,0.02,0.020000001,1.0000000010279564e-09,1.7e-05,5.528128827481373e-09,
,,,5,5.000032,3.2000000000032e-05,0.011,,,,,,E2,0.02*,0.020000007,7.0000000000902676e-09,1.7e-05,7.938566201313214e-09,
,,,10,9.999972,-2.800000000036107e-05,0.013,,,,,,E2,0.05,0.050000079999999995,7.999999999697138e-08,2.3e-05,5.340489989853139e-09,
,,,20,20.000001,1.0000000010279564e-06,0.017,,,,,,E2,0.1,0.1000004,3.9999999999906777e-07,3.5000000000000004e-05,2.915618859430557e-08,
,,,20*,20.000007,7.000000000090267e-06,0.017,,,,,,E2,0.2,0.20000031000000001,3.100000000131331e-07,7.000000000000001e-05,1.4289419163286806e-08,
,,,50,50.00008,7.999999999697138e-05,0.023,,,,,,E2,0.2*,0.20000033,3.299999999910597e-07,7.000000000000001e-05,9.670617009124194e-09,
,,,100,100.0004,0.00039999999999906777,0.035,,,,,,E2,0.5,0.50000124,1.239999999995689e-06,0.00025,0,AT hilang
,,,200,200.00031,0.0003100000000131331,0.07,,,,,,F1,0.0001,0.00010001,9.999999999996122e-09,6e-09,1.443375672973505e-09,
,,,200*,200.00033,0.00032999999999105967,0.07,,,,,,F1,0.001,0.000999996,-4.0000000000040005e-09,3.8e-08,4.907477288108715e-09,
,,,500,500.00124,0.001239999999995689,0.25,,,,,,F1,0.0005,0.0005000187,1.8700000000038132e-08,0,2.8867513459670406e-09,
,,,,,,,,,,,,F1,0.005,0.00500002,2.0000000000131023e-08,6.2e-08,1.0680979979962673e-08,
,,,,,,,,,,,,F1,0.01,0.010000076,7.599999999996499e-08,9.2e-08,1.0103629710948741e-08,
