PT. SIDIK,,,"KALIBRASI MASSA/TIMBANGAN
(METODE SUBTITUSI - SATUAN : ""Kilogram"")",,,,,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,,,,,,,,,
,Range CMC AT,,:,Q,*This type is automaticly filled by max. Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tipe Timbangan,,:,,,,,,,,,,,,,,Certificate Number :,,,0136-CAL-123,,,,,,Data Choosen From Combobox,,,,,,,,,,
,Tipe Display,,:,1,,,,,,,,,,,,,Order Number        :,,,2301.10. A,,,,,,(DON'T ERASE),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Timbangan Elektronik,,,,,,,,,,Nama Custromer,,,:,PT. SISTEM DIRGANTARA INOVASI TEKNOLOGI (SIDIK),,,,,,,,Technician ID,,:,DR,,,,,,,
,Merk,,:,Dini Argeo,,,,,,,,,,,,,,,,,,,,,,Calibration Method,,:,SIDIK-IK-CAL-0505-Rev.7,,,,,,,
,Type,,:,DFWLB-3,,,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,Calculated by,,:,AM,,,,,,,
,No. Seri,,:,0792531584,,,,,,,,,,,,,,,,,,,,,,Signed by,,:,Alex Misramto,,,,,,,
,Rentang Ukur,,:,2000,,,,kg,,,,,,,,,,,,,,,,,,Position,,:,Technical Manager,,,,,,,
,Kapasitas Alat,,:,2000,,,,kg,,,,,,Tanggal Terima ,,,:,2023-01-12T00:00:00,,,,,,,,Thermohygro,,:,TH-2,,,,,,,
,Resolusi Alat,,:,0.1,,,,kg,,,,,,Tanggal Kalibrasi,,,:,2023-01-12T00:00:00,,,,,,,,Tipe Timb.,,:,Non Analytical,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,,,PENGERJAAN,,,,,,,,,,,,Tipe Display,,:,Digital,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,,,,Average,,,,,Lokasi Kalibrasi,,,:,,,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,24,24.7,,,,24.35,oC,,,,Technician ID,,,:,5,,,,,,,,Standar AT,,,,,,,,,,
,Kelembaban,,:,55,51,,,,53,%RH,,,,Calibration Method,,,:,5,,,,,,,,AT1,False,:,,,,,,,,
,Thermohygro Used,,:,2,,,,,,,,,,Standar Anak Timbangan,,,:,,,,,EXPIRED,,,,AT2,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,,AT3,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,,AT4,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,,AT5,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,,AT6,True,:,Anak Timbangan M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,,AT 7,False,:,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,VALID,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALIBRATION RESULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. SCALL OBSERVATION,,,,,,,,,2. EFFECT OF TARE,,,,,,,,3. ACCURACY,,,,,,,,,,,,,,,,,,
,Position,,Standar Weight,,The Reading,,,,,Standar Weight,,The Reading,,,,,,Nominal,,The Reading,,,,,,,,,,,,,,,,
,,,kg,,kg,,,,,kg,,kg,,,,,,kg,,kg,,,,,,,,,,,,,,,,
,,,,,z1,=,0.01,,,200,,m1,=,200,,,Mref,200,,z1,=,0,,,,,,,,,,,,,,
,Before,,200,,m1,=,200,,,,,m2,=,200,,,,,,M1,=,200,,,,,,,,,,,,,,
,Adjustment,,,,m2,=,200,,,,,,,,,,,,,M1',=,200,,,,,,,,,,,,,,
,,,,,z2,=,0.01,,,,,,,,,,,,,z1',=,0,,,,,,,,,,,,,,
,,,,,,,,,,Bentuk Pan,,,:,Kotak,,,Mref,200,,z2,=,204.1,,,,,,,,,,,,,,
,,,,,z'1,=,0.01,,,Diameter Pan (Lingkaran),,,:,,,,Lsub1,204.1,,M2,=,402.59999999999997,,,,,,,,,,,,,,
,After,,,,m1',=,,,,Ukuran Permukaan Pan (Selain Lingkaran),,,:,,,,,,,M2',=,402.59999999999997,,,,,,,,,,,,,,
,Adjustment,,,,m2',=,,,,,,,,,,,,,,z2',=,204.1,,,,,,,,,,,,,,
,,,,,z2',=,0.01,,,,,,,,,,Mref,200,,z3,=,401.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lsub2,401.7,,M3,=,600.8,,,,,,,,,,,,,,
,Standar Deviasi tahun yang lalu (s)          =,,,,,,kg,,,,,,,,,,,,,M3',=,600.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,z3',=,401.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Mref,200,,z4,=,602.1,,,,,,,,,,,,,,
,4. REPEATABILITY,,,,,,,,,,,,,,,,Lsub3,602.1,,M4,=,800.4,,,,,,,,,,,,,,
,No.,Middle Capacity,,,Maximum Capacity,,,,,,,,,,,,,,,M4',=,800.4,,,,,,,,,,,,,,
,,1000,,,2000,,,,,,,,,,,,,,,z4',=,602.1,,,,,,,,,,,,,,
,,Zero (kg),Reading (kg),,Zero (kg),,,Reading (kg),,,,,,,,,Mref,200,,z5,=,801.9,,,,,,,,,,,,,,
,,(zi),(mi) ,,(zi),,,(mi) ,,,,,,,,,Lsub4,801.9,,M5,=,1000.4,,,,,,,,,,,,,,
,,1,2,,1,,,2,,,,,,,,,,,,M5',=,1000.4,,,,,,,,,,,,,,
,1,0,1000.4,,0,,,2001.1,,,,,,,,,,,,z5',=,802,,,,,,,,,,,,,,
,2,0,1000.4,,0,,,2001,,,,,,,,,Mref,200,,z6,=,1002.6,,,,,,,,,,,,,,
,3,0,1000.4,,0,,,2001,,,,,,,,,Lsub5,1002.6,,M6,=,1201,,,,,,,,,,,,,,
,4,0,1000.4,,0,,,2001,,,,,,,,,,,,M6',=,1201,,,,,,,,,,,,,,
,5,0,1000.4,,0,,,2001,,,,,,,,,,,,z6',=,1002.6,,,,,,,,,,,,,,
,6,0,1000.4,,0,,,2001,,,,,,,,,Mref,200,,z7,=,1201.9,,,,,,,,,,,,,,
,7,0,1000.4,,0,,,2001,,,,,,,,,Lsub6,1201.9,,M7,=,1400.4,,,,,,,,,,,,,,
,8,0,1000.4,,0,,,2001,,,,,,,,,,,,M7',=,1400.4,,,,,,,,,,,,,,
,9,0,1000.4,,0,,,2001,,,,,,,,,,,,z7',=,1202,,,,,,,,,,,,,,
,10,0,1000.4,,0,,,2001,,,,,,,,,Mref,200,,z8,=,1401.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lsub7,1401.4,,M8,=,1600,,,,,,,,,,,,,,
,5. LOADING INFLUENCE ON EACH POSITION,,,,,,,200,kg,,,,,,,,,,,M8',=,1600,,,,,,,,,,,,,,
,Position,Center,Front,,Back,,,Left,Right,,,,,,,,,,,z8',=,1401.4,,,,,,,,,,,,,,
,Reading,200,200.1,,199.9,,,200,200.1,,,,,,,,Mref,200,,z9,=,1602.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lsub8,1602.2,,M9,=,1800.7,,,,,,,,,,,,,,
,6. HYSTERISIS,,,,,,,,,,,,,,,,,,,M9',=,1800.6000000000001,,,,,,,,,,,,,,
,Standar Weight (g),,Reading 1 (g),,,,,Reading 2 (g),,,,,,,,,,,,z9',=,1602.3000000000002,,,,,,,,,,,,,,
,M =,200,M(p1),=,200,,,M(p3),=,200,,,,,,,Mref,200,,z10,=,1802.5,,,,,,,,,,,,,,
,M' =,200,M+M',=,400,,,M+M',=,400,,,,,,,Lsub9,1802.5,,M10,=,2001,,,,,,,,,,,,,,
,,,M(q1),=,200,,,M(q3),=,200,,,,,,,,,,M11',=,2001.1000000000001,,,,,,,,,,,,,,
,,,Zero,=,0,,,Zero,=,0.02,,,,,,,,,,z10',=,1802.5,,,,,,,,,,,,,,
,,,M+M',=,400,,,M+M',=,400,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M(q2),=,200,,,M(q4),=,200,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zero,=,0.02,,,Zero,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M(p2),=,200,,,M(p4),=,200,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. DRIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drift Massa Standar (d) =,,,0.000674048345586123,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,:,2023-01-16T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,:,1,Name,,,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
