,IDENTITAS ALAT,,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Timbangan Elektronik,,,,,,,,,,Nama Custromer,,,:,PT. SISTEM DIRGANTARA INOVASI TEKNOLOGI (SIDIK),,,,,,,,,,,,,,,,,,
,Merk,,:,Dini Argeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,DFWLB-3,,,,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,
,No. Seri,,:,0792531584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,2000,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,2000,,,,kg,,,,,,Tanggal Terima ,,,:,2023-01-12T00:00:00,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.1,,,,kg,,,,,,Tanggal Kalibrasi,,,:,2023-01-12T00:00:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,24,24.7,24.35,19.77,-0.39,oC,,0.6999999999999993,-0.39,1.7,±,1.8384776310850233,oC,,,,,,,,,,,,,,,,,,,,
,Kelembaban,,:,55,51,53,49,-1,%RH,,4,-1,4.8,±,6.248199740725323,%RH,,,,,,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. SCALL OBSERVATION (SO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Position,,Standar Weight (M),,The Reading (Z),,,,Average (Z dan M),,,,Deviation (ri),,Correction (C),,,,,,,,,,,,,,,,,,,,,
,,,kg,,kg,,,,kg,,,,kg,,kg,,,,,,,,,,,,,,,,,,,,,
,,,,,z1,=,0.01,,,,0.01,,199.99,,0.009999999999990905,,,,,,,,,,,,,,,,,,,,,
,Before,,200,,m1,=,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adjustment,,0,,m2,=,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z2,=,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z'1,=,0.01,,,,0.01,,-0.01,,0.01,,,,,,,,,,,,,,,,,,,,,
,After,,0,,m1',=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adjustment,,0,,m2',=,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z2',=,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standar Deviasi tahun yang lalu (s)          =,,,,0,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV that last year,,=,0,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Because the semi-range, so the degrees of freedom is (Vi)",,,,,=,Unlimited or 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. EFFECT OF TARE (ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standar Weight,,The Reading,,Deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kg,,kg,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,,m1=,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,m2=,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. ACCURACY (AC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nominal,,Weight Standart (M),,,,Total Weight,,,Reading,,,Average,,,Difference,Additional Correction [ΔI],,Cummulative Correction [Cn],Abs Correction,Stdev 1 cycle,Uncertainty,,,,,,,,,,,,,,
,,,Conventional Number (CN),,Uncertainty,,"""CN+Lsubn""",,,,,,,,,mi-zi,CN-(mi-zi),,(Ci-1)+(M-(mi-zi)),,Sr,of Correction,,,,,,,,,,,,,,
,,,kg,,gr,,,kg,,kg,,,kg,,,kg,kg,,kg,kg,kg,kg,,,,,,,,,,,,,,
,1,,2,,3,,4,,,5,,,6,,,7,8,,9,10,11,12,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,200.00590000000003,,,z1,=,0,z1,=,0,200,0.005900000000025329,,0.005900000000025329,0.005900000000025329,0,0.2801430280807659,,,,,,,,,,,,,,
,,,,,,,,,,m1,=,200,m1,=,200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m1',,200,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z1',=,0,,,,,,,,,,,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,404.1059,,,z2,=,204.1,z1,=,204.1,198.49999999999997,1.5059000000000538,,1.511800000000079,1.511800000000079,0,0.2801430280807659,,,,,,,,,,,,,,
Lsub1,204.1,,204.1,,,,,,,m2,=,402.59999999999997,m1,=,402.59999999999997,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m2',,402.59999999999997,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z2',=,204.1,,,,,,,,,,,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,601.7059,,,z3,=,401.7,z1,=,401.7,199.09999999999997,0.9059000000000594,,2.4177000000001385,2.4177000000001385,0,0.2801430280807659,,,,,,,,,,,,,,
Lsub2,401.7,,401.7,,,,,,,m3,=,600.8,m1,=,600.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m3',,600.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z3',=,401.7,,,,,,,,,,,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,802.1059,,,z4,=,602.1,z1,=,602.1,198.29999999999995,1.7059000000000708,,4.123600000000209,4.123600000000209,0,0.2801430280807659,,,,,,,,,,,,,,
Lsub3,602.1,,602.1,,,,,,,m4,=,800.4,m1,=,800.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m4',,800.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z4',=,602.1,,,,,,,,,,,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,1001.9059,,,z5,=,801.9,z1,=,801.95,198.44999999999993,1.5559000000000935,,5.679500000000303,5.679500000000303,0,0.2801430280807659,,,,,,,,,,,,,,
Lsub4,801.9,,801.9,,,,,,,m5,=,1000.4,m1,=,1000.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m5',,1000.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z5',=,802,,,,,,,,,,,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,1202.6059,,,z6,=,1002.6,z1,=,1002.6,198.39999999999998,1.605900000000048,,7.285400000000351,7.285400000000351,0,0.2801430280807659,,,,,,,,,,,,,,
Lsub5,1002.6,,1002.6,,,,,,,m6,=,1201,m1,=,1201,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m6',,1201,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z6',=,1002.6,,,,,,,,,,,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,1401.9059000000002,,,z7,=,1201.9,z1,=,1201.95,198.45000000000005,1.5558999999999799,,8.84130000000033,8.84130000000033,0,0.2801430280807659,,,,,,,,,,,,,,
Lsub6,1201.9,,1201.9,,,,,,,m7,=,1400.4,m1,=,1400.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m7',,1400.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z7',=,1202,,,,,,,,,,,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,1601.4059000000002,,,z8,=,1401.4,z1,=,1401.4,198.5999999999999,1.4059000000001163,,10.247200000000447,10.247200000000447,0,0.2801430280807659,,,,,,,,,,,,,,
Lsub7,1401.4,,1401.4,,,,,,,m8,=,1600,m1,=,1600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m8',,1600,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z8',=,1401.4,,,,,,,,,,,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,1802.2059000000002,,,z9,=,1602.2,z1,=,1602.25,198.4000000000001,1.6058999999999344,,11.853100000000381,11.853100000000381,0.07071067811859044,0.27978183801454737,,,,,,,,,,,,,,
Lsub8,1602.2,,1602.2,,,,,,,m9,=,1800.7,m1,=,1800.65,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m9',,1800.6000000000001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z9',=,1602.3000000000002,,,,,,,,,,,,,,,,,,,,,,,,
Mref,200,,200.00590000000003,,13.480966911722458,,2002.5059,,,z10,=,1802.5,z1,=,1802.5,198.55000000000018,1.4558999999998434,,13.309000000000225,13.309000000000225,0.07071067811875122,0.2801430280807659,,,,,,,,,,,,,,
Lsub9,1802.5,,1802.5,,,,,,,m10,=,2001,m1,=,2001.0500000000002,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,m10',,2001.1000000000001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z10',=,1802.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Correction  =,,0,kg,", the absolute value of min. correction is:",,,0,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximum Correction =,,13.309000000000225,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Formula :,,,6.740483455861229,gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.006740483455861229,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maximum uncertainty from the all weight standard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximum correction is =,,13.309000000000225,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. REPEATABILITY (RPT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,Middle Capacity,,,Miximum Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1000,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zero (kg),Reading (kg),Deviation (kg),Zero (kg),Reading (kg),Deviation (kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(zi),(mi),(ri),(zi),(mi),(ri),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,1000.4,0.39999999999997726,0,2001.1,1.099999999999909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0,1000.4,0.39999999999997726,0,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,1000.4,0.39999999999997726,0,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,0,1000.4,0.39999999999997726,0,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0,1000.4,0.39999999999997726,0,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0,1000.4,0.39999999999997726,0,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0,1000.4,0.39999999999997726,0,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0,1000.4,0.39999999999997726,0,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0,1000.4,0.39999999999997726,0,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0,1000.4,0.39999999999997726,0,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV (kg),,,1.198364490607514e-13,,,0.03162277660165503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maxmimum deviations with the next reading (kg),,,0,,,0.09999999999990905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximun STDEV (kg),,,,,,0.03162277660165503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uncertainty of Repeatability,,,=,STDEV Max,,0.03162277660165503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
