PERHITUNGAN U95%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Resolution Value :,,,,Divisor for Resolution:,,,,"Jika standar deviasi =0 (timbangan kasar) , maka STDEV (Sres) = 0.82 X a",,,,,,,,Index AT used :,,20,,,,
,Digital,,:,0.05,,1.7320508075688772,,,a :,0.05,(jika digital),,→,0.041,,,Max AT used :,,M2 20kg,,,,
,Mekanik,,:,0.01,,2.449489742783178,,,a :,0.01,(jika mekanik),,→,0.008199999999999999,,,,,,,,,
,,,,,,,Middle,Maximum,Sres MID :,0.03162277660165503,→,U Mid=,0.03162277660165503,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,,,
,,,,,,S,0.03162277660165503,0,Sres MAX :,0.041,→,U Max=,0.050000000000068205,,"Sr>Sres , standard uncertainty U= Sr/√n",,,,,,,,
,,,,,,Sr,0,0.07071067811875122,,,,,,,"Sr=Sres, standartd uncertainty U=Sr",,,,,,,,
,,,,,,Note:,,,,,,,,,,,,,,,,,
,,,,,,S: stdev on n-repeat measurement,,,,,,,,,,,,,,,,,
,,,,,,Sr: stdev 1 cycle accuration measurement,,,,,,,,,,,,,,,,,
,Point 1,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Resolution,,,,,kg,Rectangular,,0.05,1.7320508075688772,,50,,0.02886751345948129,,1,0.0008333333333333335,,1.3888888888888894e-08,,,,
,Eccentricity,,,,,kg,Rectangular,,0.09999999999999432,Ö3,,50,,0.0577350269189593,,1,0.003333333333332955,,2.222222222221718e-07,,,,
,Uncertainty of Correction - Point 1,,,,,kg,Rectangular,,0.2801430280807659,Ö3,,50,,0.1617406526740271,,1,0.02616003872742027,,1.3686952524402567e-05,,,,
,Total,,,,,,,,,,,,,,,,0.030326705394086557,,1.3923063635513627e-05,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.17414564420072803,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,66.05651486888364,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.996564418952312,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.34769299692670264,,,,,,
,CMC,,,,,,,,,,,,,,,,0.52,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.52,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
,Point 2,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Resolution,,,,,kg,Rectangular,,0.05,1.7320508075688772,,50,,0.02886751345948129,,1,0.0008333333333333335,,1.3888888888888894e-08,,,,
,Eccentricity,,,,,kg,Rectangular,,0.09999999999999432,Ö3,,50,,0.0577350269189593,,1,0.003333333333332955,,2.222222222221718e-07,,,,
,Uncertainty of Correction - Point 2,,,,,kg,Rectangular,,0.2801430280807659,Ö3,,50,,0.1617406526740271,,1,0.02616003872742027,,1.3686952524402567e-05,,,,
,Total,,,,,,,,,,,,,,,,0.030326705394086557,,1.3923063635513627e-05,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.17414564420072803,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,66.05651486888364,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.996564418952312,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.34769299692670264,,,,,,
,CMC,,,,,,,,,,,,,,,,0.52,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.52,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
,Point 3,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Resolution,,,,,kg,Rectangular,,0.05,1.7320508075688772,,50,,0.02886751345948129,,1,0.0008333333333333335,,1.3888888888888894e-08,,,,
,Eccentricity,,,,,kg,Rectangular,,0.09999999999999432,Ö3,,50,,0.0577350269189593,,1,0.003333333333332955,,2.222222222221718e-07,,,,
,Uncertainty of Correction - Point 3,,,,,kg,Rectangular,,0.2801430280807659,Ö3,,50,,0.1617406526740271,,1,0.02616003872742027,,1.3686952524402567e-05,,,,
,Total,,,,,,,,,,,,,,,,0.030326705394086557,,1.3923063635513627e-05,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.17414564420072803,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,66.05651486888364,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.996564418952312,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.34769299692670264,,,,,,
,CMC,,,,,,,,,,,,,,,,0.52,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.52,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
,Point 4,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Resolution,,,,,kg,Rectangular,,0.05,1.7320508075688772,,50,,0.02886751345948129,,1,0.0008333333333333335,,1.3888888888888894e-08,,,,
,Eccentricity,,,,,kg,Rectangular,,0.09999999999999432,Ö3,,50,,0.0577350269189593,,1,0.003333333333332955,,2.222222222221718e-07,,,,
,Uncertainty of Correction - Point 4,,,,,kg,Rectangular,,0.2801430280807659,Ö3,,50,,0.1617406526740271,,1,0.02616003872742027,,1.3686952524402567e-05,,,,
,Total,,,,,,,,,,,,,,,,0.030326705394086557,,1.3923063635513627e-05,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.17414564420072803,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,66.05651486888364,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.996564418952312,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.34769299692670264,,,,,,
,CMC,,,,,,,,,,,,,,,,0.52,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.52,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
,Point 5,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Resolution,,,,,kg,Rectangular,,0.05,1.7320508075688772,,50,,0.02886751345948129,,1,0.0008333333333333335,,1.3888888888888894e-08,,,,
,Eccentricity,,,,,kg,Rectangular,,0.09999999999999432,Ö3,,50,,0.0577350269189593,,1,0.003333333333332955,,2.222222222221718e-07,,,,
,Uncertainty of Correction - Point 5,,,,,kg,Rectangular,,0.2801430280807659,Ö3,,50,,0.1617406526740271,,1,0.02616003872742027,,1.3686952524402567e-05,,,,
,Total,,,,,,,,,,,,,,,,0.030326705394086557,,1.3923063635513627e-05,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.17414564420072803,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,66.05651486888364,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.996564418952312,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.34769299692670264,,,,,,
,CMC,,,,,,,,,,,,,,,,0.52,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.52,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
,Point 6,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Resolution,,,,,kg,Rectangular,,0.05,1.7320508075688772,,50,,0.02886751345948129,,1,0.0008333333333333335,,1.3888888888888894e-08,,,,
,Eccentricity,,,,,kg,Rectangular,,0.09999999999999432,Ö3,,50,,0.0577350269189593,,1,0.003333333333332955,,2.222222222221718e-07,,,,
