,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                   :,,Dimensi,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran       :,,Micrometer,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Micrometer,2022-07-07T00:00:00,"- Creating All Sheets
",HN,,NR,,AM,,"Update IK order number based on DID on database, adding TH-3 s/d 7,
",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,Technical Manager,,,,,,,,,,,,,
,,,,,Date:,2022-07-07T00:00:00,Date:,2022-07-07T00:00:00,Date:,2022-07-09T00:00:00,,,,,,,,,,,,,
,2,Master Olah Data_Micrometer,2022-10-25T00:00:00,Update TH-1 - TH-7 & Calibration Methode,HN,,NR,,AM,,Revisi perhitungan koef. Sensitifitas,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,Technical Manager,,,,,,,,,,,,,
,,,,,Date:,2022-10-25T00:00:00,Date:,2022-10-27T00:00:00,Date:,2022-10-29T00:00:00,,,,,,,,,,,,,
,3,Master Olah Data_Micrometer,2022-12-08T00:00:00,"Revisi perhitungan Koef sensitifiatas untuk (Perubahan suhu terhadap suhu acuan 200c, Selisih suhu mikrometer dengan balok ukur, Koefisien muai thermal)",HN,,NR,,AM,,Update latest survaylen 2022 revision result,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,Technical Manager,,,,,,,,,,,,,
,,,,,Date:,2022-12-08T00:00:00,Date:,2022-12-10T00:00:00,Date:,2022-12-12T00:00:00,,,,,,,,,,,,,
,4,Master Olah Data_Micrometer 25-50mm,2023-03-20T00:00:00,"-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Adding calibrator status monitoring on ""Input Data"" sheets",HN,,NR,,,,Update std gauge block 200mm,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-03-20T00:00:00,Date:,2023-03-20T00:00:00,Date:,,,,,,,,,,,,,,
,5,Master Olah Data_Micrometer 25-50mm,2023-05-17T00:00:00,-Adding standar gauge block 200mm,HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-05-17T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
