PT. SIDIK,,,,"KALIBRASI
MICROMETER",,,,,,,,,,,,LK-285-IDN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Range,,:,B,,,,,,,,Certificate Number,,,:,0106-CAL-1023,,,,,,,,,
,,,,,*Fill automatically by max capacity,,,,,,,,Order Number,,,:,2310.22.P,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,,
,,,,,,,,,,,,,,,,,,,,,Thermohygro used,,:,TH-3,,
,,Nama Alat,,:,Micrometer Digital,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,
,,Merk,,:,Mitutoyo,,,,,,,,,,,,,,,,Teknisi,,:,JO,,
,,Type,,:,IP65,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,Metode Kalibrasi,,:,SIDIK-IK-CAL-0515_Rev.3,,
,,No. Seri,,:,ZQ-100,,,,,,,,,,,,,,,,Satuan,,:,mm,,
,,Rentang Ukur,,:,25-50,,1,,,,,,,,,,,,,,,,,,,
,,Kapasitas Max.,,:,50,,mm,,,,,Tanggal Terima ,,:,2023-10-09T00:00:00,,,,,,,,,,,
,,Resolusi Alat,,:,0.001,,mm,,,,,Tanggal Kalibrasi,,:,2023-10-10T00:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Penandatangan,,:,Alex Misramto,,
,,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,,Posisi,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,Dihitung oleh,,:,DR,,
,,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Lab Dimensi PT SIDIK,,,,,,,,,,,
